ranker,k,macro_f1,macro_f1_std,balanced_accuracy,sensitivity,specificity,n_selected,n_evaluations,macro_f1_se,families,normalized_inference_time,normalized_features,on_front
gb_importance,10,0.8190839106829236,0.030674916433380595,0.8316974965045196,0.7551083757819519,0.9082866172270874,10.0,15,0.007920229366185817,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.07246376811594203,True
mutual_info,10,0.8119349732536963,0.03489924437499967,0.8244987341355237,0.7447776616742133,0.9042198065968338,10.0,15,0.009010946150639774,dwt;frequency;mfcc;time,0.9926214695646963,0.07246376811594203,True
gb_importance,20,0.8323070641442019,0.03155010539140308,0.8400983615750435,0.7597694878341914,0.9204272353158955,20.0,15,0.008146202183466197,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.14492753623188406,True
rf_importance,20,0.8246597361705674,0.034841588407525534,0.8333469790476745,0.7507303376377379,0.9159636204576113,20.0,15,0.008996059443850651,chroma;dwt;frequency;mfcc;time,0.9952290674525848,0.14492753623188406,True
gb_importance,30,0.8356556315204953,0.03032920403361899,0.8410670266963496,0.7571478461484273,0.9249862072442719,30.0,15,0.007830966808395545,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.21739130434782608,True
gb_importance,60,0.8369947368501383,0.027785730495986,0.8383114498588885,0.7458084224097397,0.9308144773080372,60.0,15,0.007174244764877422,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.43478260869565216,True
