ranker,k,macro_f1,macro_f1_std,balanced_accuracy,sensitivity,specificity,n_selected,n_evaluations,macro_f1_se,families,normalized_inference_time,normalized_features,on_front
anova_f,10,0.7977311146574382,0.03642966501659993,0.8158603745987033,0.742637411550236,0.8890833376471704,10.0,15,0.009406099061147097,dwt;frequency;mfcc;time,0.9926214695646963,0.07246376811594203,False
anova_f,20,0.8066549672826627,0.03516236438299497,0.8181119591910905,0.7329694813487916,0.9032544370333893,20.0,15,0.009078883444574424,chroma;dwt;frequency;mfcc;time,0.9952290674525848,0.14492753623188406,False
anova_f,30,0.8117376224621525,0.035726776825747486,0.8231124448431013,0.7401586772319048,0.906066212454298,30.0,15,0.009224614110652606,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.21739130434782608,False
anova_f,40,0.815267820902206,0.03588535400754086,0.8239702551016942,0.7367254216860958,0.9112150885172924,40.0,15,0.009265558562930888,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.2898550724637681,False
anova_f,50,0.8266097506309866,0.029839419100538042,0.8304399798283312,0.7379210180810336,0.922958941575629,50.0,15,0.007704504882459155,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.36231884057971014,False
anova_f,60,0.8267237196066511,0.0325661237006002,0.8289413769717169,0.7329841204614548,0.9248986334819791,60.0,15,0.00840853698286368,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.43478260869565216,False
anova_f,70,0.8264484855369897,0.03131886882170505,0.8280596261322083,0.730342580339287,0.9257766719251295,70.0,15,0.008086497157901225,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.5072463768115942,False
anova_f,80,0.8308465625069051,0.03260232445833726,0.8329377825420264,0.738648795010864,0.9272267700731888,80.0,15,0.008417883978319397,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.5797101449275363,False
anova_f,100,0.8312032815096345,0.03179034861645029,0.8324294516615872,0.736369189393986,0.9284897139291886,100.0,15,0.008208232717442664,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.7246376811594203,False
anova_f,120,0.8304384870261979,0.03155243705046007,0.8310277172152134,0.7329834702442218,0.929071964186205,120.0,15,0.008146804215245981,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.8695652173913043,False
anova_f,138,0.8312962021524544,0.033086556290640064,0.8306382767628931,0.7303653398060604,0.9309112137197257,138.0,15,0.008542912099800215,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,1.0,False
gb_importance,10,0.8190839106829236,0.030674916433380595,0.8316974965045196,0.7551083757819519,0.9082866172270874,10.0,15,0.007920229366185817,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.07246376811594203,True
gb_importance,20,0.8323070641442019,0.03155010539140308,0.8400983615750435,0.7597694878341914,0.9204272353158955,20.0,15,0.008146202183466197,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.14492753623188406,True
gb_importance,30,0.8356556315204953,0.03032920403361899,0.8410670266963496,0.7571478461484273,0.9249862072442719,30.0,15,0.007830966808395545,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.21739130434782608,True
gb_importance,40,0.8335080917208969,0.032931564850895524,0.8374820961154763,0.7489021991468718,0.926061993084081,40.0,15,0.00850289348213786,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.2898550724637681,False
