run,model_id,metric,n,n_description,status,reason,point,ci_low,ci_high,ci_width,n_resamples,n_valid_resamples,n_skipped_single_class,seed,ci_kind
EXP-C1-three_class,M3,roc_auc,3163,"n is the number of records, each appearing exactly once",skipped,"the target has 3 classes; a binary ROC-AUC is undefined for it, and a one-vs-rest AUC is a different quantity that must not be labelled the same way",,,,,0,0,0,42,n/a
EXP-C1-three_class,M4,roc_auc,3163,"n is the number of records, each appearing exactly once",skipped,"the target has 3 classes; a binary ROC-AUC is undefined for it, and a one-vs-rest AUC is a different quantity that must not be labelled the same way",,,,,0,0,0,42,n/a
EXP-C1-three_class,M5,roc_auc,3163,"n is the number of records, each appearing exactly once",skipped,"the target has 3 classes; a binary ROC-AUC is undefined for it, and a one-vs-rest AUC is a different quantity that must not be labelled the same way",,,,,0,0,0,42,n/a
EXP-C1-three_class,M6,roc_auc,3163,"n is the number of records, each appearing exactly once",skipped,"the target has 3 classes; a binary ROC-AUC is undefined for it, and a one-vs-rest AUC is a different quantity that must not be labelled the same way",,,,,0,0,0,42,n/a
EXP-C1-three_class,M7,roc_auc,3163,"n is the number of records, each appearing exactly once",skipped,"the target has 3 classes; a binary ROC-AUC is undefined for it, and a one-vs-rest AUC is a different quantity that must not be labelled the same way",,,,,0,0,0,42,n/a
EXP-C1-two_class,M3,roc_auc,3007,"n is the number of records, each appearing exactly once",computed,,0.740913571998892,0.7167839380548819,0.7652582498573661,0.04847431180248418,2000,2000,0,42,"percentile bootstrap over records, 95%"
EXP-C1-two_class,M4,roc_auc,3007,"n is the number of records, each appearing exactly once",computed,,0.7305211779019809,0.7046076263102786,0.7559577862589273,0.051350159948648666,2000,2000,0,42,"percentile bootstrap over records, 95%"
EXP-C1-two_class,M5,roc_auc,3007,"n is the number of records, each appearing exactly once",computed,,0.7248814548061726,0.6992152516098136,0.7494879130387623,0.050272661428948706,2000,2000,0,42,"percentile bootstrap over records, 95%"
EXP-C1-two_class,M6,roc_auc,3007,"n is the number of records, each appearing exactly once",computed,,0.7442214310156594,0.7191078628527887,0.7685471201429587,0.04943925729016996,2000,2000,0,42,"percentile bootstrap over records, 95%"
EXP-C1-two_class,M7,roc_auc,3007,"n is the number of records, each appearing exactly once",computed,,0.7442214310156594,0.7191078628527887,0.7685471201429587,0.04943925729016996,2000,2000,0,42,"percentile bootstrap over records, 95%"
EXP-C2,M3,roc_auc,3163,"n is the number of records, each appearing exactly once",computed,,0.6211690424046824,0.6013231024728961,0.6409534046014408,0.03963030212854468,2000,2000,0,42,"percentile bootstrap over records, 95%"
EXP-C2,M4,roc_auc,3163,"n is the number of records, each appearing exactly once",computed,,0.6256891881507665,0.6064580017055605,0.6451305131152811,0.03867251140972061,2000,2000,0,42,"percentile bootstrap over records, 95%"
EXP-C2,M5,roc_auc,3163,"n is the number of records, each appearing exactly once",computed,,0.6245801635481103,0.6049719345425864,0.6434257511568261,0.038453816614239744,2000,2000,0,42,"percentile bootstrap over records, 95%"
EXP-C2,M6,roc_auc,3163,"n is the number of records, each appearing exactly once",computed,,0.6276210761901103,0.6077005577906326,0.6473789393448396,0.039678381554207,2000,2000,0,42,"percentile bootstrap over records, 95%"
EXP-C2,M7,roc_auc,3163,"n is the number of records, each appearing exactly once",computed,,0.6276210761901103,0.6077005577906326,0.6473789393448396,0.039678381554207,2000,2000,0,42,"percentile bootstrap over records, 95%"
