run,exp_id,model_id,task,repeat,fold,fold_label,n_train,n_test,n_features,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative,brier,ece,fit_seconds,predict_seconds,params,note,planner_inner_best_score,planner_n_trials,planner_search_seconds,planner_tuning,planner_inner_scores,macro_f1,weighted_f1,macro_precision,macro_recall,n_classes,ovr_auc_macro,precision_normal,recall_normal,f1_normal,support_normal,precision_murmur,recall_murmur,f1_murmur,support_murmur,precision_extrahls,recall_extrahls,f1_extrahls,support_extrahls,precision_artifact,recall_artifact,f1_artifact,support_artifact,precision_extrastole,recall_extrastole,f1_extrastole,support_extrastole,precision_Absent,recall_Absent,f1_Absent,support_Absent,precision_Present,recall_Present,f1_Present,support_Present,precision_Unknown,recall_Unknown,f1_Unknown,support_Unknown
EXP-A1,EXP-A1,M1,binary,2,0,r2f0,2596,644,138,0.7996894409937888,0.817426305373272,0.8473282442748091,0.7875243664717348,0.5045454545454545,0.6324786324786325,0.5388563084840713,0.8986205972947636,0.6614135370711145,111.0,109.0,404.0,20.0,644.0,131.0,513.0,0.276009298730389,0.0796615392220332,0.186405,0.005624,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-A1,EXP-A1,M1,binary,2,1,r2f1,2589,651,138,0.8387096774193549,0.8376396547244436,0.835820895522388,0.839458413926499,0.5743589743589743,0.6808510638297872,0.5960482083282758,0.9281590115188084,0.7640172339739316,112.0,83.0,434.0,22.0,651.0,134.0,517.0,0.2237201505358104,0.060439640347853,0.19822,0.007758,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-A1,EXP-A1,M1,binary,2,2,r2f2,2585,655,138,0.8549618320610687,0.8492447087337598,0.8394160583941606,0.859073359073359,0.6117021276595744,0.7076923076923077,0.6279826269593106,0.9268663867204012,0.7902486611428834,115.0,73.0,445.0,22.0,655.0,137.0,518.0,0.1962182869708949,0.0438581975184877,0.191811,0.007759,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-A1,EXP-A1,M1,binary,2,3,r2f3,2597,643,138,0.864696734059098,0.8837965171755725,0.916030534351145,0.8515625,0.6122448979591837,0.7339449541284404,0.6716141786368581,0.9327439169847328,0.7387875793357066,120.0,76.0,436.0,11.0,643.0,131.0,512.0,0.2041049197718602,0.0464580509405067,0.184356,0.006071,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-A1,EXP-A1,M1,binary,2,4,r2f4,2593,647,138,0.8593508500772797,0.8496763754045308,0.8333333333333334,0.8660194174757282,0.6145251396648045,0.707395498392283,0.6299954683995269,0.9261694616063548,0.731373078524184,110.0,69.0,446.0,22.0,647.0,132.0,515.0,0.214946417504337,0.0644960296998197,0.200582,0.007188,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-A1,EXP-A1,M1,binary,3,0,r3f0,2596,644,138,0.7903726708074534,0.8030519470856956,0.8244274809160306,0.7816764132553606,0.4909090909090909,0.6153846153846154,0.5144546961647569,0.890748924899186,0.6633522683378079,108.0,112.0,401.0,23.0,644.0,131.0,513.0,0.2909216292554804,0.0977350005424929,0.194553,0.006404,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-A1,EXP-A1,M1,binary,3,1,r3f1,2593,647,138,0.8639876352395672,0.8554060017652251,0.8409090909090909,0.8699029126213592,0.6235955056179775,0.7161290322580646,0.641429472037062,0.9372903795233892,0.7486587333281488,111.0,67.0,448.0,21.0,647.0,132.0,515.0,0.1936929639063618,0.0641632129988968,0.197638,0.00614,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-A1,EXP-A1,M1,binary,3,2,r3f2,2585,655,138,0.8366412213740458,0.86436019494503,0.9117647058823528,0.8169556840077071,0.5662100456621004,0.6985915492957746,0.6265399274923886,0.9347444179984132,0.7623270743876355,124.0,95.0,424.0,12.0,655.0,136.0,519.0,0.225630518218203,0.0438383733488053,0.193944,0.007073,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-A1,EXP-A1,M1,binary,3,3,r3f3,2589,651,138,0.8525345622119815,0.8659560723514212,0.8888888888888888,0.8430232558139535,0.5970149253731343,0.7142857142857143,0.6423125430500041,0.9297014068331898,0.7374398866131558,120.0,81.0,435.0,15.0,651.0,135.0,516.0,0.2101684671402824,0.042355304923525,0.19914,0.005692,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-A1,EXP-A1,M1,binary,3,4,r3f4,2597,643,138,0.8662519440124417,0.8506903029580153,0.8244274809160306,0.876953125,0.631578947368421,0.7152317880794702,0.6393745224899607,0.9268099952290076,0.8005665374309443,108.0,63.0,449.0,23.0,643.0,131.0,512.0,0.1922410519575397,0.0386547099408978,0.177716,0.005951,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
