model_id,n_folds_holdout,sensitivity_pooled,sensitivity_holdout,sensitivity_holdout_sd,sensitivity_drop,balanced_accuracy_pooled,balanced_accuracy_holdout,balanced_accuracy_holdout_sd,balanced_accuracy_drop,specificity_pooled,specificity_holdout,specificity_holdout_sd,specificity_drop,roc_auc_pooled,roc_auc_holdout,roc_auc_holdout_sd,roc_auc_drop,f1_pooled,f1_holdout,f1_holdout_sd,f1_drop
M1,6,0.8479933187885698,0.7188775285258489,0.1515397796329564,0.1291157902627209,0.8429231859881168,0.5190006561911348,0.053595152387051544,0.323922529796982,0.8378530531876638,0.31912378385642054,0.2078669822873608,0.5187292693312433,0.9221754145146952,0.5329753406964535,0.08024036891937508,0.38920007381824173,0.6867562609818505,0.5117253929108382,0.25253531711293326,0.1750308680710123
M3,6,0.6698449028753386,0.403176490096577,0.1326554162019196,0.2666684127787616,0.8000838883745152,0.4770152159575298,0.10765572827913662,0.32306867241698534,0.9303228738736918,0.5508539418184827,0.30313807781876856,0.37946893205520915,0.924078273935299,0.45485643555231875,0.21820842998261597,0.4692218383829802,0.6908738481927146,0.38876484324323607,0.21464828233762615,0.3021090049494785
M4,6,0.7475470301606779,0.5603060444294378,0.08818516642215396,0.18724098573124015,0.8420833578565423,0.4475288848992913,0.12733370917586959,0.394554472957251,0.9366196855524064,0.334751725369145,0.2508067596884159,0.6018679601832614,0.9418026774787448,0.4256022515065703,0.17598598389599437,0.5162004259721745,0.7510565386260639,0.4192539154202857,0.20037444563561302,0.3318026232057782
M5,6,0.7979991249318708,0.602412023790209,0.24628868412401267,0.19558710114166178,0.8498104909051996,0.4791530375351451,0.05282053106793488,0.37065745337005446,0.9016218568785286,0.35589405128008106,0.28749331547086043,0.5457278055984476,0.9357444658070614,0.45860037648851676,0.1666303580778131,0.47714408931854463,0.7344011991722188,0.4554983218656207,0.2730597559716871,0.2789028773065981
M6,6,0.8790705821614023,0.8519332639629927,0.1355406462891862,0.027137318198409588,0.8587565599146746,0.49717724310012407,0.04072470258019832,0.3615793168145505,0.8384425376679471,0.1424212222372553,0.11545748201822448,0.6960213154306918,0.9395334531543368,0.4437553972476256,0.2126795516426941,0.4957780559067112,0.7044382221713745,0.5365045851640716,0.28764709270206623,0.1679336370073029
M8,6,0.7556270092682991,0.6504475763195926,0.04850345677833475,0.10517943294870646,0.8442252922074089,0.4924137809119507,0.09714061101712472,0.35181151129545823,0.9328235751465186,0.33437998550430875,0.23499636680291955,0.5984435896422098,0.9410446008725418,0.46316136967166427,0.17309003567389847,0.47788323120087756,0.7504310157926309,0.4738729435718893,0.2327447862713032,0.27655807222074164
