stage_order,stage,exp_id,model_id,task,repeat,fold,fold_label,n_train,n_test,n_features,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative,brier,ece,fit_seconds,predict_seconds,params,note,planner_inner_best_score,planner_n_trials,planner_search_seconds,planner_tuning,planner_inner_scores
1,default_single,EXP-A1,M1,binary,2,0,r2f0,2596,644,138,0.7996894409937888,0.817426305373272,0.8473282442748091,0.7875243664717348,0.5045454545454545,0.6324786324786325,0.5388563084840713,0.8986205972947636,0.6614135370711145,111.0,109.0,404.0,20.0,644.0,131.0,513.0,0.276009298730389,0.0796615392220332,0.186405,0.005624,{},config defaults,,,,,
1,default_single,EXP-A1,M1,binary,2,1,r2f1,2589,651,138,0.8387096774193549,0.8376396547244436,0.835820895522388,0.839458413926499,0.5743589743589743,0.6808510638297872,0.5960482083282758,0.9281590115188084,0.7640172339739316,112.0,83.0,434.0,22.0,651.0,134.0,517.0,0.2237201505358104,0.060439640347853,0.19822,0.007758,{},config defaults,,,,,
1,default_single,EXP-A1,M1,binary,2,2,r2f2,2585,655,138,0.8549618320610687,0.8492447087337598,0.8394160583941606,0.859073359073359,0.6117021276595744,0.7076923076923077,0.6279826269593106,0.9268663867204012,0.7902486611428834,115.0,73.0,445.0,22.0,655.0,137.0,518.0,0.1962182869708949,0.0438581975184877,0.191811,0.007759,{},config defaults,,,,,
1,default_single,EXP-A1,M1,binary,2,3,r2f3,2597,643,138,0.864696734059098,0.8837965171755725,0.916030534351145,0.8515625,0.6122448979591837,0.7339449541284404,0.6716141786368581,0.9327439169847328,0.7387875793357066,120.0,76.0,436.0,11.0,643.0,131.0,512.0,0.2041049197718602,0.0464580509405067,0.184356,0.006071,{},config defaults,,,,,
1,default_single,EXP-A1,M1,binary,2,4,r2f4,2593,647,138,0.8593508500772797,0.8496763754045308,0.8333333333333334,0.8660194174757282,0.6145251396648045,0.707395498392283,0.6299954683995269,0.9261694616063548,0.731373078524184,110.0,69.0,446.0,22.0,647.0,132.0,515.0,0.214946417504337,0.0644960296998197,0.200582,0.007188,{},config defaults,,,,,
1,default_single,EXP-A1,M1,binary,3,0,r3f0,2596,644,138,0.7903726708074534,0.8030519470856956,0.8244274809160306,0.7816764132553606,0.4909090909090909,0.6153846153846154,0.5144546961647569,0.890748924899186,0.6633522683378079,108.0,112.0,401.0,23.0,644.0,131.0,513.0,0.2909216292554804,0.0977350005424929,0.194553,0.006404,{},config defaults,,,,,
1,default_single,EXP-A1,M1,binary,3,1,r3f1,2593,647,138,0.8639876352395672,0.8554060017652251,0.8409090909090909,0.8699029126213592,0.6235955056179775,0.7161290322580646,0.641429472037062,0.9372903795233892,0.7486587333281488,111.0,67.0,448.0,21.0,647.0,132.0,515.0,0.1936929639063618,0.0641632129988968,0.197638,0.00614,{},config defaults,,,,,
1,default_single,EXP-A1,M1,binary,3,2,r3f2,2585,655,138,0.8366412213740458,0.86436019494503,0.9117647058823528,0.8169556840077071,0.5662100456621004,0.6985915492957746,0.6265399274923886,0.9347444179984132,0.7623270743876355,124.0,95.0,424.0,12.0,655.0,136.0,519.0,0.225630518218203,0.0438383733488053,0.193944,0.007073,{},config defaults,,,,,
1,default_single,EXP-A1,M1,binary,3,3,r3f3,2589,651,138,0.8525345622119815,0.8659560723514212,0.8888888888888888,0.8430232558139535,0.5970149253731343,0.7142857142857143,0.6423125430500041,0.9297014068331898,0.7374398866131558,120.0,81.0,435.0,15.0,651.0,135.0,516.0,0.2101684671402824,0.042355304923525,0.19914,0.005692,{},config defaults,,,,,
1,default_single,EXP-A1,M1,binary,3,4,r3f4,2597,643,138,0.8662519440124417,0.8506903029580153,0.8244274809160306,0.876953125,0.631578947368421,0.7152317880794702,0.6393745224899607,0.9268099952290076,0.8005665374309443,108.0,63.0,449.0,23.0,643.0,131.0,512.0,0.1922410519575397,0.0386547099408978,0.177716,0.005951,{},config defaults,,,,,
1,default_single,EXP-A1,M1,binary,4,0,r4f0,2585,655,138,0.7984732824427481,0.8375623370735578,0.9044117647058824,0.7707129094412332,0.5082644628099173,0.6507936507936508,0.5673543708315464,0.9029808455173975,0.6825420670767285,123.0,119.0,400.0,13.0,655.0,136.0,519.0,0.2898060062787389,0.0834570802855146,0.199376,0.007607,{},config defaults,,,,,
1,default_single,EXP-A1,M1,binary,4,1,r4f1,2596,644,138,0.8711180124223602,0.8707870184366769,0.8702290076335878,0.8713450292397661,0.6333333333333333,0.7331189710610932,0.6652020882908656,0.9472493787479724,0.8173011225488209,114.0,66.0,447.0,17.0,644.0,131.0,513.0,0.1794749496025414,0.040900971658684,0.182883,0.007252,{},config defaults,,,,,
1,default_single,EXP-A1,M1,binary,4,2,r4f2,2593,647,138,0.8361669242658424,0.8266622536040011,0.8106060606060606,0.8427184466019417,0.5691489361702128,0.66875,0.5798748354301024,0.9355545748749632,0.7854372170894872,107.0,81.0,434.0,25.0,647.0,132.0,515.0,0.2029892352150723,0.0587480373225421,0.182523,0.007586,{},config defaults,,,,,
1,default_single,EXP-A1,M1,binary,4,3,r4f3,2589,651,138,0.8571428571428571,0.8633936261843238,0.8740740740740741,0.8527131782945736,0.6082474226804123,0.7173252279635258,0.6442287042966446,0.9329457364341086,0.7298393905041698,118.0,76.0,440.0,17.0,651.0,135.0,516.0,0.2042187817458562,0.0435822334797881,0.190365,0.008162,{},config defaults,,,,,
1,default_single,EXP-A1,M1,binary,4,4,r4f4,2597,643,138,0.8398133748055988,0.8170473520992366,0.7786259541984732,0.85546875,0.5795454545454546,0.6644951140065146,0.5728091941493245,0.8941734255725191,0.6771563670262074,102.0,74.0,438.0,29.0,643.0,131.0,512.0,0.2386623061643296,0.0703192996620377,0.192888,0.006002,{},config defaults,,,,,
2,default_ensemble,EXP-A1,M6,binary,0,0,r0f0,2593,647,138,0.8145285935085008,0.8356060606060607,0.8712121212121212,0.8,0.5275229357798165,0.6571428571428571,0.5722601151464203,0.9024713150926744,0.6294091149893317,115.0,103.0,412.0,17.0,647.0,132.0,515.0,0.2122793247220806,0.0366062210026442,234.211817,2.014966,{},config defaults,,,,,
2,default_ensemble,EXP-A1,M6,binary,0,1,r0f1,2589,651,138,0.8187403993855606,0.8499451485320015,0.9029850746268656,0.7969052224371374,0.5353982300884956,0.6722222222222223,0.5944002163673184,0.9515574929992204,0.8582965866470481,121.0,105.0,412.0,13.0,651.0,134.0,517.0,0.1480883409176687,0.0868750092814763,236.492944,1.670965,{},config defaults,,,,,
2,default_ensemble,EXP-A1,M6,binary,0,2,r0f2,2596,644,138,0.8866459627329193,0.8748493370831659,0.8549618320610687,0.8947368421052632,0.6746987951807228,0.7542087542087542,0.6899427904646384,0.9511480142255556,0.8400408674156508,112.0,54.0,459.0,19.0,644.0,131.0,513.0,0.1560493976085594,0.0620474099736973,232.740367,1.408548,{},config defaults,,,,,
2,default_ensemble,EXP-A1,M6,binary,0,3,r0f3,2585,655,138,0.8763358778625954,0.8466519178198011,0.7956204379562044,0.8976833976833977,0.6728395061728395,0.7290969899665551,0.6535334173897355,0.941479018121354,0.8453975168555217,109.0,53.0,465.0,28.0,655.0,137.0,518.0,0.171572436180327,0.1191081035775401,223.578325,1.215537,{},config defaults,,,,,
2,default_ensemble,EXP-A1,M6,binary,0,4,r0f4,2597,643,138,0.8164852255054432,0.884765625,1.0,0.76953125,0.5261044176706827,0.6894736842105263,0.6362812193996006,0.9498151240458016,0.7349602225584843,131.0,118.0,394.0,0.0,643.0,131.0,512.0,0.1657507667267676,0.0827402547638898,220.054038,1.427669,{},config defaults,,,,,
2,default_ensemble,EXP-A1,M6,binary,1,0,r1f0,2593,647,138,0.80370942812983,0.8259929390997351,0.8636363636363636,0.7883495145631068,0.5112107623318386,0.6422535211267606,0.5528323001157996,0.8963224477787584,0.6252189352561747,114.0,109.0,406.0,18.0,647.0,132.0,515.0,0.2204822181031887,0.0426975194618803,206.638223,1.224897,{},config defaults,,,,,
2,default_ensemble,EXP-A1,M6,binary,1,1,r1f1,2585,655,138,0.8854961832061069,0.8599186784540406,0.8161764705882353,0.903660886319846,0.6894409937888198,0.7474747474747475,0.6781271021535465,0.946815142241868,0.7991064694103377,111.0,50.0,469.0,25.0,655.0,136.0,519.0,0.1620140641732357,0.0825957276639109,197.638741,1.350427,{},config defaults,,,,,
2,default_ensemble,EXP-A1,M6,binary,1,2,r1f2,2596,644,138,0.9145962732919256,0.8781825216136184,0.816793893129771,0.9395711500974658,0.7753623188405797,0.7955390334572491,0.7420120834551659,0.9687811556031724,0.9084930845800774,107.0,31.0,482.0,24.0,644.0,131.0,513.0,0.1304361711858561,0.0801683769639572,192.514591,1.245872,{},config defaults,,,,,
2,default_ensemble,EXP-A1,M6,binary,1,3,r1f3,2589,651,138,0.8294930875576036,0.851421188630491,0.8888888888888888,0.813953488372093,0.5555555555555556,0.6837606837606838,0.6051710859944731,0.929787539477462,0.7060592409573588,120.0,96.0,420.0,15.0,651.0,135.0,516.0,0.17358760660657,0.0558310380122818,254.461117,1.54967,{},config defaults,,,,,
2,default_ensemble,EXP-A1,M6,binary,1,4,r1f4,2597,643,138,0.8475894245723172,0.8900957180343512,0.9618320610687024,0.818359375,0.5753424657534246,0.72,0.6630813629405635,0.9612953244274808,0.8112089582492885,126.0,93.0,419.0,5.0,643.0,131.0,512.0,0.149945452729054,0.1084942783188869,268.684532,1.487421,{},config defaults,,,,,
2,default_ensemble,EXP-A1,M6,binary,2,0,r2f0,2596,644,138,0.7841614906832298,0.8190482567742512,0.8778625954198473,0.7602339181286549,0.4831932773109244,0.6233062330623306,0.5321440453389685,0.8984866747020223,0.6343421536582358,115.0,123.0,390.0,16.0,644.0,131.0,513.0,0.2110820723216808,0.0453890404229429,227.641641,1.396274,{},config defaults,,,,,
2,default_ensemble,EXP-A1,M6,binary,2,1,r2f1,2589,651,138,0.8448540706605223,0.8663861543347094,0.9029850746268656,0.8297872340425532,0.5789473684210527,0.7055393586005831,0.6345742454830705,0.9483241433066776,0.816715017513939,121.0,88.0,429.0,13.0,651.0,134.0,517.0,0.1601013363644814,0.086249148057746,232.948673,1.981394,{},config defaults,,,,,
2,default_ensemble,EXP-A1,M6,binary,2,2,r2f2,2585,655,138,0.850381679389313,0.8758771806217062,0.9197080291970804,0.832046332046332,0.5915492957746479,0.72,0.6526798174021385,0.960586759856833,0.8839599676538606,126.0,87.0,431.0,11.0,655.0,137.0,518.0,0.1484279139027343,0.1084294384308806,204.185478,1.299038,{},config defaults,,,,,
2,default_ensemble,EXP-A1,M6,binary,2,3,r2f3,2597,643,138,0.8398133748055988,0.8880531369274809,0.9694656488549618,0.806640625,0.5619469026548672,0.711484593837535,0.6547410573855867,0.9540642891221374,0.7713254679880804,127.0,99.0,413.0,4.0,643.0,131.0,512.0,0.1545526909973489,0.0963652933700273,195.601219,1.224977,{},config defaults,,,,,
2,default_ensemble,EXP-A1,M6,binary,2,4,r2f4,2593,647,138,0.8794435857805255,0.8735657546337159,0.8636363636363636,0.883495145631068,0.6551724137931034,0.7450980392156863,0.67901979975244,0.9414827890556046,0.7608339513809539,114.0,60.0,455.0,18.0,647.0,132.0,515.0,0.161627560809953,0.0660925863974638,198.096878,1.229521,{},config defaults,,,,,
2,default_ensemble,EXP-A1,M6,binary,3,0,r3f0,2596,644,138,0.8245341614906833,0.7960730919750607,0.7480916030534351,0.8440545808966862,0.550561797752809,0.6343042071197411,0.5329915277981665,0.8962992723539128,0.639646423633892,98.0,80.0,433.0,33.0,644.0,131.0,513.0,0.2137364610831272,0.0314458708226663,200.14328,1.237671,{},config defaults,,,,,
2,default_ensemble,EXP-A1,M6,binary,3,1,r3f1,2593,647,138,0.8979907264296755,0.893667255075022,0.8863636363636364,0.9009708737864076,0.6964285714285714,0.78,0.7236481734439949,0.946528390703148,0.7698857934140355,117.0,51.0,464.0,15.0,647.0,132.0,515.0,0.155592614520274,0.0616028927082282,197.267771,1.225413,{},config defaults,,,,,
2,default_ensemble,EXP-A1,M6,binary,3,2,r3f2,2585,655,138,0.8183206106870229,0.8772172163663152,0.9779411764705882,0.7764932562620424,0.5341365461847389,0.6909090909090909,0.6303938162427817,0.9618752125127508,0.8435274896279927,133.0,116.0,403.0,3.0,655.0,136.0,519.0,0.1553509909394557,0.1203319096740068,199.757099,1.275545,{},config defaults,,,,,
2,default_ensemble,EXP-A1,M6,binary,3,3,r3f3,2589,651,138,0.82642089093702,0.857687338501292,0.9111111111111112,0.8042635658914729,0.5491071428571429,0.6852367688022284,0.610502365746257,0.9498133792707436,0.8298802036996518,123.0,101.0,415.0,12.0,651.0,135.0,516.0,0.1546039112997,0.096761889511334,198.247395,1.323544,{},config defaults,,,,,
2,default_ensemble,EXP-A1,M6,binary,3,4,r3f4,2597,643,138,0.8631415241057543,0.8430567151717557,0.8091603053435115,0.876953125,0.6272189349112426,0.7066666666666667,0.6278183796259439,0.9397065839694656,0.7957489767964022,106.0,63.0,449.0,25.0,643.0,131.0,512.0,0.1635082895051595,0.0800718863920534,207.305672,1.325712,{},config defaults,,,,,
2,default_ensemble,EXP-A1,M6,binary,4,0,r4f0,2585,655,138,0.8381679389312977,0.8300535532131927,0.8161764705882353,0.8439306358381503,0.578125,0.676829268292683,0.5882019114133465,0.9116513657486116,0.6837949734753614,111.0,81.0,438.0,25.0,655.0,136.0,519.0,0.2069164820813127,0.0532084635735976,200.932531,1.668859,{},config defaults,,,,,
2,default_ensemble,EXP-A1,M6,binary,4,1,r4f1,2596,644,138,0.8835403726708074,0.8785842893918426,0.8702290076335878,0.8869395711500975,0.6627906976744186,0.7524752475247525,0.6888928714881813,0.956966206865765,0.840205405810422,114.0,58.0,455.0,17.0,644.0,131.0,513.0,0.1485704390104958,0.0997852428238532,201.456134,1.282757,{},config defaults,,,,,
2,default_ensemble,EXP-A1,M6,binary,4,2,r4f2,2593,647,138,0.8531684698608965,0.8683289202706679,0.8939393939393939,0.8427184466019417,0.592964824120603,0.7129909365558912,0.6432663751019011,0.9474257134451308,0.8236098602867385,118.0,81.0,434.0,14.0,647.0,132.0,515.0,0.1564520561797822,0.0680531057512738,195.437493,1.402852,{},config defaults,,,,,
2,default_ensemble,EXP-A1,M6,binary,4,3,r4f3,2589,651,138,0.847926267281106,0.8767226528854436,0.925925925925926,0.8275193798449613,0.5841121495327103,0.7163323782234957,0.6502732085549053,0.9513924777490668,0.7941907215403499,125.0,89.0,427.0,10.0,651.0,135.0,516.0,0.157270212090661,0.0976977056939422,204.341677,1.323618,{},config defaults,,,,,
2,default_ensemble,EXP-A1,M6,binary,4,4,r4f4,2597,643,138,0.8242612752721618,0.827163346851145,0.8320610687022901,0.822265625,0.545,0.6586102719033232,0.5693094665439249,0.9242604961832062,0.7232044490636629,109.0,91.0,421.0,22.0,643.0,131.0,512.0,0.1765850825479197,0.063008121806656,220.498372,1.334058,{},config defaults,,,,,
3,tuned_single,EXP-A2,M1,binary,0,0,r0f0,2593,647,138,0.7897990726429676,0.8031700500147103,0.8257575757575758,0.7805825242718447,0.4909909909909909,0.615819209039548,0.5146783724424583,0.8803765813474551,0.6544243172786941,109.0,113.0,402.0,23.0,647.0,132.0,515.0,0.3103208953273642,0.1154572130694597,0.241999,0.008837,"{""C"": 0.4731474644815011, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""liblinear""}",bayes search inside this training fold,0.853936,12.0,56.59,nested-bayes,
3,tuned_single,EXP-A2,M1,binary,0,1,r0f1,2589,651,138,0.8525345622119815,0.8574006178007447,0.8656716417910447,0.8491295938104448,0.5979381443298969,0.7073170731707317,0.6318645642645354,0.9329224284765728,0.7601739708532379,116.0,78.0,439.0,18.0,651.0,134.0,517.0,0.2044815508126328,0.0452887752476298,0.226449,0.006223,"{""C"": 0.4731474644815011, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""liblinear""}",bayes search inside this training fold,0.842272,12.0,45.11,nested-bayes,
3,tuned_single,EXP-A2,M1,binary,0,2,r0f2,2596,644,138,0.8850931677018633,0.8625061381188339,0.8244274809160306,0.9005847953216374,0.6792452830188679,0.7448275862068966,0.6768154425647688,0.940449087094326,0.8372068659058727,108.0,51.0,462.0,23.0,644.0,131.0,513.0,0.1663426240932018,0.0160865073156767,0.236899,0.005982,"{""C"": 0.4731474644815011, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""liblinear""}",bayes search inside this training fold,0.833644,12.0,90.74,nested-bayes,
3,tuned_single,EXP-A2,M1,binary,0,3,r0f3,2585,655,138,0.8473282442748091,0.8417340698362596,0.8321167883211679,0.8513513513513513,0.5968586387434555,0.6951219512195121,0.6116004045305248,0.9195389341374745,0.7294276328691006,114.0,77.0,441.0,23.0,655.0,137.0,518.0,0.2238608243503919,0.0337337022257758,3.472198,0.006147,"{""C"": 0.2437391987072402, ""l1_ratio"": 0.0, ""max_iter"": 5000, ""solver"": ""saga""}",bayes search inside this training fold,0.846612,12.0,108.79,nested-bayes,
3,tuned_single,EXP-A2,M1,binary,0,4,r0f4,2597,643,138,0.8149300155520995,0.8582269799618321,0.931297709923664,0.78515625,0.5258620689655172,0.6721763085399449,0.6008886659265192,0.9237237595419848,0.6997049564213959,122.0,110.0,402.0,9.0,643.0,131.0,512.0,0.2467223418764418,0.0642598594357049,0.19742,0.006122,"{""C"": 0.10592439431558083, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""liblinear""}",bayes search inside this training fold,0.841056,12.0,97.24,nested-bayes,
3,tuned_single,EXP-A2,M1,binary,1,0,r1f0,2593,647,138,0.7712519319938176,0.7746175345689909,0.7803030303030303,0.7689320388349514,0.4639639639639639,0.5819209039548022,0.4662060310023063,0.8835834068843778,0.6278396831032393,103.0,119.0,396.0,29.0,647.0,132.0,515.0,0.296811126223589,0.0918608818890705,0.23157,0.007967,"{""C"": 0.4731474644815011, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""liblinear""}",bayes search inside this training fold,0.855024,12.0,135.66,nested-bayes,
3,tuned_single,EXP-A2,M1,binary,1,1,r1f1,2585,655,138,0.8381679389312977,0.8544712682760965,0.8823529411764706,0.8265895953757225,0.5714285714285714,0.6936416184971098,0.6161330636778073,0.9252096792474216,0.7350410673576477,120.0,90.0,429.0,16.0,655.0,136.0,519.0,0.2204426778134391,0.044302319595447,0.241332,0.008491,"{""C"": 0.4731474644815011, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""liblinear""}",bayes search inside this training fold,0.831303,12.0,41.9,nested-bayes,
3,tuned_single,EXP-A2,M1,binary,1,2,r1f2,2596,644,138,0.8711180124223602,0.873629153460411,0.8778625954198473,0.8693957115009746,0.6318681318681318,0.7348242811501597,0.6680491260773008,0.9380980015773106,0.7982265528579456,115.0,67.0,446.0,16.0,644.0,131.0,513.0,0.1813195136694328,0.0164277670961508,0.103518,0.006901,"{""C"": 0.026161506430952816, ""l1_ratio"": 0.0, ""max_iter"": 5000, ""solver"": ""lbfgs""}",bayes search inside this training fold,0.832231,12.0,51.2,nested-bayes,
3,tuned_single,EXP-A2,M1,binary,1,3,r1f3,2589,651,138,0.8387096774193549,0.8380921619293713,0.837037037037037,0.8391472868217055,0.576530612244898,0.6827794561933535,0.5976172149265516,0.9267154751650876,0.7553536479245262,113.0,83.0,433.0,22.0,651.0,135.0,516.0,0.2215723111187748,0.0636179349687267,0.263841,0.007328,"{""C"": 0.4731474644815011, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""liblinear""}",bayes search inside this training fold,0.830198,12.0,45.48,nested-bayes,
3,tuned_single,EXP-A2,M1,binary,1,4,r1f4,2597,643,138,0.8475894245723172,0.8645336354961832,0.8931297709923665,0.8359375,0.582089552238806,0.7048192771084337,0.633474397928554,0.9440899332061068,0.7690825120957091,117.0,84.0,428.0,14.0,643.0,131.0,512.0,0.1985778840130362,0.0532973100372206,28.490326,0.005784,"{""C"": 1.7475951592807504, ""l1_ratio"": 1.0, ""max_iter"": 5000, ""solver"": ""saga""}",bayes search inside this training fold,0.823394,12.0,184.86,nested-bayes,
3,tuned_single,EXP-A2,M1,binary,2,0,r2f0,2596,644,138,0.796583850931677,0.8240033927056828,0.8702290076335878,0.7777777777777778,0.5,0.6350974930362117,0.5454560900626817,0.9012990491495916,0.6660260933522809,114.0,114.0,399.0,17.0,644.0,131.0,513.0,0.2738580422216535,0.0577728857185371,2.027331,0.00774,"{""C"": 0.10466029972452176, ""l1_ratio"": 0.0, ""max_iter"": 1000, ""solver"": ""saga""}",bayes search inside this training fold,0.852174,12.0,54.04,nested-bayes,
3,tuned_single,EXP-A2,M1,binary,2,1,r2f1,2589,651,138,0.7496159754224271,0.8202459655301828,0.9402985074626866,0.7001934235976789,0.4483985765124555,0.6072289156626506,0.5228261622854127,0.887626663587286,0.6517914068306425,126.0,155.0,362.0,8.0,651.0,134.0,517.0,0.3492595525993643,0.0268629784839466,0.089022,0.00655,"{""C"": 0.001, ""l1_ratio"": 0.0, ""max_iter"": 1000, ""solver"": ""liblinear""}",bayes search inside this training fold,0.829839,12.0,72.16,nested-bayes,
3,tuned_single,EXP-A2,M1,binary,2,2,r2f2,2585,655,138,0.8549618320610687,0.8546134768762506,0.8540145985401459,0.8552123552123552,0.609375,0.7112462006079028,0.6336789577010611,0.927331398134318,0.789535710119711,117.0,75.0,443.0,20.0,655.0,137.0,518.0,0.1963578588635942,0.0395519095600166,0.193086,0.008872,"{""C"": 0.6317967091932517, ""l1_ratio"": 0.0, ""max_iter"": 1000, ""solver"": ""lbfgs""}",bayes search inside this training fold,0.828955,12.0,133.62,nested-bayes,
3,tuned_single,EXP-A2,M1,binary,2,3,r2f3,2597,643,138,0.8631415241057543,0.8885004174618321,0.931297709923664,0.845703125,0.6069651741293532,0.7349397590361446,0.67512307255719,0.9336682967557252,0.734334489707835,122.0,79.0,433.0,9.0,643.0,131.0,512.0,0.2049711426535372,0.0364688239534072,0.228593,0.007139,"{""C"": 0.4731474644815011, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""liblinear""}",bayes search inside this training fold,0.83663,12.0,77.21,nested-bayes,
3,tuned_single,EXP-A2,M1,binary,2,4,r2f4,2593,647,138,0.8624420401854714,0.8488011179758752,0.8257575757575758,0.8718446601941747,0.6228571428571429,0.7100977198697068,0.632861127137228,0.9282141806413652,0.735488216005353,109.0,66.0,449.0,23.0,647.0,132.0,515.0,0.2151302285841873,0.071692949495423,11.908466,0.006953,"{""C"": 60.153087183964686, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""saga""}",bayes search inside this training fold,0.823827,12.0,57.73,nested-bayes,
3,tuned_single,EXP-A2,M1,binary,3,0,r3f0,2596,644,138,0.7934782608695652,0.8135276698956891,0.8473282442748091,0.7797270955165692,0.4955357142857143,0.6253521126760564,0.5299703176734413,0.8924303974524946,0.666922682105866,111.0,113.0,400.0,20.0,644.0,131.0,513.0,0.2865192840135177,0.0850934344496013,0.235867,0.006753,"{""C"": 0.4731474644815011, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""liblinear""}",bayes search inside this training fold,0.851371,12.0,87.37,nested-bayes,
3,tuned_single,EXP-A2,M1,binary,3,1,r3f1,2593,647,138,0.8639876352395672,0.858223006766696,0.8484848484848485,0.8679611650485437,0.6222222222222222,0.717948717948718,0.6442869840822827,0.9353633421594588,0.7461171607798939,112.0,68.0,447.0,20.0,647.0,132.0,515.0,0.1919318049198612,0.046460440247073,2.831954,0.005691,"{""C"": 0.158616128460017, ""l1_ratio"": 0.0, ""max_iter"": 5000, ""solver"": ""saga""}",bayes search inside this training fold,0.826517,12.0,34.29,nested-bayes,
