track,n_folds,primary_metric,source_only,best_model,best_model_score,source_only_balanced_accuracy,best_model_balanced_accuracy,model_beats_source_only
binary (EXP-A1),25,sensitivity,0.49327842282950995,M6,0.8790705821614023,0.7191477820782848,0.8587565599146746,True
diagnosis (EXP-G1),5,macro_f1,0.6344829788356768,M5,0.6203039021139314,0.6751282051282051,0.6162565450582337,False
