config_id,families,n_features,exp_id,model_id,task,repeat,fold,fold_label,n_train,n_test,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative,brier,ece,fit_seconds,predict_seconds,params,note
A1,time,24,EXP-F1,M1,binary,0,0,r0f0,2593,647,0.7434312210200927,0.7599588114151221,0.7878787878787878,0.7320388349514563,0.4297520661157025,0.5561497326203209,0.4330020214145051,0.8233451015004414,0.4762047077613198,104.0,138.0,377.0,28.0,647.0,132.0,515.0,0.3534854989671909,0.0771460585226748,0.096213,0.005914,{},config defaults
A1,time,24,EXP-F1,M1,binary,0,1,r0f1,2589,651,0.7818740399385561,0.8156774156297815,0.8731343283582089,0.758220502901354,0.4834710743801653,0.6223404255319149,0.528204189905312,0.8890123848840902,0.607258602170615,117.0,125.0,392.0,17.0,651.0,134.0,517.0,0.2952103437002044,0.0303123731699038,0.055329,0.005989,{},config defaults
A1,time,24,EXP-F1,M1,binary,0,2,r0f2,2596,644,0.8074534161490683,0.8166153296727825,0.8320610687022901,0.8011695906432749,0.5165876777251185,0.6374269005847953,0.5430891027682679,0.8804815261223456,0.5836425622164585,109.0,102.0,411.0,22.0,644.0,131.0,513.0,0.2674313692181518,0.0254251763089708,0.059582,0.005294,{},config defaults
A1,time,24,EXP-F1,M1,binary,0,3,r0f3,2585,655,0.7862595419847328,0.8219147197249388,0.8832116788321168,0.7606177606177607,0.4938775510204081,0.6335078534031413,0.5411541883185814,0.8647380435701603,0.5462542252488367,121.0,124.0,394.0,16.0,655.0,137.0,518.0,0.3093265018897096,0.0465222293476678,0.061027,0.004621,{},config defaults
A1,time,24,EXP-F1,M1,binary,0,4,r0f4,2597,643,0.7993779160186625,0.8285797352099237,0.8778625954198473,0.779296875,0.5043859649122807,0.6406685236768802,0.5532863136296429,0.8799349952290076,0.5436553330176018,115.0,113.0,399.0,16.0,643.0,131.0,512.0,0.2835765056903905,0.0378297479322549,0.055757,0.006895,{},config defaults
A1,time,24,EXP-F1,M1,binary,1,0,r1f0,2593,647,0.714064914992272,0.7443292144748455,0.7954545454545454,0.6932038834951456,0.3992395437262357,0.5316455696202531,0.4009151686159164,0.8071785819358636,0.4514336098987145,105.0,158.0,357.0,27.0,647.0,132.0,515.0,0.3795762805651195,0.0945692258670379,0.048965,0.005021,{},config defaults
A1,time,24,EXP-F1,M1,binary,1,1,r1f1,2585,655,0.7847328244274809,0.815326419585175,0.8676470588235294,0.7630057803468208,0.4896265560165975,0.6259946949602122,0.5304382047189732,0.8749149948996939,0.5380249264236875,118.0,123.0,396.0,18.0,655.0,136.0,519.0,0.3177493719331128,0.0402954846425953,0.050779,0.004208,{},config defaults
A1,time,24,EXP-F1,M1,binary,1,2,r1f2,2596,644,0.8229813664596274,0.846256863532878,0.8854961832061069,0.8070175438596491,0.5395348837209303,0.6705202312138728,0.5911188937320054,0.8942309123104623,0.5834387421458627,116.0,99.0,414.0,15.0,644.0,131.0,513.0,0.2452216793633988,0.017587857305743,0.052074,0.004248,{},config defaults
A1,time,24,EXP-F1,M1,binary,1,3,r1f3,2589,651,0.7880184331797235,0.803380706287683,0.8296296296296296,0.7771317829457365,0.4933920704845815,0.6187845303867403,0.5161950455890006,0.8818690783807063,0.6093252060823732,112.0,115.0,401.0,23.0,651.0,135.0,516.0,0.2834948766812064,0.0370049916603398,0.048654,0.00411,{},config defaults
A1,time,24,EXP-F1,M1,binary,1,4,r1f4,2597,643,0.8133748055987559,0.845889491889313,0.900763358778626,0.791015625,0.5244444444444445,0.6629213483146067,0.584196017990434,0.9006142652671755,0.6282092855646736,118.0,107.0,405.0,13.0,643.0,131.0,512.0,0.2694245472724272,0.0243004620905181,0.051818,0.004579,{},config defaults
