config_id,families,n_features,model_id,n_folds,sensitivity,sensitivity_sd,sensitivity_delta_vs_A7,specificity,specificity_sd,specificity_delta_vs_A7,f1,f1_sd,f1_delta_vs_A7,balanced_accuracy,balanced_accuracy_sd,balanced_accuracy_delta_vs_A7,roc_auc,roc_auc_sd,roc_auc_delta_vs_A7,accuracy,accuracy_sd,accuracy_delta_vs_A7
A1,time,24,M1,25,0.8530639422086099,0.03396422550226916,0.005070623420040166,0.7681859695197665,0.03555397390303389,-0.06966708366789731,0.6216701268930045,0.04050926515156354,-0.065086134088846,0.8106249558641881,0.029332030653329216,-0.03229823012392863,0.8714497696785739,0.026834713719079858,-0.0507256448361213,0.7856306577291747,0.03186012251363049,-0.054322152191468076
A1,time,24,M5,25,0.7650409241531007,0.06189165288925941,-0.0329582007787701,0.8836058326241393,0.029265840576657872,-0.018016024254389307,0.6911186032160451,0.04266211458804135,-0.043282595956173675,0.8243233783886198,0.030546970811124625,-0.025487112516579757,0.9196517023192534,0.01890480093663638,-0.01609276348780786,0.8592923859268288,0.023424692661896757,-0.021088904522171825
A1,time,24,M4,25,0.7111514288061432,0.06423667327096096,-0.03639560135453468,0.9161249294804357,0.030576307231800198,-0.02049475607197082,0.6992006143768683,0.04679816910498134,-0.051855924249195606,0.8136381791432895,0.031107569768996094,-0.028445178713252806,0.9208003337616377,0.021842427599093064,-0.021002343717107408,0.8740711821994356,0.02383695850822263,-0.02375624174647495
A1,time,24,M8,25,0.6945292601191815,0.06671306334373257,-0.061097749149117586,0.9197715916268118,0.02554755354057967,-0.013051983519706822,0.6928037964812412,0.05096610089005169,-0.0576272193113897,0.8071504258729965,0.03398809906262001,-0.03707486633441248,0.9174946985049107,0.018930822766631168,-0.023549902367631104,0.8735668991870696,0.022739237806305906,-0.0229044039905979
A1,time,24,M3,25,0.48154509321365085,0.055166685637310954,-0.18829980966168774,0.950213453756049,0.019971561805033722,0.019890579882357207,0.5751602905850465,0.05915719443734496,-0.1157135576076681,0.7158792734848499,0.03151944728853009,-0.08420461488966524,0.8966377358580846,0.025655924710503403,-0.02744053807721436,0.8540498407199418,0.02131386225327274,-0.022835820307716026
A2,frequency,22,M1,25,0.8440540796973803,0.046111121355838995,-0.003939239091189428,0.7877883383180141,0.029685768156898593,-0.050064714869649696,0.6341934608985093,0.04096936590219458,-0.05256280008334124,0.8159212090076972,0.031357636342054365,-0.027001976980419617,0.8736324930398309,0.024888461539807213,-0.048542921474864276,0.7993459239562671,0.028170719350734393,-0.04060688596437567
A2,frequency,22,M5,25,0.7760989473604986,0.048672396538744556,-0.021900177571372192,0.8494914993936793,0.03226128679240904,-0.05213035748484929,0.6589735461012269,0.034310196181355654,-0.07542765307099186,0.8127952233770889,0.023351142853035196,-0.037015267528110685,0.9040068212184778,0.017600351727273682,-0.031737644588583525,0.8344533240103867,0.023626778518732624,-0.045927966438613854
A2,frequency,22,M4,25,0.7284145798413626,0.04394430136174661,-0.01913245031931532,0.8689043399041568,0.027699288332508804,-0.06771534564824966,0.6521766963421024,0.027394105368055286,-0.09887984228396152,0.7986594598727597,0.018341465588123863,-0.043423897983782656,0.9107022969340168,0.01591572611132836,-0.0311003805447283,0.8400781930282846,0.018689453517435554,-0.05774923091762596
A2,frequency,22,M8,25,0.6864435220527784,0.041312360687457604,-0.0691834872155207,0.8993356179077102,0.023104282477466567,-0.033487957238808375,0.6617192577759567,0.031050714831874823,-0.08871175801667419,0.7928895699802443,0.019784142854191163,-0.05133572222716465,0.909806823845885,0.01420193988929296,-0.031237777026656866,0.8556278511519967,0.017364438820664196,-0.04084345202567086
A2,frequency,22,M3,25,0.4972956543929714,0.06294215644300827,-0.1725492484823672,0.9235194093918395,0.01802404838657556,-0.006803464481852317,0.553475985796591,0.050754447283413925,-0.13739786239612362,0.7104075318924055,0.030792206865343855,-0.0896763564821097,0.8957034689202501,0.019405963614319104,-0.028374805015048854,0.836108981294736,0.01699370140017001,-0.04077667973292187
