method,outer_fold,scored_with,role,fitness_model,n_selected,inner_fitness_j,inner_macro_f1,outer_j,refit_seconds,n_train,n_test,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative,macro_f1
SO-03a,r0f0,M3,fitness_model,M3,33,0.2669404082739569,0.8298366838322355,0.33158464921337744,1.0142618999816477,2593,647,0.8160741885625966,0.7577007943512798,0.6590909090909091,0.8563106796116505,0.5403726708074534,0.5938566552901023,0.4804025017641932,,,87.0,74.0,441.0,45.0,647.0,132.0,515.0,0.7374877682044918
SO-03a,r0f0,M4,evaluation_model,M3,33,0.2669404082739569,0.8298366838322355,0.31454205979084965,3.094615900015924,2593,647,0.8315301391035549,0.7871285672256546,0.7121212121212122,0.8621359223300971,0.5696969696969697,0.632996632996633,0.5309229372327937,,,94.0,71.0,444.0,38.0,647.0,132.0,515.0,0.7618343245223886
