ranker,k,n_evaluations,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,chosen_ranker,chosen_k
anova_f,10,15,0.7977311146574382,0.0364296650165999,0.8590581157160347,0.0334648848670916,0.8158603745987033,0.0266274418844204,gb_importance,20
anova_f,20,15,0.8066549672826627,0.0351623643829949,0.8683293470204032,0.0293949477712692,0.8181119591910905,0.0285250692781032,gb_importance,20
anova_f,30,15,0.8117376224621525,0.0357267768257474,0.872031669124938,0.0293120772387879,0.8231124448431013,0.0312854496662539,gb_importance,20
anova_f,40,15,0.815267820902206,0.0358853540075408,0.8754254758487512,0.029020771327901,0.8239702551016942,0.0313610997074378,gb_importance,20
anova_f,50,15,0.8266097506309866,0.029839419100538,0.8849966067911083,0.0241576002500424,0.8304399798283312,0.0266280470026009,gb_importance,20
anova_f,60,15,0.8267237196066511,0.0325661237006002,0.8855297782356765,0.0256611508527501,0.8289413769717169,0.0283668643635701,gb_importance,20
anova_f,70,15,0.8264484855369897,0.031318868821705,0.8856884683500283,0.0248598409582702,0.8280596261322083,0.0291559294454837,gb_importance,20
anova_f,80,15,0.8308465625069051,0.0326023244583372,0.8885407897342099,0.0248097289710015,0.8329377825420264,0.0315197135839612,gb_importance,20
anova_f,100,15,0.8312032815096345,0.0317903486164502,0.8890807308333628,0.0244375541304356,0.8324294516615872,0.0309269477885382,gb_importance,20
anova_f,120,15,0.8304384870261979,0.03155243705046,0.8888492486850377,0.0237320063293518,0.8310277172152134,0.0309654877739385,gb_importance,20
anova_f,138,15,0.8312962021524544,0.03308655629064,0.8897684599244285,0.0246357849402209,0.8306382767628931,0.0317032379162343,gb_importance,20
gb_importance,10,15,0.8190839106829236,0.0306749164333805,0.8768717906662028,0.0252002180058004,0.8316974965045196,0.0276024729377537,gb_importance,20
gb_importance,20,15,0.8323070641442019,0.031550105391403,0.887463945168488,0.0250993133902592,0.8400983615750435,0.0279552612988092,gb_importance,20
gb_importance,30,15,0.8356556315204953,0.0303292040336189,0.8905464417095229,0.0235072225276004,0.8410670266963496,0.0276690018421776,gb_importance,20
gb_importance,40,15,0.8335080917208969,0.0329315648508955,0.8897093114107729,0.0245969270814954,0.8374820961154763,0.0322112019930245,gb_importance,20
gb_importance,50,15,0.834769289741533,0.0317560772297378,0.8906182960956636,0.0238492049692968,0.8387299000522244,0.0318582056843243,gb_importance,20
gb_importance,60,15,0.8369947368501383,0.027785730495986,0.8928592267580967,0.021274248729312,0.8383114498588885,0.0263541601430354,gb_importance,20
gb_importance,70,15,0.8354024126533849,0.0309630726621262,0.8916219994968498,0.0233100318165384,0.8375266763389514,0.030851451547739,gb_importance,20
gb_importance,80,15,0.8359835033499304,0.0317607345621587,0.8923209552865041,0.0236701217614166,0.8368706575690735,0.0304557375397906,gb_importance,20
gb_importance,100,15,0.8336324227805795,0.0307425123870319,0.8910156043590104,0.0233193678816728,0.8338000370261988,0.0294871296410991,gb_importance,20
gb_importance,120,15,0.8319103023781155,0.0314229162198355,0.8899335261889492,0.0240071210518066,0.8317128664239308,0.0293071024346054,gb_importance,20
gb_importance,138,15,0.8312962021524544,0.03308655629064,0.8897684599244285,0.0246357849402209,0.8306382767628931,0.0317032379162343,gb_importance,20
mutual_info,10,15,0.8119349732536963,0.0348992443749996,0.87149919533039,0.0300779231968436,0.8244987341355237,0.0284972697648361,gb_importance,20
mutual_info,20,15,0.8200217372520113,0.03697000847154,0.8796011540477253,0.03022133528426,0.8253943238694809,0.0303329357296842,gb_importance,20
mutual_info,30,15,0.820247357812224,0.0356878794179269,0.8799148663914605,0.0295411852519076,0.8255478767377551,0.0309370199162796,gb_importance,20
mutual_info,40,15,0.8257449180550608,0.0366445255145898,0.8840796779623581,0.0284325685401968,0.8304189115455007,0.033935616975309,gb_importance,20
mutual_info,50,15,0.8285659211867565,0.0340593412825527,0.8864578578204776,0.0269067588609361,0.8317498368018448,0.0311185682699574,gb_importance,20
mutual_info,60,15,0.8270391049920128,0.0341784103382326,0.8853783134502083,0.0263766588808106,0.8306538547641475,0.0315458143799195,gb_importance,20
mutual_info,70,15,0.8295472092486607,0.0335556994648826,0.8876179092588302,0.0254455377596777,0.8316743965076846,0.031659238130465,gb_importance,20
mutual_info,80,15,0.8309110053324288,0.0307378831623981,0.8884646001369295,0.0232596113193763,0.8334544382261666,0.029456741019262,gb_importance,20
mutual_info,100,15,0.8313340769377284,0.0337297267153372,0.8887753433931961,0.0263097416100665,0.8329277523187565,0.0299943736523504,gb_importance,20
mutual_info,120,15,0.831210438530839,0.0317611355745765,0.8891627918461074,0.0243562515687465,0.8320756093530929,0.0301327590955861,gb_importance,20
mutual_info,138,15,0.8312962021524544,0.03308655629064,0.8897684599244285,0.0246357849402209,0.8306382767628931,0.0317032379162343,gb_importance,20
rf_importance,10,15,0.7949263731234478,0.0347878935023653,0.8581530635339764,0.0305674058765588,0.8111586762382071,0.0281978674977546,gb_importance,20
rf_importance,20,15,0.8246597361705674,0.0348415884075255,0.8820630882523453,0.0269185652196332,0.8333469790476745,0.0326023543133445,gb_importance,20
rf_importance,30,15,0.8297215560217431,0.033566177545644,0.8862286366124761,0.0257926758926137,0.8363850170857975,0.0320843886139059,gb_importance,20
rf_importance,40,15,0.8308408502983643,0.0330205536185921,0.8869950775718886,0.0260067305018305,0.8372430495628064,0.0309095204699788,gb_importance,20
rf_importance,50,15,0.8317989294108737,0.0336662587566591,0.8877671349310994,0.0258232535642058,0.8379030873064185,0.0315001492353096,gb_importance,20
rf_importance,60,15,0.830213113044877,0.0324277157517505,0.8873078515657565,0.0252788584316638,0.8345283910554578,0.0309321054741122,gb_importance,20
rf_importance,70,15,0.8311752564228928,0.0325091626100481,0.8877768855576446,0.0252674647526553,0.8359603730029188,0.0307932338452306,gb_importance,20
rf_importance,80,15,0.8318055784226254,0.0310245789830896,0.8888537429885485,0.0239355979112948,0.8346786710268439,0.0289447618749396,gb_importance,20
rf_importance,100,15,0.8333975149111218,0.0335620413160651,0.8904029274407562,0.0256563413914099,0.8345270415593203,0.031193992411493,gb_importance,20
rf_importance,120,15,0.8339530036884945,0.0310255087000851,0.8911607373920061,0.0235107738562313,0.8343042708095789,0.0298361941514767,gb_importance,20
rf_importance,138,15,0.8312962021524544,0.03308655629064,0.8897684599244285,0.0246357849402209,0.8306382767628931,0.0317032379162343,gb_importance,20
