run,rank,model_id,model_name,x,mean,sd,n_folds,pr_auc_mean,pr_auc_sd,prevalence,legend
EXP-A1,1,M6,Soft Voting (equal weights),0.3,0.833444,0.102276,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.31,0.829482,0.10675,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.32,0.82877,0.107035,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.33,0.828634,0.107926,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.34,0.828599,0.109154,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.35,0.827233,0.112871,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.36,0.828121,0.112206,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.37,0.828087,0.110916,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.38,0.827243,0.110019,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.39,0.82484,0.108408,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.4,0.824069,0.107652,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.41,0.823534,0.10719,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.42,0.822896,0.106589,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
