task,run,model_id,class_index,class_name,x,mean,sd,n_folds,n_folds_total,auc_mean,auc_sd,ovr_auc_macro_mean,legend
pascal_a,EXP-B1,M4,0,normal,0.0,0.057499999999999996,0.03577838163741609,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.01,0.057499999999999996,0.03577838163741609,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.02,0.057499999999999996,0.03577838163741609,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.03,0.08333333333333333,0.07997877804937761,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.04,0.08333333333333333,0.07997877804937761,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.05,0.11583333333333332,0.06540472290116195,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.06,0.11583333333333332,0.06540472290116195,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.07,0.15485416666666665,0.08875695775630395,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.08,0.15629166666666666,0.0873235544602958,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.09,0.2164791666666667,0.11489546921637345,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.1,0.21791666666666668,0.11332941850537058,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.11,0.2575,0.12374056891360136,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.12,0.2575,0.12374056891360136,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.13,0.27083333333333337,0.13176156917368248,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.14,0.28958333333333336,0.13517606831256943,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.15,0.28958333333333336,0.13517606831256943,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
