run,rank,model_id,model_name,x,mean,sd,n_folds,roc_auc_mean,roc_auc_sd,legend
EXP-A1,1,M6,Soft Voting (equal weights),0.33,0.986172,0.02059,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.34,0.990364,0.016153,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.35,0.991556,0.016,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.36,0.993078,0.0131,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.37,0.994574,0.011461,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.38,0.995782,0.009288,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.39,0.996695,0.007244,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.4,0.997901,0.005114,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.41,0.998812,0.002778,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.42,0.999708,0.00146,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.43,0.999708,0.00146,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.44,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.45,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.46,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.47,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
