method,model_id,task,outer_fold,repeat,fold,objective,trial,score,score_std,n_inner_folds,seconds,status,inner_accuracy,inner_balanced_accuracy,inner_f1,inner_sensitivity,inner_specificity,inner_fold_0_score,inner_fold_1_score,inner_fold_2_score,inner_fold_0_accuracy,inner_fold_0_balanced_accuracy,inner_fold_0_f1,inner_fold_0_sensitivity,inner_fold_0_specificity,inner_fold_1_accuracy,inner_fold_1_balanced_accuracy,inner_fold_1_f1,inner_fold_1_sensitivity,inner_fold_1_specificity,inner_fold_2_accuracy,inner_fold_2_balanced_accuracy,inner_fold_2_f1,inner_fold_2_sensitivity,inner_fold_2_specificity,param_C,param_l1_ratio,param_max_iter,param_solver,message,best_so_far,param_class_weight,param_gamma,param_max_depth,param_max_features,param_min_samples_leaf,param_n_estimators,param_learning_rate,param_subsample,param_colsample_bytree,param_reg_lambda
random,M1,binary,r0f0,0,0,balanced_accuracy,13,0.842357,0.021564,3,1.0866,ok,0.849981,0.842304,0.694423,0.829268,0.85534,0.853524,0.812198,0.86135,0.868298,0.853524,0.719603,0.828571,0.878477,0.796552,0.812198,0.63048,0.838889,0.785507,0.885549,0.86135,0.746803,0.820225,0.902475,12.444373112949084,0.0,1000.0,liblinear,,0.853236,,,,,,,,,,
random,M1,binary,r0f0,0,0,balanced_accuracy,14,0.839641,0.025586,3,17.2082,ok,0.851138,0.839555,0.693651,0.819887,0.859223,0.852131,0.803986,0.862805,0.869464,0.852131,0.72,0.822857,0.881406,0.796552,0.803986,0.624204,0.816667,0.791304,0.887861,0.862805,0.750643,0.820225,0.905386,9.752257042290216,1.0,5000.0,liblinear,,0.853236,,,,,,,,,,
random,M1,binary,r0f0,0,0,balanced_accuracy,15,0.847282,0.026518,3,0.7528,ok,0.848824,0.847139,0.696594,0.844278,0.85,0.874256,0.811232,0.856357,0.877622,0.874256,0.743276,0.868571,0.879941,0.788506,0.811232,0.62449,0.85,0.772464,0.880925,0.856357,0.737913,0.814607,0.898108,2.0964108751746227,0.0,5000.0,liblinear,,0.853236,,,,,,,,,,
random,M1,binary,r0f0,0,0,balanced_accuracy,16,0.831597,0.017179,3,0.293,ok,0.767836,0.831632,0.624688,0.939962,0.723301,0.829032,0.811957,0.853802,0.778555,0.829032,0.627451,0.914286,0.743777,0.731034,0.811957,0.59375,0.95,0.673913,0.79422,0.853802,0.656371,0.955056,0.752547,0.0015307596551917394,0.0,2000.0,liblinear,,0.853236,,,,,,,,,,
random,M1,binary,r0f0,0,0,balanced_accuracy,17,0.83584,0.020081,3,0.3787,ok,0.809873,0.835836,0.655486,0.879925,0.791748,0.845045,0.807971,0.854505,0.834499,0.845045,0.68018,0.862857,0.827233,0.754023,0.807971,0.60223,0.9,0.715942,0.841618,0.854505,0.694878,0.876404,0.832606,0.019386885123804917,0.0,5000.0,liblinear,,0.853236,,,,,,,,,,
random,M1,binary,r0f0,0,0,balanced_accuracy,18,0.832749,0.023945,3,6.2135,ok,0.810644,0.832845,0.653982,0.870544,0.795146,0.825848,0.807488,0.864911,0.831002,0.825848,0.663573,0.817143,0.834553,0.75977,0.807488,0.604915,0.888889,0.726087,0.841618,0.864911,0.701525,0.904494,0.825328,0.025330100633345683,1.0,1000.0,saga,,0.853236,,,,,,,,,,
random,M1,binary,r0f0,0,0,balanced_accuracy,19,0.82515,0.013788,3,0.2804,ok,0.764366,0.825275,0.618364,0.928705,0.721845,0.818548,0.81256,0.84434,0.785548,0.818548,0.62449,0.874286,0.762811,0.728736,0.81256,0.593103,0.955556,0.669565,0.779191,0.84434,0.640301,0.955056,0.733624,0.010042400083925793,1.0,1000.0,liblinear,,0.853236,,,,,,,,,,
random,M1,binary,r0f0,0,0,balanced_accuracy,20,0.79608,0.013549,3,0.8288,ok,0.771307,0.796266,0.60121,0.838649,0.753883,0.780226,0.794686,0.813327,0.782051,0.780226,0.592593,0.777143,0.783309,0.745977,0.794686,0.588454,0.877778,0.711594,0.786127,0.813327,0.623218,0.859551,0.767103,0.0034696619597296154,1.0,5000.0,saga,,0.853236,,,,,,,,,,
random,M1,binary,r0f0,0,0,balanced_accuracy,21,0.829803,0.02078,3,1.9699,ok,0.807173,0.829965,0.649369,0.868668,0.791262,0.817277,0.813043,0.859089,0.827506,0.817277,0.654206,0.8,0.834553,0.762069,0.813043,0.610169,0.9,0.726087,0.83237,0.859089,0.689507,0.904494,0.813683,0.009281767257895056,0.5,2000.0,saga,,0.853236,,,,,,,,,,
random,M1,binary,r0f0,0,0,balanced_accuracy,22,0.826253,0.021629,3,1.6178,ok,0.804859,0.826423,0.645161,0.863039,0.789806,0.812294,0.809662,0.856803,0.82634,0.812294,0.649412,0.788571,0.836018,0.763218,0.809662,0.608365,0.888889,0.730435,0.825434,0.856803,0.682105,0.910112,0.803493,0.008201109607796539,0.5,2000.0,saga,,0.853236,,,,,,,,,,
random,M1,binary,r0f0,0,0,balanced_accuracy,23,0.833131,0.018078,3,0.3383,ok,0.789047,0.83316,0.638944,0.908068,0.758252,0.836708,0.80942,0.853266,0.807692,0.836708,0.652632,0.885714,0.787701,0.736782,0.80942,0.59469,0.933333,0.685507,0.823121,0.853266,0.677895,0.904494,0.802038,0.005105466286629377,0.0,5000.0,liblinear,,0.853236,,,,,,,,,,
random,M1,binary,r0f0,0,0,balanced_accuracy,24,0.84353,0.021778,3,35.0319,ok,0.849595,0.843452,0.694836,0.833021,0.853883,0.860703,0.812802,0.857085,0.87296,0.860703,0.729529,0.84,0.881406,0.794253,0.812802,0.6294,0.844444,0.781159,0.882081,0.857085,0.739796,0.814607,0.899563,282.80308599515996,0.5,2000.0,saga,,0.853236,,,,,,,,,,
random,M1,binary,r0f0,0,0,balanced_accuracy,25,0.837356,0.024614,3,1.4006,ok,0.850752,0.837227,0.691633,0.814259,0.860194,0.857114,0.802657,0.852297,0.870629,0.857114,0.724566,0.834286,0.879941,0.797701,0.802657,0.623932,0.811111,0.794203,0.884393,0.852297,0.739583,0.797753,0.906841,653.2181812249493,0.0,5000.0,lbfgs,,0.853236,,,,,,,,,,
random,M1,binary,r0f0,0,0,balanced_accuracy,26,0.840174,0.024082,3,18.8664,ok,0.853066,0.840074,0.69593,0.818011,0.862136,0.855721,0.806159,0.858643,0.871795,0.855721,0.725,0.828571,0.88287,0.8,0.806159,0.628205,0.816667,0.795652,0.887861,0.858643,0.748052,0.808989,0.908297,20.014333627688938,1.0,5000.0,liblinear,,0.853236,,,,,,,,,,
random,M1,binary,r0f0,0,0,balanced_accuracy,27,0.831289,0.017574,3,0.3206,ok,0.78172,0.83133,0.632944,0.915572,0.747087,0.83078,0.810024,0.853062,0.794872,0.83078,0.639344,0.891429,0.770132,0.734483,0.810024,0.594025,0.938889,0.681159,0.816185,0.853062,0.672165,0.91573,0.790393,0.003787440099223939,0.0,5000.0,liblinear,,0.853236,,,,,,,,,,
random,M1,binary,r0f0,0,0,balanced_accuracy,28,0.845903,0.024493,3,0.773,ok,0.849981,0.845781,0.696804,0.838649,0.852913,0.869274,0.812077,0.856357,0.876457,0.869274,0.738916,0.857143,0.881406,0.793103,0.812077,0.628099,0.844444,0.77971,0.880925,0.856357,0.737913,0.814607,0.898108,2.987565348861047,0.0,1000.0,liblinear,,0.853236,,,,,,,,,,
random,M1,binary,r0f0,0,0,balanced_accuracy,29,0.844015,0.021632,3,22.1086,ok,0.850366,0.843938,0.695925,0.833021,0.854854,0.861435,0.813527,0.857085,0.874126,0.861435,0.731343,0.84,0.88287,0.795402,0.813527,0.630705,0.844444,0.782609,0.882081,0.857085,0.739796,0.814607,0.899563,137.93856529296107,0.0,2000.0,saga,,0.853236,,,,,,,,,,
random,M1,binary,r0f0,0,0,balanced_accuracy,30,0.846388,0.024394,3,0.7633,ok,0.850752,0.846266,0.697892,0.838649,0.853883,0.870006,0.812802,0.856357,0.877622,0.870006,0.740741,0.857143,0.88287,0.794253,0.812802,0.6294,0.844444,0.781159,0.880925,0.856357,0.737913,0.814607,0.898108,3.1958604960889847,0.0,2000.0,liblinear,,0.853236,,,,,,,,,,
random,M1,binary,r0f0,0,0,balanced_accuracy,31,0.851314,0.020673,3,8.4896,ok,0.84651,0.851245,0.697108,0.859287,0.843204,0.869203,0.822343,0.862396,0.87296,0.869203,0.734793,0.862857,0.875549,0.793103,0.822343,0.635628,0.872222,0.772464,0.873988,0.862396,0.733496,0.842697,0.882096,0.31249596427334025,0.0,1000.0,saga,,0.853236,,,,,,,,,,
random,M1,binary,r0f0,0,0,balanced_accuracy,32,0.851013,0.024016,3,0.5303,ok,0.850366,0.850891,0.700617,0.851782,0.85,0.877846,0.819565,0.855629,0.879953,0.877846,0.748166,0.874286,0.881406,0.791954,0.819565,0.63286,0.866667,0.772464,0.879769,0.855629,0.736041,0.814607,0.896652,0.9203328322561717,0.0,2000.0,lbfgs,,0.853236,,,,,,,,,,
random,M1,binary,r0f0,0,0,balanced_accuracy,33,0.833421,0.021285,3,0.2734,ok,0.8172,0.833494,0.659483,0.861163,0.805825,0.827973,0.810507,0.861783,0.831002,0.827973,0.665127,0.822857,0.833089,0.767816,0.810507,0.611538,0.883333,0.737681,0.853179,0.861783,0.710706,0.876404,0.847162,0.004172706192277602,0.0,2000.0,lbfgs,,0.853236,,,,,,,,,,
random,M1,binary,r0f0,0,0,balanced_accuracy,34,0.833968,0.023829,3,1.1759,ok,0.821442,0.834078,0.663273,0.855535,0.812621,0.823794,0.811232,0.866878,0.834499,0.823794,0.665094,0.805714,0.841874,0.768966,0.811232,0.612717,0.883333,0.73913,0.861272,0.866878,0.722222,0.876404,0.857351,0.010557420292335693,0.0,5000.0,saga,,0.853236,,,,,,,,,,
random,M1,binary,r0f0,0,0,balanced_accuracy,35,0.826839,0.0174,3,0.8279,ok,0.805631,0.826908,0.646067,0.863039,0.790777,0.822046,0.808333,0.850138,0.818182,0.822046,0.650224,0.828571,0.81552,0.764368,0.808333,0.608031,0.883333,0.733333,0.834682,0.850138,0.685714,0.876404,0.823872,0.0013703238804305981,0.0,2000.0,saga,,0.853236,,,,,,,,,,
random,M1,binary,r0f0,0,0,balanced_accuracy,36,0.852666,0.024056,3,3.3683,ok,0.851909,0.852557,0.703246,0.853659,0.851456,0.873524,0.818961,0.865512,0.876457,0.873524,0.741463,0.868571,0.878477,0.794253,0.818961,0.633947,0.861111,0.776812,0.885549,0.865512,0.749367,0.831461,0.899563,0.8316679876025234,1.0,2000.0,liblinear,,0.853236,,,,,,,,,,
random,M1,binary,r0f0,0,0,balanced_accuracy,37,0.847318,0.018431,3,8.3499,ok,0.853452,0.84727,0.701258,0.836773,0.857767,0.860703,0.821256,0.859996,0.87296,0.860703,0.729529,0.84,0.881406,0.801149,0.821256,0.640333,0.855556,0.786957,0.886705,0.859996,0.747423,0.814607,0.905386,2.693818395272264,1.0,2000.0,liblinear,,0.853236,,,,,,,,,,
random,M1,binary,r0f0,0,0,balanced_accuracy,38,0.844015,0.021632,3,22.1661,ok,0.850366,0.843938,0.695925,0.833021,0.854854,0.861435,0.813527,0.857085,0.874126,0.861435,0.731343,0.84,0.88287,0.795402,0.813527,0.630705,0.844444,0.782609,0.882081,0.857085,0.739796,0.814607,0.899563,90.73013251163296,0.0,2000.0,saga,,0.853236,,,,,,,,,,
random,M1,binary,r0f0,0,0,balanced_accuracy,39,0.847567,0.027123,3,0.6067,ok,0.850366,0.847414,0.698289,0.842402,0.852427,0.874988,0.810628,0.857085,0.878788,0.874988,0.745098,0.868571,0.881406,0.790805,0.810628,0.625514,0.844444,0.776812,0.882081,0.857085,0.739796,0.814607,0.899563,2.1096813382897737,0.0,1000.0,lbfgs,,0.853236,,,,,,,,,,
random,M3,binary,r0f0,0,0,balanced_accuracy,0,0.80036,0.024746,3,3.2381,ok,0.880062,0.800739,0.695397,0.666041,0.935437,0.767413,0.827053,0.806613,0.88345,0.767413,0.666667,0.571429,0.963397,0.868966,0.827053,0.704663,0.755556,0.898551,0.887861,0.806613,0.710448,0.668539,0.944687,74.0935226017336,,,,,0.80036,balanced,0.015645599135697307,,,,,,,,
random,M3,binary,r0f0,0,0,balanced_accuracy,1,0.707231,0.031094,3,2.1292,ok,0.861165,0.707488,0.569378,0.446529,0.968447,0.669822,0.705918,0.745952,0.856643,0.669822,0.502024,0.354286,0.985359,0.849425,0.705918,0.558923,0.461111,0.950725,0.877457,0.745952,0.636986,0.522472,0.969432,30.678925535464295,,,,,0.80036,,0.00029572411409066154,,,,,,,,
random,M3,binary,r0f0,0,0,balanced_accuracy,2,0.499758,0.000342,3,5.7654,ok,0.794061,0.499757,0.0,0.0,0.999515,0.5,0.499275,0.5,0.796037,0.5,0.0,0.0,1.0,0.791954,0.499275,0.0,0.0,0.998551,0.79422,0.5,0.0,0.0,1.0,755.2865626115623,,,,,0.80036,,0.6392908815231854,,,,,,,,
random,M3,binary,r0f0,0,0,balanced_accuracy,3,0.755971,0.023542,3,4.7902,ok,0.865793,0.756295,0.635983,0.570356,0.942233,0.72302,0.77657,0.768322,0.86014,0.72302,0.589041,0.491429,0.954612,0.854023,0.77657,0.64624,0.644444,0.908696,0.883237,0.768322,0.668852,0.573034,0.96361,0.04370872753994992,,,,,0.80036,,0.017861983731416318,,,,,,,,
random,M3,binary,r0f0,0,0,balanced_accuracy,4,0.5,0.0,3,6.996,ok,0.794447,0.5,0.0,0.0,1.0,0.5,0.5,0.5,0.796037,0.5,0.0,0.0,1.0,0.793103,0.5,0.0,0.0,1.0,0.79422,0.5,0.0,0.0,1.0,0.7144800737102959,,,,,0.80036,,4.3035310846126915,,,,,,,,
random,M3,binary,r0f0,0,0,balanced_accuracy,5,0.801297,0.024854,3,3.5377,ok,0.880447,0.801677,0.696673,0.667917,0.935437,0.767413,0.826329,0.81015,0.88345,0.767413,0.666667,0.571429,0.963397,0.867816,0.826329,0.702842,0.755556,0.897101,0.890173,0.81015,0.716418,0.674157,0.946143,129.95951034240832,,,,,0.801297,,0.01648431838721491,,,,,,,,
random,M3,binary,r0f0,0,0,balanced_accuracy,6,0.719633,0.020481,3,5.4902,ok,0.856537,0.719873,0.58296,0.487805,0.951942,0.69877,0.747464,0.712665,0.851981,0.69877,0.548043,0.44,0.95754,0.863218,0.747464,0.624606,0.55,0.944928,0.854335,0.712665,0.571429,0.47191,0.953421,0.13683386964345495,,,,,0.801297,,0.059282148520287944,,,,,,,,
