exp_id,model_id,task,repeat,fold,fold_label,n_train,n_test,n_features,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative,brier,ece,fit_seconds,predict_seconds,params,note
EXP-F1,M1,binary,0,0,r0f0,2593,647,63,0.749613601236476,0.7666593115622242,0.7954545454545454,0.7378640776699029,0.4375,0.5645161290322581,0.44491239373345604,0.8735510444248309,0.6232880993933619,105.0,135.0,380.0,27.0,647.0,132.0,515.0,0.3260013214214581,0.11700263350551222,0.165386,0.007473,{},config defaults
EXP-F1,M1,binary,0,1,r0f1,2589,651,63,0.8402457757296466,0.8358425474176505,0.8283582089552238,0.8433268858800773,0.578125,0.6809815950920245,0.5955338129769873,0.918863131152747,0.7140772443314487,111.0,81.0,436.0,23.0,651.0,134.0,517.0,0.230638218070074,0.03935200778969433,0.108997,0.00412,{},config defaults
EXP-F1,M1,binary,0,2,r0f2,2596,644,63,0.8649068322981367,0.8384670327217535,0.7938931297709924,0.8830409356725146,0.6341463414634146,0.7050847457627119,0.6254580080483089,0.9252711932503013,0.7903657640131271,104.0,60.0,453.0,27.0,644.0,131.0,513.0,0.19607116707556368,0.02626504858659888,0.154459,0.009837,{},config defaults
EXP-F1,M1,binary,0,3,r0f3,2585,655,63,0.8305343511450382,0.8391694614322351,0.8540145985401459,0.8243243243243243,0.5625,0.6782608695652174,0.5926338745865656,0.9051940365808978,0.686710795502848,117.0,91.0,427.0,20.0,655.0,137.0,518.0,0.24558523165327745,0.025742678417936003,0.175469,0.004685,{},config defaults
EXP-F1,M1,binary,0,4,r0f4,2597,643,63,0.8087091757387247,0.8486402671755725,0.916030534351145,0.78125,0.5172413793103449,0.6611570247933884,0.5848079478930256,0.9080093034351145,0.6536042076015095,120.0,112.0,400.0,11.0,643.0,131.0,512.0,0.26911790778736006,0.06063133595601801,0.116203,0.004017,{},config defaults
EXP-F1,M1,binary,1,0,r1f0,2593,647,63,0.7650695517774343,0.7848190644307149,0.8181818181818182,0.7514563106796116,0.4576271186440678,0.5869565217391305,0.47688396409313655,0.8599735216240071,0.555497720623825,108.0,128.0,387.0,24.0,647.0,132.0,515.0,0.32788339454743887,0.07375447744846216,0.093402,0.006908,{},config defaults
EXP-F1,M1,binary,1,1,r1f1,2585,655,63,0.8259541984732824,0.8413379802788168,0.8676470588235294,0.815028901734104,0.5514018691588785,0.6742857142857143,0.5903934923088093,0.9117647058823529,0.7066415642170046,118.0,96.0,423.0,18.0,655.0,136.0,519.0,0.24362633857859037,0.043511171707254534,0.106809,0.003915,{},config defaults
EXP-F1,M1,binary,1,2,r1f2,2596,644,63,0.8633540372670807,0.84601877892356,0.816793893129771,0.8752436647173489,0.6257309941520468,0.7086092715231788,0.6308053524176063,0.9320863651920301,0.8017206534720962,107.0,64.0,449.0,24.0,644.0,131.0,513.0,0.1937921928401622,0.0326464810666857,0.108443,0.005127,{},config defaults
EXP-F1,M1,binary,1,3,r1f3,2589,651,63,0.8125960061443932,0.8161498708010335,0.8222222222222222,0.810077519379845,0.5311004784688995,0.6453488372093024,0.5490734720026713,0.9119867929945449,0.7110723087406502,111.0,98.0,418.0,24.0,651.0,135.0,516.0,0.2532190268016412,0.06446620567957496,0.093131,0.004472,{},config defaults
EXP-F1,M1,binary,1,4,r1f4,2597,643,63,0.8429237947122862,0.864444179389313,0.9007633587786259,0.828125,0.5728155339805825,0.7002967359050445,0.6291545094211006,0.932803554389313,0.7329211179075186,118.0,88.0,424.0,13.0,643.0,131.0,512.0,0.22448976945618207,0.026539928155143166,0.09743,0.003917,{},config defaults
EXP-F1,M1,binary,2,0,r2f0,2596,644,63,0.7717391304347826,0.785671770605479,0.8091603053435115,0.7621832358674464,0.4649122807017544,0.5905292479108635,0.48092523270980814,0.8836063866196451,0.6298150244464389,106.0,122.0,391.0,25.0,644.0,131.0,513.0,0.30609963790638517,0.08037515655808852,0.101476,0.008057,{},config defaults
EXP-F1,M1,binary,2,1,r2f1,2589,651,63,0.8202764976958525,0.8370911400444585,0.8656716417910447,0.8085106382978723,0.5395348837209303,0.664756446991404,0.5795788511465193,0.9122087820087186,0.7322424107721471,116.0,99.0,418.0,18.0,651.0,134.0,517.0,0.2548147056886451,0.05240839512505666,0.101144,0.004099,{},config defaults
EXP-F1,M1,binary,2,2,r2f2,2585,655,63,0.8396946564885496,0.8208015105825325,0.7883211678832117,0.8532818532818532,0.5869565217391305,0.6728971962616822,0.580593539107658,0.9110559986472395,0.7386671367571915,108.0,76.0,442.0,29.0,655.0,137.0,518.0,0.21875043088904061,0.032038487966370204,0.098173,0.004182,{},config defaults
EXP-F1,M1,binary,2,3,r2f3,2597,643,63,0.8242612752721618,0.8555656607824427,0.9083969465648855,0.802734375,0.5409090909090909,0.6780626780626781,0.6037246545108294,0.9112744513358779,0.6616589560346645,119.0,101.0,411.0,12.0,643.0,131.0,512.0,0.25888064222363877,0.04741457801537431,0.105452,0.005419,{},config defaults
EXP-F1,M1,binary,2,4,r2f4,2593,647,63,0.8531684698608965,0.8429758752574287,0.8257575757575758,0.8601941747572815,0.6022099447513812,0.6964856230031949,0.6158173252623783,0.9088114151220947,0.6746450731198551,109.0,72.0,443.0,23.0,647.0,132.0,515.0,0.22566797475367095,0.03888137255607699,0.092476,0.00394,{},config defaults
EXP-F1,M1,binary,3,0,r3f0,2596,644,63,0.7903726708074534,0.8144204871806318,0.8549618320610687,0.7738791423001949,0.49122807017543857,0.6239554317548747,0.5293233757244633,0.8859723524247429,0.6442610923248161,112.0,116.0,397.0,19.0,644.0,131.0,513.0,0.2960720056078582,0.07686158576392657,0.08318,0.004015,{},config defaults
EXP-F1,M1,binary,3,1,r3f1,2593,647,63,0.8578052550231839,0.8430714916151809,0.8181818181818182,0.8679611650485437,0.6136363636363636,0.7012987012987013,0.6213530279813939,0.9190791409238012,0.7060993966850543,108.0,68.0,447.0,24.0,647.0,132.0,515.0,0.21554158444320137,0.05428480571775937,0.096868,0.004149,{},config defaults
EXP-F1,M1,binary,3,2,r3f2,2585,655,63,0.8198473282442749,0.8673282896973818,0.9485294117647058,0.7861271676300579,0.5375,0.6861702127659575,0.618454617332553,0.9284398730590502,0.7410037918620073,129.0,111.0,408.0,7.0,655.0,136.0,519.0,0.2599485563698625,0.054167715914989575,0.099555,0.003979,{},config defaults
EXP-F1,M1,binary,3,3,r3f3,2589,651,63,0.8079877112135176,0.8159776055124892,0.8296296296296296,0.8023255813953488,0.5233644859813084,0.6418338108882522,0.5454192090502819,0.9007608383577376,0.6450692473629835,112.0,102.0,414.0,23.0,651.0,135.0,516.0,0.25536997939673706,0.05471519785179509,0.097051,0.004665,{},config defaults
EXP-F1,M1,binary,3,4,r3f4,2597,643,63,0.8475894245723172,0.8389715529580153,0.8244274809160306,0.853515625,0.5901639344262295,0.6878980891719745,0.6051449540471614,0.9176407442748091,0.7573552051025353,108.0,75.0,437.0,23.0,643.0,131.0,512.0,0.2227097148016497,0.030265400273604998,0.093724,0.004785,{},config defaults
EXP-F1,M1,binary,4,0,r4f0,2585,655,63,0.7847328244274809,0.8207525784880426,0.8823529411764706,0.7591522157996147,0.4897959183673469,0.6299212598425197,0.5377473941444812,0.882806301711436,0.6322369737027476,120.0,125.0,394.0,16.0,655.0,136.0,519.0,0.3069974050223358,0.06728805652366138,0.108896,0.004999,{},config defaults
EXP-F1,M1,binary,4,1,r4f1,2596,644,63,0.8462732919254659,0.8466660714551433,0.8473282442748091,0.8460038986354775,0.5842105263157895,0.6915887850467289,0.6119711348697511,0.9271312292605985,0.7438144464759608,111.0,79.0,434.0,20.0,644.0,131.0,513.0,0.21675918264827204,0.036396468185025434,0.08657,0.003899,{},config defaults
EXP-F1,M1,binary,4,2,r4f2,2593,647,63,0.8315301391035549,0.8434686672550751,0.8636363636363636,0.8233009708737864,0.5560975609756098,0.6765578635014837,0.5950036577087948,0.9292586054721977,0.7714013794302891,114.0,91.0,424.0,18.0,647.0,132.0,515.0,0.2225901558796087,0.038274057042102606,0.080366,0.004128,{},config defaults
