exp_id,model_id,task,repeat,fold,fold_label,n_train,n_test,n_features,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative,brier,ece,fit_seconds,predict_seconds,planner_inner_best_score,planner_n_trials,planner_search_seconds,planner_tuning,params,note,planner_inner_scores
EXP-A2,M1,binary,2,1,r2f1,2589,651,138,0.7496159754224271,0.8202459655301828,0.9402985074626866,0.7001934235976789,0.4483985765124555,0.6072289156626506,0.5228261622854127,0.887626663587286,0.6517914068306425,126.0,155.0,362.0,8.0,651.0,134.0,517.0,0.3492595525993643,0.02686297848394664,0.090141,0.006247,0.829839,12.0,72.16,nested-bayes,"{""C"": 0.001, ""l1_ratio"": 0.0, ""max_iter"": 1000, ""solver"": ""liblinear""}",bayes search inside this training fold,
EXP-A2,M1,binary,2,2,r2f2,2585,655,138,0.8549618320610687,0.8546134768762506,0.8540145985401459,0.8552123552123552,0.609375,0.7112462006079028,0.6336789577010611,0.927331398134318,0.789535710119711,117.0,75.0,443.0,20.0,655.0,137.0,518.0,0.1963578588635942,0.03955190956001667,0.162513,0.00641,0.828955,12.0,133.62,nested-bayes,"{""C"": 0.6317967091932517, ""l1_ratio"": 0.0, ""max_iter"": 1000, ""solver"": ""lbfgs""}",bayes search inside this training fold,
EXP-A2,M1,binary,2,3,r2f3,2597,643,138,0.8631415241057543,0.8885004174618321,0.9312977099236641,0.845703125,0.6069651741293532,0.7349397590361446,0.67512307255719,0.9336682967557252,0.734334489707835,122.0,79.0,433.0,9.0,643.0,131.0,512.0,0.2049711426535372,0.036468823953407295,0.214423,0.006958,0.83663,12.0,77.21,nested-bayes,"{""C"": 0.4731474644815011, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""liblinear""}",bayes search inside this training fold,
EXP-A2,M1,binary,2,4,r2f4,2593,647,138,0.8624420401854714,0.8488011179758752,0.8257575757575758,0.8718446601941747,0.6228571428571429,0.7100977198697068,0.632861127137228,0.9282141806413651,0.735488216005353,109.0,66.0,449.0,23.0,647.0,132.0,515.0,0.21513022858418737,0.07169294949542304,11.11164,0.006588,0.823827,12.0,57.73,nested-bayes,"{""C"": 60.153087183964686, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""saga""}",bayes search inside this training fold,
EXP-A2,M1,binary,3,0,r3f0,2596,644,138,0.7934782608695652,0.8135276698956891,0.8473282442748091,0.7797270955165692,0.4955357142857143,0.6253521126760564,0.5299703176734413,0.8924303974524946,0.666922682105866,111.0,113.0,400.0,20.0,644.0,131.0,513.0,0.2865192840135177,0.08509343444960138,0.220892,0.006617,0.851371,12.0,87.37,nested-bayes,"{""C"": 0.4731474644815011, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""liblinear""}",bayes search inside this training fold,
EXP-A2,M1,binary,3,1,r3f1,2593,647,138,0.8639876352395672,0.858223006766696,0.8484848484848485,0.8679611650485437,0.6222222222222222,0.717948717948718,0.6442869840822827,0.9353633421594587,0.7461171607798939,112.0,68.0,447.0,20.0,647.0,132.0,515.0,0.19193180491986128,0.04646044024707305,3.048191,0.00643,0.826517,12.0,34.29,nested-bayes,"{""C"": 0.158616128460017, ""l1_ratio"": 0.0, ""max_iter"": 5000, ""solver"": ""saga""}",bayes search inside this training fold,
EXP-A2,M1,binary,3,2,r3f2,2585,655,138,0.8351145038167939,0.8769622010653972,0.9485294117647058,0.8053949903660886,0.5608695652173913,0.7049180327868853,0.640652537060335,0.9469993199591976,0.756765947024639,129.0,101.0,418.0,7.0,655.0,136.0,519.0,0.22602373750812005,0.030221597261218567,4.917419,0.006232,0.839204,12.0,118.45,nested-bayes,"{""C"": 0.09239685675296978, ""l1_ratio"": 1.0, ""max_iter"": 5000, ""solver"": ""saga""}",bayes search inside this training fold,
EXP-A2,M1,binary,3,3,r3f3,2589,651,138,0.8448540706605223,0.8611111111111112,0.8888888888888888,0.8333333333333334,0.5825242718446602,0.7038123167155426,0.6295771635166278,0.9288257249497559,0.7318645428126261,120.0,86.0,430.0,15.0,651.0,135.0,516.0,0.213397604391138,0.041518531686379256,0.234096,0.006684,0.836295,12.0,65.18,nested-bayes,"{""C"": 0.4731474644815011, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""liblinear""}",bayes search inside this training fold,
EXP-A2,M1,binary,3,4,r3f4,2597,643,138,0.8693623639191291,0.855483659351145,0.8320610687022901,0.87890625,0.6374269005847953,0.7218543046357616,0.6481137146750052,0.9277045562977099,0.8035657065012235,109.0,62.0,450.0,22.0,643.0,131.0,512.0,0.1928826533135559,0.041255667649006914,0.293441,0.005965,0.83862,12.0,54.29,nested-bayes,"{""C"": 0.4731474644815011, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""liblinear""}",bayes search inside this training fold,
EXP-A2,M1,binary,4,0,r4f0,2585,655,138,0.7984732824427481,0.8294230987192565,0.8823529411764706,0.7764932562620424,0.5084745762711864,0.6451612903225806,0.5566396827346879,0.8994531338546979,0.6853219924748621,120.0,116.0,403.0,16.0,655.0,136.0,519.0,0.2876166282330605,0.06984283434475858,2.943254,0.006649,0.841628,12.0,88.12,nested-bayes,"{""C"": 0.204826454940904, ""l1_ratio"": 0.0, ""max_iter"": 1000, ""solver"": ""saga""}",bayes search inside this training fold,
