run,task,model_id,fold_label,duration_band,n_units,n_records_corpus,reported,median_duration_sec,min_duration_sec,n_classes_present,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative
EXP-A2,binary,M1,r1f0,long,343,1744,True,30.6505,20.079,2,0.7959183673469388,0.8493544435020262,0.9506172839506173,0.7480916030534351,0.5384615384615384,0.6875,0.6018751402848188,0.8994910941475827,0.6860085520445531,77.0,66.0,196.0,4.0,343.0,81.0,262.0
EXP-A2,binary,M1,r1f0,medium,304,1496,True,10.86375,5.3055,2,0.743421052631579,0.6501588777803611,0.5098039215686274,0.7905138339920948,0.3291139240506329,0.4,0.2558712869548304,0.8371696504688831,0.502162505094219,26.0,53.0,200.0,25.0,304.0,51.0,253.0
EXP-A2,binary,M1,r1f1,long,355,1744,True,30.308,20.225,2,0.8985915492957747,0.9111764705882353,0.94,0.8823529411764706,0.7580645161290323,0.8392857142857143,0.7759102833358335,0.9545098039215687,0.8446150027207001,94.0,30.0,225.0,6.0,355.0,100.0,255.0
EXP-A2,binary,M1,r1f1,medium,300,1496,True,12.3235,6.3335,2,0.7666666666666667,0.7474747474747474,0.7222222222222222,0.7727272727272727,0.3023255813953488,0.4262295081967213,0.35567880559506776,0.8386994949494948,0.41089457462841594,26.0,60.0,204.0,10.0,300.0,36.0,264.0
EXP-A2,binary,M1,r1f2,long,338,1744,True,27.4405,20.016,2,0.9171597633136095,0.9260781194768469,0.9456521739130435,0.9065040650406504,0.7909090909090909,0.8613861386138614,0.8095001417197011,0.9771562389536939,0.9410623793387596,87.0,23.0,223.0,5.0,338.0,92.0,246.0
EXP-A2,binary,M1,r1f2,medium,306,1496,True,13.262,7.7315,2,0.8202614379084967,0.7765773552290407,0.717948717948718,0.8352059925093633,0.3888888888888889,0.5045045045045045,0.4348709251308143,0.8576779026217227,0.428286358847748,28.0,44.0,223.0,11.0,306.0,39.0,267.0
EXP-A2,binary,M1,r1f3,long,332,1744,True,28.646,20.038,2,0.8765060240963856,0.8940886699507389,0.9310344827586207,0.8571428571428571,0.6982758620689655,0.7980295566502463,0.7269603816479032,0.9384471029791227,0.8152052603312592,81.0,35.0,210.0,6.0,332.0,87.0,245.0
EXP-A2,binary,M1,r1f3,medium,319,1496,True,11.558,7.4495,2,0.799373040752351,0.7447724477244773,0.6666666666666666,0.8228782287822878,0.4,0.5,0.40378840764628976,0.8869926199261993,0.5983784047530413,32.0,48.0,223.0,16.0,319.0,48.0,271.0
EXP-A2,binary,M1,r1f4,long,376,1744,True,29.656,20.001,2,0.8803191489361702,0.9024822695035462,0.9468085106382979,0.8581560283687943,0.689922480620155,0.7982062780269058,0.7342127095319126,0.9548815451939038,0.818309360996291,89.0,40.0,242.0,5.0,376.0,94.0,282.0
EXP-A2,binary,M1,r1f4,medium,267,1496,True,12.5305,7.3645,2,0.8014981273408239,0.7827262044653349,0.7567567567567568,0.808695652173913,0.3888888888888889,0.5137614678899083,0.44022761787453313,0.9086956521739131,0.6141568847710137,28.0,44.0,186.0,9.0,267.0,37.0,230.0
EXP-A2,binary,M1,r2f0,long,343,1744,True,30.161,20.038,2,0.7988338192419825,0.8427281368821293,0.925,0.7604562737642585,0.5401459854014599,0.6820276497695853,0.5918460176466632,0.9148764258555133,0.7260012976685338,74.0,63.0,200.0,6.0,343.0,80.0,263.0
