exp_id,model_id,task,cv,n_folds,n_train_mean,n_train_sd,n_train_n,n_test_mean,n_test_sd,n_test_n,n_features_mean,n_features_sd,n_features_n,accuracy_mean,accuracy_sd,accuracy_n,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_n,sensitivity_mean,sensitivity_sd,sensitivity_n,specificity_mean,specificity_sd,specificity_n,precision_mean,precision_sd,precision_n,f1_mean,f1_sd,f1_n,mcc_mean,mcc_sd,mcc_n,roc_auc_mean,roc_auc_sd,roc_auc_n,pr_auc_mean,pr_auc_sd,pr_auc_n,tp_mean,tp_sd,tp_n,fp_mean,fp_sd,fp_n,tn_mean,tn_sd,tn_n,fn_mean,fn_sd,fn_n,support_mean,support_sd,support_n,n_positive_mean,n_positive_sd,n_positive_n,n_negative_mean,n_negative_sd,n_negative_n,brier_mean,brier_sd,brier_n,ece_mean,ece_sd,ece_n,fit_seconds_mean,fit_seconds_sd,fit_seconds_n,predict_seconds_mean,predict_seconds_sd,predict_seconds_n,planner_inner_best_score_mean,planner_inner_best_score_sd,planner_inner_best_score_n,planner_n_trials_mean,planner_n_trials_sd,planner_n_trials_n,planner_search_seconds_mean,planner_search_seconds_sd,planner_search_seconds_n
EXP-A2,M1,binary,repeated_5x5_grouped,25,2592.0,4.564354645876384,25,648.0,4.564354645876384,25,138.0,0.0,25,0.8362042167620645,0.03445161852465311,25,0.8468043977525701,0.02608848930923994,25,0.8648233891627352,0.04460494653301463,25,0.8287854063424053,0.045804135121286144,25,0.5726752919776499,0.058956488045252324,25,0.6867062637528286,0.044061779338271205,25,0.6074830167890849,0.05543325829157064,25,0.9212095305753734,0.020908141173465473,25,0.7334843261217364,0.055298576602828935,25,115.04,6.5731778210137195,25,88.2,23.695991222145572,25,426.8,23.218168173508722,25,17.96,5.8699801248953705,25,648.0,4.564354645876384,25,133.0,2.217355782608345,25,515.0,2.4324199198877374,25,0.2295338483773963,0.04571397602009447,25,0.05083655108658282,0.023901038789939558,25,2.7525553199999995,5.850927578755623,25,0.006665599999999999,0.0005222473073171368,25,0.83791668,0.00902283820701669,25,12.0,0.0,25,85.88600000000001,42.54683448859621,25
EXP-A2,M3,binary,repeated_5x5_grouped,25,2592.0,4.564354645876384,25,648.0,4.564354645876384,25,138.0,0.0,25,0.8780096585505962,0.025163507228212333,25,0.7997979696844384,0.03912697460701983,25,0.6671634033396946,0.07400971858128105,25,0.9324325360291823,0.025543002030395365,25,0.7242259727241023,0.07901520943120123,25,0.6916401381161631,0.06067805005402666,25,0.6187797105394726,0.0762522926579445,25,0.9220133878251725,0.02206663499718557,25,0.7315490047502716,0.07798296330463998,25,88.76,10.129494887044796,25,34.8,13.168776202315334,25,480.2,13.250786140200638,25,44.24,9.662125370055321,25,648.0,4.564354645876384,25,133.0,2.217355782608345,25,515.0,2.4324199198877374,25,0.18484380635102113,0.023747592373362967,25,0.05327379954507647,0.021528437376450764,25,1.34862616,0.3778953495461938,25,0.8220400800000001,0.1786308755609175,25,0.79482288,0.011208587605492494,25,12.0,0.0,25,50.5348,4.439965390255499,25
EXP-A2,M4,binary,repeated_5x5_grouped,25,2592.0,4.564354645876384,25,648.0,4.564354645876384,25,138.0,0.0,25,0.871885023670048,0.03085342943769596,25,0.8523598911722676,0.03064476067092508,25,0.8193179675801403,0.061168526288968815,25,0.885401814764395,0.04106877279617314,25,0.658557784539957,0.07693823357833877,25,0.7262687566360942,0.0490114342927491,25,0.6542809287418703,0.06364405956862425,25,0.9383918924875703,0.021592944961128704,25,0.7969224932728112,0.07001161284069317,25,109.0,8.713017081738487,25,59.04,21.204323458515088,25,455.96,20.75146581168023,25,24.0,8.010409893798611,25,648.0,4.564354645876384,25,133.0,2.217355782608345,25,515.0,2.4324199198877374,25,0.18903174044812976,0.03516576156033035,25,0.04932035085448951,0.013709512805416178,25,12.94232376,9.167994448694019,25,0.42348199999999997,0.2323223308916228,25,0.8473408400000001,0.010217039450838974,25,12.0,0.0,25,246.7968,76.73284220375696,25
EXP-A2,M5,binary,repeated_5x5_grouped,25,2592.0,4.564354645876384,25,648.0,4.564354645876384,25,138.0,0.0,25,0.8672979641393492,0.038816047839817513,25,0.8471607213499192,0.03255377186779101,25,0.8130747740507671,0.0668650496386394,25,0.8812466686490713,0.053811324205312636,25,0.6552090384590897,0.09646639197736227,25,0.7194132578085203,0.056945182642223584,25,0.6463086619112539,0.07373590013536352,25,0.9363207791154013,0.022290367242855477,25,0.7835505091617324,0.07006818044474802,25,108.16,9.299103899480494,25,61.2,27.840318484768332,25,453.8,27.100123000950873,25,24.84,8.801893735630607,25,648.0,4.564354645876384,25,133.0,2.217355782608345,25,515.0,2.4324199198877374,25,0.1962967654204526,0.05696214409220647,25,0.06117432319342893,0.05974864546264271,25,61.76725896,52.25470416499622,25,0.029243079999999994,0.019471958369494665,25,0.8405439200000001,0.012404767258732961,25,5.0,0.0,25,528.1692,99.94125119789125,25
EXP-A2,M6,binary,repeated_5x5_grouped,25,2592.0,4.564354645876384,25,648.0,4.564354645876384,25,138.0,0.0,25,0.8525353146262159,0.034485446193755584,25,0.8558631699470313,0.025101376345751197,25,0.8615469513693752,0.066976107600322,25,0.8501793885246874,0.05305210970816302,25,0.6100650285331307,0.07874834652952836,25,0.7087492616292356,0.04371567021026626,25,0.6363631161233431,0.05464428545913471,25,0.938400689122729,0.0221658815991366,25,0.775327935602369,0.08128829372597667,25,114.6,9.278110439811186,25,77.16,27.31098680018721,25,437.84,27.33843448334231,25,18.4,8.860022573334676,25,648.0,4.564354645876384,25,133.0,2.217355782608345,25,515.0,2.4324199198877374,25,0.1681414484365483,0.02428310457899831,25,0.07339964338840421,0.026491167323611304,25,437.35095440000003,456.56295477641993,25,1.30157252,0.31923965225022305,25,,,0,,,0,825.5003999999999,120.44933549283975,25
EXP-A2,M7,binary,repeated_5x5_grouped,25,2592.0,4.564354645876384,25,648.0,4.564354645876384,25,138.0,0.0,25,0.8521048133106904,0.034833879712006986,25,0.8555880661827883,0.025321049299100187,25,0.8615380387134037,0.06695949198682882,25,0.849638093652173,0.053386673191788185,25,0.6093233681282662,0.07933023417267389,25,0.7081994698811109,0.044243817487458134,25,0.635680417362056,0.05533648148783483,25,0.9383495147018667,0.02223258395046938,25,0.775296605309089,0.08132630395372488,25,114.6,9.291573243177568,25,77.44,27.48799738067508,25,437.56,27.491028839726365,25,18.4,8.855318552523487,25,648.0,4.564354645876384,25,133.0,2.217355782608345,25,515.0,2.4324199198877374,25,0.16810544698922125,0.024218654948251424,25,0.07327930671574458,0.026699693476948765,25,389.78512908000005,278.4032163269543,25,1.2981817999999998,0.3125579935394657,25,,,0,,,0,825.5003999999999,120.44933549283975,25
EXP-A2,M8,binary,repeated_5x5_grouped,25,2592.0,4.564354645876384,25,648.0,4.564354645876384,25,138.0,0.0,25,0.8638177500271753,0.033394827842998874,25,0.8482519737790061,0.02850629120222552,25,0.8218651609921878,0.07030080778531193,25,0.8746387865658246,0.050262177639069844,25,0.6434033914111459,0.09130022573219844,25,0.7153507911364362,0.049582850601157136,25,0.6420852283051817,0.06370777542009805,25,0.9374168268419864,0.020513827541552832,25,0.7834641177642655,0.07105516827473413,25,109.32,9.60780932366999,25,64.56,25.881267356912797,25,450.44,25.987304592819935,25,23.68,9.263368717696602,25,648.0,4.564354645876384,25,133.0,2.217355782608345,25,515.0,2.4324199198877374,25,0.20299937863330406,0.057871857147816536,25,0.0711806948550666,0.066900723266407,25,10.939885160000001,10.505250033692292,25,0.0282964,0.010544101131280308,25,0.84317492,0.011114358693150046,25,12.0,0.0,25,401.1096,81.56805249197342,25
