model_id,bin,bin_low,bin_high,predicted_mean,observed_mean,observed_sd,n_folds,n_records
M1,0,0.0,0.1,0.022993,0.007075,0.007444,25,8117
M1,1,0.1,0.2,0.145388,0.07737,0.068913,25,1081
M1,2,0.2,0.3,0.247054,0.129813,0.082203,25,753
M1,3,0.3,0.4,0.346742,0.173478,0.075669,25,598
M1,4,0.4,0.5,0.448903,0.247169,0.09757,25,570
M1,5,0.5,0.6,0.550052,0.309594,0.089247,25,642
M1,6,0.6,0.7,0.64998,0.397419,0.091013,25,689
M1,7,0.7,0.8,0.751878,0.429465,0.089655,25,798
M1,8,0.8,0.9,0.852927,0.572467,0.105834,25,992
M1,9,0.9,1.0,0.959251,0.776911,0.07327,25,1960
M3,0,0.0,0.1,0.038339,0.003959,0.005125,25,6886
M3,1,0.1,0.2,0.145269,0.060489,0.039157,25,2401
M3,2,0.2,0.3,0.246025,0.171621,0.063069,25,1816
M3,3,0.3,0.4,0.347643,0.261433,0.067145,25,1125
M3,4,0.4,0.5,0.449918,0.387571,0.097745,25,883
M3,5,0.5,0.6,0.548993,0.582342,0.068424,25,709
M3,6,0.6,0.7,0.651946,0.686767,0.150956,25,643
M3,7,0.7,0.8,0.750626,0.770487,0.109657,25,964
M3,8,0.8,0.9,0.842056,0.826711,0.132456,25,631
M3,9,0.9,1.0,0.922927,0.842672,0.149422,19,142
M4,0,0.0,0.1,0.028051,0.0,0.0,25,7051
M4,1,0.1,0.2,0.143793,0.021836,0.025774,25,1415
M4,2,0.2,0.3,0.249903,0.104641,0.071191,25,946
M4,3,0.3,0.4,0.351829,0.169191,0.051419,25,1207
M4,4,0.4,0.5,0.44861,0.188342,0.074728,25,1380
M4,5,0.5,0.6,0.546488,0.334229,0.128348,25,963
M4,6,0.6,0.7,0.644978,0.558937,0.129029,25,620
M4,7,0.7,0.8,0.749427,0.756034,0.147483,25,548
M4,8,0.8,0.9,0.854366,0.759702,0.113605,25,901
M4,9,0.9,1.0,0.938866,0.878289,0.094422,25,1169
M5,0,0.0,0.1,0.048431,0.004845,0.01141,24,7834
M5,1,0.1,0.2,0.143519,0.106359,0.099902,24,1325
M5,2,0.2,0.3,0.247342,0.149553,0.085288,24,873
M5,3,0.3,0.4,0.351404,0.205341,0.12874,25,1051
M5,4,0.4,0.5,0.447769,0.238593,0.121647,25,883
M5,5,0.5,0.6,0.548999,0.351746,0.154465,25,804
M5,6,0.6,0.7,0.649709,0.422881,0.178333,24,607
M5,7,0.7,0.8,0.752015,0.623736,0.147037,24,540
M5,8,0.8,0.9,0.862765,0.755205,0.116929,24,1287
M5,9,0.9,1.0,0.919116,0.875088,0.104316,24,996
M6,0,0.0,0.1,0.044546,0.000148,0.000741,25,7324
M6,1,0.1,0.2,0.145475,0.062863,0.04482,25,1925
M6,2,0.2,0.3,0.250042,0.146177,0.050607,25,1609
M6,3,0.3,0.4,0.34749,0.207853,0.066429,25,1448
M6,4,0.4,0.5,0.443449,0.399118,0.140319,25,882
M6,5,0.5,0.6,0.547679,0.661098,0.129062,25,538
M6,6,0.6,0.7,0.651117,0.806115,0.131666,25,708
M6,7,0.7,0.8,0.752416,0.796168,0.114721,25,1096
M6,8,0.8,0.9,0.829019,0.861004,0.100983,25,669
M6,9,0.9,1.0,0.903122,1.0,0.0,1,1
M7,0,0.0,0.1,0.0447,0.000148,0.000741,25,7325
M7,1,0.1,0.2,0.145428,0.064682,0.044517,25,1929
M7,2,0.2,0.3,0.250298,0.144877,0.049218,25,1614
M7,3,0.3,0.4,0.347681,0.210069,0.069125,25,1442
M7,4,0.4,0.5,0.443421,0.395547,0.142084,25,878
M7,5,0.5,0.6,0.547783,0.664071,0.124964,25,540
M7,6,0.6,0.7,0.651105,0.804421,0.135114,25,707
M7,7,0.7,0.8,0.752111,0.79599,0.114991,25,1098
M7,8,0.8,0.9,0.828388,0.862049,0.098824,25,666
M7,9,0.9,1.0,0.903122,1.0,0.0,1,1
M8,0,0.0,0.1,0.031921,0.004659,0.009268,20,6756
M8,1,0.1,0.2,0.149201,0.073755,0.068266,22,1445
M8,2,0.2,0.3,0.249101,0.163095,0.117405,23,1119
M8,3,0.3,0.4,0.350275,0.159102,0.077486,25,1459
M8,4,0.4,0.5,0.451083,0.20403,0.087467,25,1074
M8,5,0.5,0.6,0.549884,0.288364,0.146115,25,915
M8,6,0.6,0.7,0.646532,0.478647,0.174224,25,787
M8,7,0.7,0.8,0.752386,0.669758,0.156982,23,576
M8,8,0.8,0.9,0.857493,0.757684,0.149997,21,801
M8,9,0.9,1.0,0.935327,0.850891,0.082494,20,1268
