fold,n_test,macro_f1,balanced_accuracy
0,56,0.21138211382113822,0.3333333333333333
1,59,0.20930232558139536,0.3333333333333333
2,59,0.20930232558139536,0.3333333333333333
3,58,0.21176470588235294,0.3333333333333333
4,60,0.20689655172413793,0.3333333333333333
