exp_id,model_id,held_out_source,fold,n_train,n_test,test_abnormal_rate,train_abnormal_rate,sensitivity,specificity,f1,balanced_accuracy,roc_auc,accuracy
EXP-F3,M1,training-a,0,2831,409,0.7139364303178484,0.13175556340515718,0.7226027397260274,0.3162393162393162,0.7238421955403087,0.5194210279826719,0.5905631659056316,0.6063569682151589
EXP-F3,M1,training-b,1,2750,490,0.21224489795918366,0.204,0.7403846153846154,0.16062176165803108,0.30495049504950494,0.45050318852132326,0.4383967716221601,0.2836734693877551
EXP-F3,M1,training-c,2,3209,31,0.7741935483870968,0.19975070115300717,1.0,0.0,0.8727272727272727,0.5,0.44047619047619047,0.7741935483870968
EXP-F3,M1,training-d,3,3185,55,0.509090909090909,0.2,0.5714285714285714,0.4444444444444444,0.5423728813559322,0.5079365079365079,0.5833333333333334,0.509090909090909
EXP-F3,M1,training-e,4,1099,2141,0.08547407753386269,0.4385805277525023,0.6612021857923497,0.5684371807967313,0.21061792863359444,0.6148196832945405,0.6259649357825818,0.576366184026156
EXP-F3,M1,training-f,5,3126,114,0.2982456140350877,0.2018554062699936,0.6176470588235294,0.425,0.4158415841584158,0.5213235294117647,0.5191176470588236,0.4824561403508772
EXP-F3,M3,training-a,0,2831,409,0.7139364303178484,0.13175556340515718,0.4828767123287671,0.6581196581196581,0.5961945031712473,0.5704981852242126,0.6100866409085588,0.5330073349633252
EXP-F3,M3,training-b,1,2750,490,0.21224489795918366,0.204,0.3076923076923077,0.5569948186528497,0.20846905537459284,0.4323435631725787,0.4401903148664807,0.5040816326530613
EXP-F3,M3,training-c,2,3209,31,0.7741935483870968,0.19975070115300717,0.625,0.0,0.6521739130434783,0.3125,0.0773809523809524,0.4838709677419355
EXP-F3,M3,training-d,3,3185,55,0.509090909090909,0.2,0.2857142857142857,0.9259259259259259,0.42105263157894735,0.6058201058201058,0.7103174603174603,0.6
EXP-F3,M3,training-e,4,1099,2141,0.08547407753386269,0.4385805277525023,0.30601092896174864,0.5515832482124617,0.10026857654431513,0.4287970885871052,0.39153089189928386,0.5305931807566557
EXP-F3,M3,training-f,5,3126,114,0.2982456140350877,0.2018554062699936,0.4117647058823529,0.6125,0.35443037974683544,0.5121323529411765,0.49963235294117647,0.5526315789473685
EXP-F3,M4,training-a,0,2831,409,0.7139364303178484,0.13175556340515718,0.636986301369863,0.4700854700854701,0.6888888888888889,0.5535358857276665,0.599139445029856,0.589242053789731
EXP-F3,M4,training-b,1,2750,490,0.21224489795918366,0.204,0.5288461538461539,0.4378238341968912,0.2925531914893617,0.4833349940215225,0.4655863889996015,0.45714285714285713
EXP-F3,M4,training-c,2,3209,31,0.7741935483870968,0.19975070115300717,0.4583333333333333,0.0,0.5238095238095238,0.22916666666666666,0.09523809523809523,0.3548387096774194
EXP-F3,M4,training-d,3,3185,55,0.509090909090909,0.2,0.4642857142857143,0.7037037037037037,0.5306122448979592,0.5839947089947091,0.5423280423280423,0.5818181818181818
EXP-F3,M4,training-e,4,1099,2141,0.08547407753386269,0.4385805277525023,0.6557377049180327,0.2093973442288049,0.12965964343598055,0.43256752457341885,0.43937300803206125,0.2475478748248482
EXP-F3,M4,training-f,5,3126,114,0.2982456140350877,0.2018554062699936,0.6176470588235294,0.1875,0.35,0.4025735294117647,0.4119485294117647,0.3157894736842105
EXP-F3,M5,training-a,0,2831,409,0.7139364303178484,0.13175556340515718,0.7397260273972602,0.4017094017094017,0.7474048442906575,0.570717714553331,0.5967392576981618,0.6430317848410758
EXP-F3,M5,training-b,1,2750,490,0.21224489795918366,0.204,0.17307692307692307,0.8031088082901554,0.18181818181818182,0.48809286568353927,0.47060581905141485,0.6693877551020408
EXP-F3,M5,training-c,2,3209,31,0.7741935483870968,0.19975070115300717,0.8333333333333334,0.0,0.7843137254901961,0.4166666666666667,0.14285714285714285,0.6451612903225806
EXP-F3,M5,training-d,3,3185,55,0.509090909090909,0.2,0.4642857142857143,0.5185185185185185,0.48148148148148145,0.4914021164021164,0.5674603174603174,0.4909090909090909
EXP-F3,M5,training-e,4,1099,2141,0.08547407753386269,0.4385805277525023,0.639344262295082,0.2870275791624106,0.13797169811320756,0.4631859207287463,0.43018972186406346,0.3171415226529659
EXP-F3,M5,training-f,5,3126,114,0.2982456140350877,0.2018554062699936,0.7647058823529411,0.125,0.4,0.44485294117647056,0.54375,0.3157894736842105
EXP-F3,M6,training-a,0,2831,409,0.7139364303178484,0.13175556340515718,0.9041095890410958,0.23076923076923078,0.8173374613003096,0.5674394099051633,0.6120184990048003,0.7114914425427873
EXP-F3,M6,training-b,1,2750,490,0.21224489795918366,0.204,0.8173076923076923,0.15025906735751296,0.3288201160541586,0.4837833798326026,0.45707951375049816,0.29183673469387755
EXP-F3,M6,training-c,2,3209,31,0.7741935483870968,0.19975070115300717,1.0,0.0,0.8727272727272727,0.5,0.06547619047619048,0.7741935483870968
EXP-F3,M6,training-d,3,3185,55,0.509090909090909,0.2,0.7857142857142857,0.2222222222222222,0.6197183098591549,0.503968253968254,0.6693121693121694,0.509090909090909
EXP-F3,M6,training-e,4,1099,2141,0.08547407753386269,0.4385805277525023,0.6338797814207651,0.2512768130745659,0.13144475920679888,0.4425782972476655,0.38879306976562455,0.28397944885567494
EXP-F3,M6,training-f,5,3126,114,0.2982456140350877,0.2018554062699936,0.9705882352941176,0.0,0.4489795918367347,0.4852941176470588,0.4698529411764706,0.2894736842105263
EXP-F3,M8,training-a,0,2831,409,0.7139364303178484,0.13175556340515718,0.6472602739726028,0.5213675213675214,0.7039106145251397,0.5843138976700621,0.6112867345744057,0.6112469437652812
EXP-F3,M8,training-b,1,2750,490,0.21224489795918366,0.204,0.6346153846153846,0.34196891191709844,0.3113207547169811,0.4882921482662415,0.4661717815862894,0.40408163265306124
EXP-F3,M8,training-c,2,3209,31,0.7741935483870968,0.19975070115300717,0.7083333333333334,0.0,0.7083333333333334,0.3541666666666667,0.14285714285714285,0.5483870967741935
EXP-F3,M8,training-d,3,3185,55,0.509090909090909,0.2,0.5714285714285714,0.6666666666666666,0.6037735849056604,0.6190476190476191,0.6216931216931217,0.6181818181818182
EXP-F3,M8,training-e,4,1099,2141,0.08547407753386269,0.4385805277525023,0.6939890710382514,0.2512768130745659,0.14301801801801803,0.4726329420564086,0.46269473143667283,0.28911723493694536
EXP-F3,M8,training-f,5,3126,114,0.2982456140350877,0.2018554062699936,0.6470588235294118,0.225,0.3728813559322034,0.4360294117647059,0.474264705882353,0.3508771929824561
