run,task,model_id,fold_label,duration_band,n_units,n_records_corpus,reported,median_duration_sec,min_duration_sec,n_classes_present,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,support,n_classes,ovr_auc_macro,precision_normal,recall_normal,f1_normal,support_normal,precision_murmur,recall_murmur,f1_murmur,support_murmur,precision_extrastole,recall_extrastole,f1_extrastole,support_extrastole
EXP-B2,pascal_b,M3,r0f3,short,41,227,True,2.91775,1.03925,3,0.7804878048780488,0.4583333333333333,0.47037539574853,0.7187344872091869,0.587719298245614,0.4583333333333333,41.0,3.0,0.5486175831003418,0.7631578947368421,1.0,0.8656716417910447,29.0,1.0,0.375,0.5454545454545454,8.0,0.0,0.0,0.0,4.0
EXP-B2,pascal_b,M3,r0f4,long,2,5,False,22.750999999999998,21.97,1,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,2.0,3.0,,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M3,r0f4,medium,47,229,True,10.1835,5.081,3,0.6382978723404256,0.39285714285714285,0.3646322378716745,0.5523923683947658,0.45930232558139533,0.39285714285714285,47.0,3.0,0.6785752259436469,0.627906976744186,0.9642857142857143,0.7605633802816901,28.0,0.75,0.21428571428571427,0.3333333333333333,14.0,0.0,0.0,0.0,5.0
EXP-B2,pascal_b,M3,r0f4,short,43,227,True,2.906,1.329,3,0.7906976744186046,0.3333333333333333,0.29437229437229434,0.6982784657203261,0.2635658914728682,0.3333333333333333,43.0,3.0,0.554204263801787,0.7906976744186046,1.0,0.8831168831168831,34.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0
EXP-B2,pascal_b,M4,r0f0,medium,38,229,True,8.524375,5.0235,3,0.47368421052631576,0.37833333333333335,0.37051138484509144,0.4847350739671126,0.3696969696969697,0.37833333333333335,38.0,3.0,0.6239452214452214,0.6363636363636364,0.56,0.5957446808510638,25.0,0.2727272727272727,0.375,0.3157894736842105,8.0,0.2,0.2,0.2,5.0
EXP-B2,pascal_b,M4,r0f0,short,54,227,True,3.070125,0.76325,3,0.6666666666666666,0.513014763014763,0.509059829059829,0.6921367521367521,0.5277777777777778,0.513014763014763,54.0,3.0,0.7362156749366052,0.8055555555555556,0.7435897435897436,0.7733333333333333,39.0,0.6666666666666666,0.5454545454545454,0.6,11.0,0.1111111111111111,0.25,0.15384615384615385,4.0
EXP-B2,pascal_b,M4,r0f1,long,1,5,False,22.2015,22.2015,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M4,r0f1,medium,41,229,True,9.08275,5.0895,3,0.5853658536585366,0.5256410256410257,0.4912008281573499,0.599113770640812,0.48333333333333334,0.5256410256410257,41.0,3.0,0.7358819240851909,0.75,0.5769230769230769,0.6521739130434783,26.0,0.5,0.6666666666666666,0.5714285714285714,12.0,0.2,0.3333333333333333,0.25,3.0
EXP-B2,pascal_b,M4,r0f1,short,50,227,True,2.787,1.23325,3,0.66,0.4210639210639211,0.42897102897102896,0.6437002997002997,0.4444444444444444,0.4210639210639211,50.0,3.0,0.6029863791491699,0.75,0.8108108108108109,0.7792207792207793,37.0,0.3333333333333333,0.2857142857142857,0.3076923076923077,7.0,0.25,0.16666666666666666,0.2,6.0
EXP-B2,pascal_b,M4,r0f2,medium,54,229,True,10.399375,5.12025,3,0.5185185185185185,0.3854166666666667,0.37907884465261515,0.5215369936681412,0.37628554143980636,0.3854166666666667,54.0,3.0,0.6284999113946483,0.6551724137931034,0.59375,0.6229508196721312,32.0,0.47368421052631576,0.5625,0.5142857142857142,16.0,0.0,0.0,0.0,6.0
EXP-B2,pascal_b,M4,r0f2,short,39,227,True,3.0885,1.17275,3,0.6923076923076923,0.3819444444444444,0.4375,0.7051282051282052,0.6041666666666666,0.3819444444444444,39.0,3.0,0.5483245149911816,0.8125,0.8125,0.8125,32.0,1.0,0.3333333333333333,0.5,3.0,0.0,0.0,0.0,4.0
EXP-B2,pascal_b,M4,r0f3,long,2,5,False,26.0135,24.16,2,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,2.0,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M4,r0f3,medium,49,229,True,8.38675,5.10025,3,0.5510204081632653,0.4058823529411765,0.3822222222222222,0.5605442176870747,0.37471264367816093,0.4058823529411765,49.0,3.0,0.6450226244343892,0.7241379310344828,0.6176470588235294,0.6666666666666666,34.0,0.4,0.6,0.48,10.0,0.0,0.0,0.0,5.0
EXP-B2,pascal_b,M4,r0f3,short,41,227,True,2.91775,1.03925,3,0.6829268292682927,0.47270114942528735,0.4604462474645031,0.6757532281205165,0.4495530012771392,0.47270114942528735,41.0,3.0,0.7365370856750166,0.7931034482758621,0.7931034482758621,0.7931034482758621,29.0,0.5555555555555556,0.625,0.5882352941176471,8.0,0.0,0.0,0.0,4.0
EXP-B2,pascal_b,M4,r0f4,long,2,5,False,22.750999999999998,21.97,1,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,2.0,3.0,,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M4,r0f4,medium,47,229,True,10.1835,5.081,3,0.5531914893617021,0.35714285714285715,0.34685314685314683,0.511590537122452,0.3648648648648649,0.35714285714285715,47.0,3.0,0.5851674641148326,0.5945945945945946,0.7857142857142857,0.676923076923077,28.0,0.5,0.2857142857142857,0.36363636363636365,14.0,0.0,0.0,0.0,5.0
EXP-B2,pascal_b,M4,r0f4,short,43,227,True,2.906,1.329,3,0.6976744186046512,0.29411764705882354,0.2777777777777778,0.6589147286821706,0.2631578947368421,0.29411764705882354,43.0,3.0,0.5586334488811269,0.7894736842105263,0.8823529411764706,0.8333333333333334,34.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0
EXP-B2,pascal_b,M5,r0f0,medium,38,229,True,8.524375,5.0235,3,0.6842105263157895,0.43166666666666664,0.4310344827586207,0.6270417422867514,0.4823232323232323,0.43166666666666664,38.0,3.0,0.6387762237762238,0.696969696969697,0.92,0.7931034482758621,25.0,0.75,0.375,0.5,8.0,0.0,0.0,0.0,5.0
EXP-B2,pascal_b,M5,r0f0,short,54,227,True,3.070125,0.76325,3,0.7962962962962963,0.49805749805749805,0.5124183006535947,0.764560639070443,0.5538302277432713,0.49805749805749805,54.0,3.0,0.7921517801750361,0.8043478260869565,0.9487179487179487,0.8705882352941177,39.0,0.8571428571428571,0.5454545454545454,0.6666666666666666,11.0,0.0,0.0,0.0,4.0
EXP-B2,pascal_b,M5,r0f1,long,1,5,False,22.2015,22.2015,1,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,3.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M5,r0f1,medium,41,229,True,9.08275,5.0895,3,0.6341463414634146,0.43803418803418803,0.4334381551362683,0.6254026691210308,0.4290123456790124,0.43803418803418803,41.0,3.0,0.7111933237160097,0.7037037037037037,0.7307692307692307,0.7169811320754716,26.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,12.0,0.0,0.0,0.0,3.0
EXP-B2,pascal_b,M5,r0f1,short,50,227,True,2.787,1.23325,3,0.7,0.3153153153153153,0.2745098039215686,0.6094117647058823,0.24305555555555555,0.3153153153153153,50.0,3.0,0.6206050392096905,0.7291666666666666,0.9459459459459459,0.8235294117647058,37.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0
EXP-B2,pascal_b,M5,r0f2,medium,54,229,True,10.399375,5.12025,3,0.48148148148148145,0.3645833333333333,0.3635189669087974,0.493874988790243,0.36777128005198184,0.3645833333333333,54.0,3.0,0.6192738791423001,0.6296296296296297,0.53125,0.576271186440678,32.0,0.47368421052631576,0.5625,0.5142857142857142,16.0,0.0,0.0,0.0,6.0
EXP-B2,pascal_b,M5,r0f2,short,39,227,True,3.0885,1.17275,3,0.5897435897435898,0.34027777777777773,0.3277777777777778,0.6209401709401708,0.32857142857142857,0.34027777777777773,39.0,3.0,0.5169973544973545,0.7857142857142857,0.6875,0.7333333333333333,32.0,0.2,0.3333333333333333,0.25,3.0,0.0,0.0,0.0,4.0
EXP-B2,pascal_b,M5,r0f3,long,2,5,False,26.0135,24.16,2,0.5,0.5,0.2222222222222222,0.3333333333333333,0.16666666666666666,0.3333333333333333,2.0,3.0,,0.5,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M5,r0f3,medium,49,229,True,8.38675,5.10025,3,0.7551020408163265,0.503921568627451,0.489805595068753,0.710250529799402,0.48055555555555557,0.503921568627451,49.0,3.0,0.6654783125371361,0.775,0.9117647058823529,0.8378378378378378,34.0,0.6666666666666666,0.6,0.631578947368421,10.0,0.0,0.0,0.0,5.0
EXP-B2,pascal_b,M5,r0f3,short,41,227,True,2.91775,1.03925,3,0.8048780487804879,0.5718390804597702,0.6137566137566136,0.7866821525358111,0.7189542483660131,0.5718390804597702,41.0,3.0,0.7155772543703578,0.8235294117647058,0.9655172413793104,0.8888888888888888,29.0,1.0,0.5,0.6666666666666666,8.0,0.3333333333333333,0.25,0.2857142857142857,4.0
EXP-B2,pascal_b,M5,r0f4,long,2,5,False,22.750999999999998,21.97,1,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,2.0,3.0,,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
