run,task,model_id,fold_label,quality_group,n_units,n_records_corpus,reported,mean_snr_proxy_db,n_classes_present,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,support,n_classes,ovr_auc_macro,precision_normal,recall_normal,f1_normal,support_normal,precision_murmur,recall_murmur,f1_murmur,support_murmur,precision_extrastole,recall_extrastole,f1_extrastole,support_extrastole
EXP-B2,pascal_b,M5,r0f1,clean,80,384,True,16.2013022875,3,0.625,0.3984480431848853,0.39295977011494254,0.585802801724138,0.4034455128205128,0.3984480431848853,80.0,3.0,0.6327253989487094,0.671875,0.8269230769230769,0.7413793103448276,52.0,0.5384615384615384,0.3684210526315789,0.4375,19.0,0.0,0.0,0.0,9.0
EXP-B2,pascal_b,M5,r0f1,low_quality_other,12,63,False,20.850760166666667,1,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,12.0,3.0,,1.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M5,r0f2,clean,78,384,True,17.314210717948722,3,0.46153846153846156,0.34954751131221723,0.3435483870967742,0.4851736972704715,0.3499469777306469,0.34954751131221723,78.0,3.0,0.5587513766119135,0.6585365853658537,0.5192307692307693,0.5806451612903226,52.0,0.391304347826087,0.5294117647058824,0.45,17.0,0.0,0.0,0.0,9.0
EXP-B2,pascal_b,M5,r0f2,low_quality_other,14,63,False,20.485947214285716,3,0.8571428571428571,0.5,0.5277777777777778,0.8154761904761905,0.6153846153846154,0.5,14.0,3.0,0.9015151515151515,0.8461538461538461,1.0,0.9166666666666666,11.0,1.0,0.5,0.6666666666666666,2.0,0.0,0.0,0.0,1.0
EXP-B2,pascal_b,M5,r0f2,noisy,1,14,False,4.292483,1,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,3.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M5,r0f3,clean,75,384,True,16.52367492,3,0.76,0.531470588235294,0.5571740571740572,0.7296727896727897,0.64066898493128,0.531470588235294,75.0,3.0,0.6636172989010323,0.7704918032786885,0.94,0.8468468468468469,50.0,0.8181818181818182,0.5294117647058824,0.6428571428571429,17.0,0.3333333333333333,0.125,0.18181818181818182,8.0
EXP-B2,pascal_b,M5,r0f3,low_quality_other,10,63,False,20.5587178,2,0.9,0.5,0.3157894736842105,0.8526315789473683,0.3,0.3333333333333333,10.0,3.0,,0.9,1.0,0.9473684210526315,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
EXP-B2,pascal_b,M5,r0f3,noisy,7,14,False,3.7239961428571426,2,0.7142857142857143,0.65,0.43333333333333335,0.7142857142857143,0.43333333333333335,0.43333333333333335,7.0,3.0,,0.8,0.8,0.8,5.0,0.5,0.5,0.5,2.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M5,r0f4,clean,76,384,True,17.838323657894733,3,0.5657894736842105,0.338235294117647,0.32947232947232946,0.531700873806137,0.3277777777777778,0.338235294117647,76.0,3.0,0.5095827642831593,0.65,0.7647058823529411,0.7027027027027027,51.0,0.3333333333333333,0.25,0.2857142857142857,16.0,0.0,0.0,0.0,9.0
EXP-B2,pascal_b,M5,r0f4,low_quality_other,14,63,False,19.28227035714286,2,0.9285714285714286,0.75,0.5422222222222222,0.9180952380952381,0.6410256410256411,0.5,14.0,3.0,,0.9230769230769231,1.0,0.96,12.0,1.0,0.5,0.6666666666666666,2.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M5,r0f4,noisy,2,14,False,2.9380465,2,0.5,0.5,0.2222222222222222,0.3333333333333333,0.16666666666666666,0.3333333333333333,2.0,3.0,,0.5,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M6,r0f0,clean,75,384,True,17.93783685333333,3,0.7466666666666667,0.4583333333333333,0.461930226636109,0.6765877259994907,0.5748792270531401,0.4583333333333333,75.0,3.0,0.6474929635336415,0.7246376811594203,1.0,0.8403361344537815,50.0,1.0,0.375,0.5454545454545454,16.0,0.0,0.0,0.0,9.0
EXP-B2,pascal_b,M6,r0f0,low_quality_other,13,63,False,17.307088153846152,1,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,13.0,3.0,,1.0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M6,r0f0,noisy,4,14,False,3.6767112500000003,2,0.5,0.6666666666666666,0.3333333333333333,0.5,0.4444444444444444,0.4444444444444444,4.0,3.0,,0.3333333333333333,1.0,0.5,1.0,1.0,0.3333333333333333,0.5,3.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M6,r0f1,clean,80,384,True,16.2013022875,3,0.7,0.40350877192982454,0.3867753623188406,0.610733695652174,0.5614035087719298,0.40350877192982454,80.0,3.0,0.6718146593327359,0.6842105263157895,1.0,0.8125,52.0,1.0,0.21052631578947367,0.34782608695652173,19.0,0.0,0.0,0.0,9.0
EXP-B2,pascal_b,M6,r0f1,low_quality_other,12,63,False,20.850760166666667,1,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,12.0,3.0,,1.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M6,r0f2,clean,78,384,True,17.314210717948722,3,0.717948717948718,0.4381598793363499,0.433224043715847,0.6510634720470787,0.48809523809523814,0.4381598793363499,78.0,3.0,0.6010037156189981,0.7142857142857143,0.9615384615384616,0.819672131147541,52.0,0.75,0.35294117647058826,0.48,17.0,0.0,0.0,0.0,9.0
