run,task,model_id,fold_label,duration_band,n_units,n_records_corpus,reported,median_duration_sec,min_duration_sec,n_classes_present,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,support,n_classes,ovr_auc_macro,precision_normal,recall_normal,f1_normal,support_normal,precision_murmur,recall_murmur,f1_murmur,support_murmur,precision_extrahls,recall_extrahls,f1_extrahls,support_extrahls,precision_artifact,recall_artifact,f1_artifact,support_artifact
EXP-B1,pascal_a,M1,r4f1,medium,60,116,True,9.0,5.849592,4,0.7,0.6667717086834732,0.6466953336518554,0.6946828051175877,0.6488095238095237,0.6667717086834732,60.0,4.0,0.8780324622827448,0.4444444444444444,0.2857142857142857,0.34782608695652173,14.0,0.7222222222222222,0.7647058823529411,0.7428571428571429,17.0,0.42857142857142855,0.6666666666666666,0.5217391304347826,9.0,1.0,0.95,0.9743589743589743,20.0
EXP-B1,pascal_a,M1,r4f1,short,2,8,False,4.2136055,3.463424,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP-B1,pascal_a,M3,r0f0,medium,59,116,True,8.884059,5.749297,4,0.7288135593220338,0.6177083333333333,0.5699237309327332,0.6725410166100848,0.529891304347826,0.6177083333333333,59.0,4.0,0.9283386187455955,0.5,0.5333333333333333,0.5161290322580645,15.0,0.75,0.9375,0.8333333333333334,16.0,0.0,0.0,0.0,8.0,0.8695652173913043,1.0,0.9302325581395349,20.0
EXP-B1,pascal_a,M3,r0f0,short,3,8,False,0.936372,0.936372,2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
EXP-B1,pascal_a,M3,r0f1,medium,57,116,True,9.0,5.849592,4,0.7192982456140351,0.690625,0.6570107717883902,0.7016509071179463,0.6632395382395382,0.690625,57.0,4.0,0.8741066583153934,0.5714285714285714,0.2857142857142857,0.38095238095238093,14.0,0.7222222222222222,0.8125,0.7647058823529411,16.0,0.45454545454545453,0.7142857142857143,0.5555555555555556,7.0,0.9047619047619048,0.95,0.926829268292683,20.0
EXP-B1,pascal_a,M3,r0f1,short,5,8,False,3.463424,1.947392,3,0.4,0.3333333333333333,0.14285714285714285,0.22857142857142856,0.1,0.25,5.0,4.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.4,1.0,0.5714285714285714,2.0,0.0,0.0,0.0,0.0
EXP-B1,pascal_a,M3,r1f0,medium,59,116,True,9.0,5.749297,4,0.7288135593220338,0.75,0.607865264842009,0.625373465341932,0.5245341614906832,0.75,59.0,4.0,0.9003324921202829,0.0,0.0,0.0,16.0,0.7619047619047619,1.0,0.8648648648648649,16.0,0.4666666666666667,1.0,0.6363636363636364,7.0,0.8695652173913043,1.0,0.9302325581395349,20.0
EXP-B1,pascal_a,M3,r1f0,short,3,8,False,0.936372,0.936372,2,0.3333333333333333,0.5,0.125,0.16666666666666666,0.08333333333333333,0.25,3.0,4.0,,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
EXP-B1,pascal_a,M3,r1f1,medium,57,116,True,8.884059,5.849592,4,0.6842105263157895,0.5788461538461538,0.5389705882352942,0.6455108359133127,0.5094298245614035,0.5788461538461538,57.0,4.0,0.8943495564140163,0.42105263157894735,0.6153846153846154,0.5,13.0,0.6666666666666666,0.75,0.7058823529411765,16.0,0.0,0.0,0.0,8.0,0.95,0.95,0.95,20.0
EXP-B1,pascal_a,M3,r1f1,short,5,8,False,3.463424,1.947392,3,0.4,0.3333333333333333,0.14285714285714285,0.22857142857142856,0.1,0.25,5.0,4.0,,0.4,1.0,0.5714285714285714,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
