run,task,model_id,fold_label,quality_group,n_units,n_records_corpus,reported,mean_snr_proxy_db,n_classes_present,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,support,n_classes,ovr_auc_macro,precision_normal,recall_normal,f1_normal,support_normal,precision_murmur,recall_murmur,f1_murmur,support_murmur,precision_extrahls,recall_extrahls,f1_extrahls,support_extrahls,precision_artifact,recall_artifact,f1_artifact,support_artifact
EXP-B1,pascal_a,M4,r2f0,noisy,15,31,False,1.5469073999999996,2,0.9333333333333333,0.5,0.2413793103448276,0.9011494252873563,0.23333333333333334,0.25,15.0,4.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,1.0,0.9655172413793104,14.0
EXP-B1,pascal_a,M4,r2f1,clean,44,86,True,30.087561068181813,4,0.6136363636363636,0.696953781512605,0.648989898989899,0.5959595959595959,0.6842105263157894,0.696953781512605,44.0,4.0,0.8552071635711342,0.6666666666666666,0.25,0.36363636363636365,16.0,0.7368421052631579,0.8235294117647058,0.7777777777777778,17.0,0.3333333333333333,0.7142857142857143,0.45454545454545453,7.0,1.0,1.0,1.0,4.0
EXP-B1,pascal_a,M4,r2f1,low_quality_other,2,7,False,22.2609425,1,1.0,1.0,0.25,1.0,0.25,0.25,2.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
EXP-B1,pascal_a,M4,r2f1,noisy,16,31,False,-1.9670824375000002,1,0.9375,0.9375,0.24193548387096775,0.967741935483871,0.25,0.234375,16.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9375,0.967741935483871,16.0
EXP-B1,pascal_a,M4,r3f0,clean,43,86,True,32.44826395348837,4,0.627906976744186,0.6629464285714286,0.6231572481572482,0.5892234729444031,0.605654761904762,0.6629464285714286,43.0,4.0,0.8577410660271367,0.375,0.21428571428571427,0.2727272727272727,14.0,0.7142857142857143,0.9375,0.8108108108108109,16.0,0.5,0.5,0.5,8.0,0.8333333333333334,1.0,0.9090909090909091,5.0
EXP-B1,pascal_a,M4,r3f0,low_quality_other,4,7,False,19.062804,3,0.75,0.6666666666666666,0.5,0.75,0.5,0.5,4.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
EXP-B1,pascal_a,M4,r3f0,noisy,15,31,False,-2.431633666666666,2,0.8666666666666667,0.4642857142857143,0.23214285714285715,0.8666666666666667,0.23214285714285715,0.23214285714285715,15.0,4.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0
EXP-B1,pascal_a,M4,r3f1,clean,43,86,True,26.445399744186048,4,0.5116279069767442,0.6305147058823529,0.5295634920634921,0.4925802879291251,0.5704670329670329,0.6305147058823529,43.0,4.0,0.782595307411484,0.4,0.125,0.19047619047619047,16.0,0.8461538461538461,0.6470588235294118,0.7333333333333333,17.0,0.2857142857142857,1.0,0.4444444444444444,6.0,0.75,0.75,0.75,4.0
EXP-B1,pascal_a,M4,r3f1,low_quality_other,3,7,False,20.018915666666665,1,1.0,1.0,0.25,1.0,0.25,0.25,3.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0
EXP-B1,pascal_a,M4,r3f1,noisy,16,31,False,1.7627998124999997,1,1.0,1.0,0.25,1.0,0.25,0.25,16.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16.0
EXP-B1,pascal_a,M4,r4f0,clean,43,86,True,30.324076790697678,4,0.6046511627906976,0.587797619047619,0.5895571095571095,0.6073789776115357,0.6023469994058229,0.587797619047619,43.0,4.0,0.8286145597568011,0.36363636363636365,0.2857142857142857,0.32,14.0,0.8235294117647058,0.875,0.8484848484848485,16.0,0.2222222222222222,0.3333333333333333,0.26666666666666666,6.0,1.0,0.8571428571428571,0.9230769230769231,7.0
EXP-B1,pascal_a,M4,r4f0,low_quality_other,5,7,False,20.4947452,2,0.4,0.25,0.16666666666666666,0.5333333333333333,0.25,0.125,5.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.6666666666666666,4.0,0.0,0.0,0.0,0.0
EXP-B1,pascal_a,M4,r4f0,noisy,14,31,False,0.9529216428571429,2,0.8571428571428571,0.46153846153846156,0.23076923076923078,0.8571428571428571,0.23076923076923078,0.23076923076923078,14.0,4.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
EXP-B1,pascal_a,M4,r4f1,clean,43,86,True,28.569586906976742,4,0.5116279069767442,0.5854779411764706,0.5458020050125314,0.5172291193099027,0.5449134199134199,0.5854779411764706,43.0,4.0,0.7935917636285283,0.4090909090909091,0.5625,0.47368421052631576,16.0,0.8181818181818182,0.5294117647058824,0.6428571428571429,17.0,0.2857142857142857,0.25,0.26666666666666666,8.0,0.6666666666666666,1.0,0.8,2.0
EXP-B1,pascal_a,M4,r4f1,low_quality_other,2,7,False,16.9171185,2,0.5,0.5,0.25,0.5,0.25,0.25,2.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
EXP-B1,pascal_a,M4,r4f1,noisy,17,31,False,-1.271212411764706,1,1.0,1.0,0.25,1.0,0.25,0.25,17.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17.0
EXP-B1,pascal_a,M5,r0f0,clean,41,86,True,32.149809097560976,4,0.5853658536585366,0.6479166666666667,0.6075460829493088,0.5805552433404518,0.5885416666666666,0.6479166666666667,41.0,4.0,0.8623018648018648,0.4375,0.4666666666666667,0.45161290322580644,15.0,0.75,0.75,0.75,16.0,0.5,0.375,0.42857142857142855,8.0,0.6666666666666666,1.0,0.8,2.0
EXP-B1,pascal_a,M5,r0f0,low_quality_other,3,7,False,19.919568666666667,2,0.6666666666666666,0.5,0.2,0.5333333333333333,0.16666666666666666,0.25,3.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,0.8,2.0,0.0,0.0,0.0,0.0
EXP-B1,pascal_a,M5,r0f0,noisy,18,31,False,1.7072776111111112,1,0.8888888888888888,0.8888888888888888,0.23529411764705882,0.9411764705882353,0.25,0.2222222222222222,18.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,0.9411764705882353,18.0
EXP-B1,pascal_a,M5,r0f1,clean,45,86,True,26.98411924444444,4,0.6,0.6407563025210085,0.5817736185383244,0.5885521885521885,0.5914056531703591,0.6407563025210085,45.0,4.0,0.8143035945822323,0.7142857142857143,0.3333333333333333,0.45454545454545453,15.0,0.7058823529411765,0.7058823529411765,0.7058823529411765,17.0,0.4,0.6666666666666666,0.5,6.0,0.5454545454545454,0.8571428571428571,0.6666666666666666,7.0
EXP-B1,pascal_a,M5,r0f1,low_quality_other,4,7,False,19.13731425,2,1.0,1.0,0.5,1.0,0.5,0.5,4.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0
EXP-B1,pascal_a,M5,r0f1,noisy,13,31,False,-3.00005423076923,2,0.9230769230769231,0.5,0.24,0.8861538461538461,0.23076923076923078,0.25,13.0,4.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,1.0,0.96,12.0
EXP-B1,pascal_a,M5,r1f0,clean,40,86,True,32.32250524999999,4,0.575,0.5760416666666667,0.5373694932518461,0.5480710466004584,0.5393597630439736,0.5760416666666667,40.0,4.0,0.8602958482379438,0.42857142857142855,0.2,0.2727272727272727,15.0,0.7894736842105263,0.9375,0.8571428571428571,16.0,0.2727272727272727,0.5,0.35294117647058826,6.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
EXP-B1,pascal_a,M5,r1f0,low_quality_other,5,7,False,18.7185886,3,0.6,0.5555555555555555,0.41666666666666663,0.6,0.41666666666666663,0.41666666666666663,5.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,1.0,1.0,1.0,1.0
EXP-B1,pascal_a,M5,r1f0,noisy,17,31,False,-1.0876332941176472,2,0.8823529411764706,0.46875,0.234375,0.8823529411764706,0.234375,0.234375,17.0,4.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.9375,0.9375,16.0
