config_id,families,n_features,sensitivity,specificity,balanced_accuracy,balanced_accuracy_sd,balanced_accuracy_delta_vs_A7,roc_auc,source_file
A1,time,24,0.8530639422086099,0.7681859695197665,0.8106249558641881,0.0293320306533292,-0.0322982301239286,0.8714497696785739,outputs/09_ablation/T17_feature_family_ablation.csv
A2,frequency,22,0.8440540796973803,0.7877883383180141,0.8159212090076972,0.0313576363420543,-0.0270019769804196,0.8736324930398309,outputs/09_ablation/T17_feature_family_ablation.csv
A3,mfcc,39,0.823766772670193,0.7897272805646008,0.8067470266173972,0.0289217774127399,-0.0361761593707196,0.884926955497496,outputs/09_ablation/T17_feature_family_ablation.csv
A4,dwt,24,0.8408375203540279,0.7876649593539967,0.8142512398540123,0.0305265080286176,-0.0286719461341045,0.88924920372042,outputs/09_ablation/T17_feature_family_ablation.csv
A5,time + frequency,46,0.8601681838235054,0.8115427847612938,0.8358554842923996,0.0310493461356142,-0.0070677016957171,0.9051422673890036,outputs/09_ablation/T17_feature_family_ablation.csv
A6,mfcc + dwt,63,0.8443986541144245,0.8162583898911415,0.8303285220027833,0.0251801997853658,-0.0125946639853334,0.9079163767128808,outputs/09_ablation/T17_feature_family_ablation.csv
A7,time + frequency + mfcc + chroma + dwt + envelope,138,0.8479933187885698,0.8378530531876638,0.8429231859881168,0.0262694823331333,0.0,0.9221754145146952,outputs/09_ablation/T17_feature_family_ablation.csv
A8,the SO-04 selected subset,20,0.8731990524477264,0.8017211621099852,0.8374601072788559,0.0289715383534014,-0.0054630787092608,0.9110454060438714,outputs/09_ablation/T17_feature_family_ablation.csv
