rank,model_id,model_name,n_folds,sensitivity_mean,sensitivity_sd,specificity_mean,balanced_accuracy_mean,balanced_accuracy_sd,f1_mean,roc_auc_mean,accuracy_mean,source_file
1,M1,Logistic Regression,25,0.8648233891627352,0.0446049465330146,0.8287854063424053,0.8468043977525701,0.0260884893092399,0.6867062637528286,0.9212095305753734,0.8362042167620645,outputs/06_binary_results/T08_physionet_individual_model_comparison.csv
2,M6,Soft Voting (equal weights),25,0.8615469513693752,0.0669761076003219,0.8501793885246874,0.8558631699470313,0.0251013763457511,0.7087492616292356,0.938400689122729,0.8525353146262159,outputs/06_binary_results/T08_physionet_individual_model_comparison.csv
3,M7,Soft Voting (optimized weights),25,0.8615380387134037,0.0669594919868288,0.849638093652173,0.8555880661827883,0.0253210492991001,0.7081994698811109,0.9383495147018668,0.8521048133106904,outputs/06_binary_results/T08_physionet_individual_model_comparison.csv
4,M8,XGBoost / LightGBM,25,0.8218651609921878,0.0703008077853119,0.8746387865658246,0.8482519737790061,0.0285062912022255,0.7153507911364362,0.9374168268419864,0.8638177500271753,outputs/06_binary_results/T08_physionet_individual_model_comparison.csv
5,M4,Random Forest,25,0.8193179675801403,0.0611685262889688,0.885401814764395,0.8523598911722676,0.030644760670925,0.7262687566360942,0.9383918924875704,0.871885023670048,outputs/06_binary_results/T08_physionet_individual_model_comparison.csv
6,M5,Gradient Boosting,25,0.8130747740507671,0.0668650496386394,0.8812466686490713,0.8471607213499192,0.032553771867791,0.7194132578085203,0.9363207791154012,0.8672979641393492,outputs/06_binary_results/T08_physionet_individual_model_comparison.csv
7,M3,SVM (RBF kernel),25,0.6671634033396946,0.074009718581281,0.9324325360291824,0.7997979696844384,0.0391269746070198,0.6916401381161631,0.9220133878251724,0.8780096585505962,outputs/06_binary_results/T08_physionet_individual_model_comparison.csv
