feature,family,mean_D1,std_D1,mean_D2,std_D2,mean_D3,std_D3,mean_D4,std_D4,smd_D1_vs_D4,abs_smd_D1_vs_D4
freq_rolloff85_mean,frequency,148.9697048703666,42.901754944294986,252.53552797103575,84.13757774351417,231.9557343238997,36.464100894385545,271.916958713098,31.86955952047607,3.253398693327734,3.253398693327734
freq_rolloff95_mean,frequency,234.7102586400676,49.27099323306543,323.49657871838644,77.06804919449624,325.4712115962223,28.204453785264423,357.21615124407003,23.73768057672229,3.1677865554161775,3.1677865554161775
freq_bandwidth_mean,frequency,71.409189661836,13.180207926943682,83.58256230948562,18.08132544556228,95.49189967763513,8.475938994845253,103.8817596943338,7.209650562017403,3.05681265277847,3.05681265277847
freq_centroid_mean,frequency,89.30897617034317,23.521105366022866,169.12122838386566,69.00039900835019,131.9364079175229,21.56715897499444,156.44513132957115,22.158650946693868,2.9381204372092284,2.9381204372092284
dwt_cD2_std,dwt,0.13680016803641667,0.13438215241284548,0.6671606279764944,0.501099422076785,0.42040048102499666,0.24827249947029068,0.8310534810536214,0.30879251425147447,2.915443582687876,2.915443582687876
mfcc_02_mean,mfcc,72.90144854511108,15.982337934448838,31.035536074216907,46.5582795744639,45.538823939647585,12.280158451655277,32.58342288286829,11.278664917250397,-2.9148562158533,2.9148562158533
time_hjorth_mobility,time,0.19795948814702535,0.07592964535669947,0.4865537721213377,0.25494205050543656,0.3429124888967733,0.11120876587785164,0.5338635238742406,0.1448072508920643,2.905324087930756,2.905324087930756
freq_spectral_entropy,frequency,0.5265433504354098,0.08385729697636916,0.6399405654061169,0.11289039452171425,0.6591739034165719,0.06522012583601312,0.7395891560022715,0.06301362525221263,2.872348308854634,2.872348308854634
dwt_cD3_std,dwt,0.6078444324725396,0.3396446371243915,1.4962222172250776,0.7475707176181106,1.118445928751831,0.3155906863716445,1.5066062714642519,0.3068417468627978,2.776878603543961,2.776878603543961
freq_flux_mean,frequency,0.12579235019986423,0.017907915906841654,0.10171740415743515,0.03310161683317916,0.09733743942996592,0.010843552095582071,0.08962998808096709,0.00925588268660892,-2.5369606964565805,2.5369606964565805
dwt_cD1_std,dwt,0.017609501426285465,0.022604214108306063,0.11208785553030828,0.13269716081117586,0.06686397749302625,0.04397142476970721,0.14983025474946424,0.07176393541285153,2.48523551917564,2.48523551917564
time_shannon_entropy,time,3.2734915689314517,0.6590947867556457,2.6261171047999983,1.1446811950232023,3.105681286996781,0.56939668894508,1.6865714470233155,0.6818416094340902,-2.3665430402206353,2.3665430402206353
mfcc_01_mean,mfcc,-0.12262631820361287,33.80043843002217,7.487927502037917,68.3860592280509,56.514172640499865,20.63328398943352,62.48174098617337,19.5719769858273,2.266777947272741,2.266777947272741
time_zcr_mean,time,0.06443593078223894,0.02525463971150017,0.1605899924237619,0.07887926153861599,0.09910835161515967,0.028078400442226703,0.12905120116945312,0.032115245710857644,2.236648915484274,2.236648915484274
freq_band_power_20_50,frequency,0.5757569972218682,0.22870025101869196,0.20621501686329813,0.29852060036144984,0.25724726200822007,0.12935716272387798,0.174386342391803,0.12361401753068568,-2.183423243679934,2.183423243679934
freq_peak_power,frequency,0.03709889156811391,0.015844093165449217,0.02147785916797207,0.01499005264394511,0.01920721165971792,0.007840824271074014,0.011611821466094652,0.007292225496890928,-2.066554457348521,2.066554457348521
time_max,time,8.95484202886429,4.198676691530804,11.878209892999042,7.881588316851508,9.346193920184927,4.193928404659471,30.671290103521596,14.470167436145964,2.0383411262090863,2.0383411262090863
dwt_cD2_mean_abs,dwt,0.06937075422697633,0.07434479245665528,0.33206699511677407,0.34120858500472057,0.18892788703381963,0.12267898252337234,0.2678506514207143,0.1161340282372348,2.0355970007506063,2.0355970007506063
time_range,time,18.246421749798532,7.80234000661703,23.550724584947933,15.069941179186202,18.030999296685543,7.41921245323964,56.31622306764635,25.709925431007125,2.0038447603663845,2.0038447603663845
time_peak_to_peak,time,18.246421749798532,7.80234000661703,23.550724584947933,15.069941179186202,18.030999296685543,7.41921245323964,56.31622306764635,25.709925431007125,2.0038447603663845,2.0038447603663845
dwt_cD5_std,dwt,3.6743810351714257,0.5841367021211107,1.8613030113230928,1.6953646025940787,3.079396424510629,0.6435392357996975,2.2950867971817464,0.8023327402392334,-1.965459291014633,1.965459291014633
time_crest_factor,time,10.145473435310945,4.817801983856345,12.747306088014932,8.21949280911269,10.031506369839269,4.376294365328842,31.4467651301691,14.596749771322564,1.959795871556311,1.959795871556311
freq_band_power_150_250,frequency,0.024997866570249824,0.052652261780412504,0.27892762065169896,0.21998035995091153,0.09503495734267511,0.08571053146332126,0.19183159290260793,0.10829367050743263,1.9593776296809655,1.9593776296809655
