feature,family,n_finite,n_unique,std,variance,unique_ratio,verdict
mfcc_04_std,mfcc,7536,7235,1.514470571436511,2.2936211117472323,0.960058,ok
mfcc_05_std,mfcc,7536,7235,1.2405138166007859,1.5388745291774482,0.960058,ok
mfcc_06_std,mfcc,7536,7235,0.9461657415537756,0.8952296104900062,0.960058,ok
mfcc_07_std,mfcc,7536,7235,0.8284803450232372,0.6863796820898221,0.960058,ok
mfcc_08_std,mfcc,7536,7235,0.7014531448241075,0.4920365143836303,0.960058,ok
mfcc_09_std,mfcc,7536,7235,0.6579082859550613,0.43284331272832677,0.960058,ok
mfcc_10_std,mfcc,7536,7235,0.5865276210307143,0.3440146502319492,0.960058,ok
mfcc_11_std,mfcc,7536,7235,0.5375743687684009,0.2889862019567447,0.960058,ok
mfcc_12_std,mfcc,7536,7235,0.5080563094721887,0.2581212135945004,0.960058,ok
mfcc_13_std,mfcc,7536,7235,0.46704773345015616,0.2181335853209281,0.960058,ok
mfcc_01_delta_mean,mfcc,7536,7235,0.7014729820582762,0.49206434455773074,0.960058,ok
mfcc_02_delta_mean,mfcc,7536,7235,0.2531124718763005,0.064065923419331,0.960058,ok
mfcc_03_delta_mean,mfcc,7536,7235,0.1414079702193697,0.01999621404156215,0.960058,ok
mfcc_04_delta_mean,mfcc,7536,7235,0.11635236668904318,0.013537873234141566,0.960058,ok
mfcc_05_delta_mean,mfcc,7536,7235,0.09610632885487289,0.009236426445960972,0.960058,ok
mfcc_06_delta_mean,mfcc,7536,7235,0.08517872787296807,0.007255415682057147,0.960058,ok
mfcc_07_delta_mean,mfcc,7536,7235,0.07622298875201879,0.005809944014290382,0.960058,ok
mfcc_08_delta_mean,mfcc,7536,7235,0.0892903453731556,0.00797276577685741,0.960058,ok
mfcc_09_delta_mean,mfcc,7536,7235,0.06635586717354694,0.004403101108353404,0.960058,ok
mfcc_10_delta_mean,mfcc,7536,7235,0.07007411562135082,0.004910381680114444,0.960058,ok
mfcc_11_delta_mean,mfcc,7536,7235,0.06066699591140088,0.003680484392913931,0.960058,ok
mfcc_12_delta_mean,mfcc,7536,7235,0.0592746348380649,0.0035134823351859372,0.960058,ok
mfcc_13_delta_mean,mfcc,7536,7235,0.058978663135243255,0.0034784827052205015,0.960058,ok
chroma_01_mean,chroma,7536,7235,0.06447253534681197,0.004156707814045918,0.960058,ok
chroma_02_mean,chroma,7536,7235,0.060972306478112234,0.003717622157260847,0.960058,ok
chroma_03_mean,chroma,7536,7235,0.05682326573375387,0.0032288835286488067,0.960058,ok
chroma_04_mean,chroma,7536,7235,0.055698198153911485,0.0031022892775923886,0.960058,ok
