dataset,n_records,total_audio_sec,total_extract_sec,mean_sec_per_record,median_sec_per_record,max_sec_per_record,share_of_total,sec_per_audio_sec
D1,3541,79124.223,18284.879187,5.163761419655464,5.05362,16.975695,0.4861555992154618,0.23109078982045736
D2,176,1416.4774779999998,839.442278,4.769558397727272,4.514253500000001,11.043145,0.022318964183150238,0.592626632641737
D3,656,4296.7135,2475.05215,3.772945350609756,2.9357379999999997,13.010603,0.0658063118037033,0.5760337872189989
D4,3163,72338.76275,16011.792884999999,5.062217162503952,5.03705,9.201999,0.4257191247976848,0.22134457759992585
