family,n_features,repeats,min_seconds,mean_seconds,max_seconds,seconds_per_feature,share_of_total
time,24,3,1.0046424000174738,2.0984362333353297,4.086901500006206,0.041860100000728075,0.9789989900552918
frequency,22,3,0.007846799970138818,0.008778466649043063,0.009897599986288697,0.0003566727259154008,0.007646511082747635
envelope,5,3,0.004895899968687445,0.005918966645064454,0.00732049997895956,0.000979179993737489,0.004770932547415256
mfcc,39,3,0.003919199982192367,0.005044566661429902,0.007154999999329448,0.00010049230723570172,0.0038191627432052535
chroma,24,3,0.0026759000029414892,0.003118433329897622,0.003975600004196167,0.00011149583345589538,0.0026075978878883723
dwt,24,3,0.002213299972936511,0.012852833315264434,0.032539499981794506,9.222083220568796e-05,0.002156805683451705
