exp_id,model_id,task,repeat,fold,fold_label,n_train,n_test,n_features,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative,brier,ece,fit_seconds,predict_seconds,planner_inner_scores,planner_search_seconds,planner_tuning,params,note
EXP-A2,M6,binary,2,0,r2f0,2596,644,138,0.7996894409937888,0.8231105754207402,0.8625954198473282,0.783625730994152,0.5044642857142857,0.6366197183098592,0.5461687459877125,0.8973557728077616,0.6534600040877392,113.0,111.0,402.0,18.0,644.0,131.0,513.0,0.2100014575588989,0.04759921713446787,29.539122,0.574384,"{""M3"": 0.808923, ""M4"": 0.871222, ""M5"": 0.868344}",727.25,nested-bayes,"{""members"": {""M3"": {""C"": 9.643857615941439, ""class_weight"": ""balanced"", ""gamma"": 0.016949768237884747}, ""M4"": {""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.3, ""min_samples_leaf"": 3, ""n_estimators"": 349}, ""M5"": {""learning_rate"": 0.0173579720185871, ""max_depth"": 4, ""min_samples_leaf"": 13, ""n_estimators"": 170, ""subsample"": 0.6571467271687763}}}","bayes search inside this training fold, per member"
EXP-A2,M6,binary,2,1,r2f1,2589,651,138,0.7987711213517665,0.8484295158636219,0.9328358208955224,0.7640232108317214,0.5060728744939271,0.6561679790026247,0.5806353123629346,0.9471693755593406,0.8069974821928043,125.0,122.0,395.0,9.0,651.0,134.0,517.0,0.16037240424548518,0.07934778745790799,41.159414,1.053325,"{""M3"": 0.800238, ""M4"": 0.850076, ""M5"": 0.849161}",697.24,nested-bayes,"{""members"": {""M3"": {""C"": 1.233613500061379, ""class_weight"": ""balanced"", ""gamma"": 0.008766536338520389}, ""M4"": {""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.3, ""min_samples_leaf"": 8, ""n_estimators"": 817}, ""M5"": {""learning_rate"": 0.0173579720185871, ""max_depth"": 4, ""min_samples_leaf"": 13, ""n_estimators"": 170, ""subsample"": 0.6571467271687763}}}","bayes search inside this training fold, per member"
EXP-A2,M6,binary,2,2,r2f2,2585,655,138,0.8427480916030534,0.8710509257954513,0.9197080291970803,0.8223938223938224,0.5779816513761468,0.7098591549295775,0.6405008543039001,0.9649409576416875,0.8919735252428975,126.0,92.0,426.0,11.0,655.0,137.0,518.0,0.14795882011284406,0.12291698614205396,59.818621,1.039618,"{""M3"": 0.789078, ""M4"": 0.846667, ""M5"": 0.831039}",686.96,nested-bayes,"{""members"": {""M3"": {""C"": 30.440546640217043, ""class_weight"": null, ""gamma"": 0.017593199224444626}, ""M4"": {""class_weight"": ""balanced_subsample"", ""max_depth"": 5, ""max_features"": 0.3, ""min_samples_leaf"": 7, ""n_estimators"": 977}, ""M5"": {""learning_rate"": 0.0010393190962653526, ""max_depth"": 6, ""min_samples_leaf"": 4, ""n_estimators"": 235, ""subsample"": 0.6008106218062078}}}","bayes search inside this training fold, per member"
EXP-A2,M6,binary,2,3,r2f3,2597,643,138,0.9035769828926905,0.9053703482824427,0.9083969465648855,0.90234375,0.7041420118343196,0.7933333333333333,0.7418567949607678,0.9532442748091603,0.7743940282256986,119.0,50.0,462.0,12.0,643.0,131.0,512.0,0.15237243940236134,0.07482022494255927,100.484203,0.48169,"{""M3"": 0.785236, ""M4"": 0.834253, ""M5"": 0.82707}",790.73,nested-bayes,"{""members"": {""M3"": {""C"": 9.643857615941439, ""class_weight"": ""balanced"", ""gamma"": 0.016949768237884747}, ""M4"": {""class_weight"": ""balanced_subsample"", ""max_depth"": 30, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""n_estimators"": 100}, ""M5"": {""learning_rate"": 0.01444212651437026, ""max_depth"": 4, ""min_samples_leaf"": 14, ""n_estimators"": 737, ""subsample"": 0.7906090962538036}}}","bayes search inside this training fold, per member"
EXP-A2,M6,binary,2,4,r2f4,2593,647,138,0.884080370942813,0.8511253309796999,0.7954545454545454,0.9067961165048544,0.6862745098039216,0.7368421052631579,0.6659989546504232,0.9370108855545749,0.718990763795492,105.0,48.0,467.0,27.0,647.0,132.0,515.0,0.16236782274215025,0.05801076985279225,40.824912,1.061863,"{""M3"": 0.802122, ""M4"": 0.845609, ""M5"": 0.834954}",885.58,nested-bayes,"{""members"": {""M3"": {""C"": 1.9780827689353788, ""class_weight"": ""balanced"", ""gamma"": 0.004661686413912771}, ""M4"": {""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.3, ""min_samples_leaf"": 8, ""n_estimators"": 817}, ""M5"": {""learning_rate"": 0.0173579720185871, ""max_depth"": 4, ""min_samples_leaf"": 13, ""n_estimators"": 170, ""subsample"": 0.6571467271687763}}}","bayes search inside this training fold, per member"
EXP-A2,M6,binary,3,0,r3f0,2596,644,138,0.8136645962732919,0.8318825052453016,0.8625954198473282,0.8011695906432749,0.5255813953488372,0.653179190751445,0.5665794385935143,0.9019537818252161,0.6436241783758706,113.0,102.0,411.0,18.0,644.0,131.0,513.0,0.21046451698936064,0.03221854148146981,147.162489,0.606232,"{""M3"": 0.807799, ""M4"": 0.860054, ""M5"": 0.850004}",543.83,nested-bayes,"{""members"": {""M3"": {""C"": 9.643857615941439, ""class_weight"": ""balanced"", ""gamma"": 0.016949768237884747}, ""M4"": {""class_weight"": ""balanced"", ""max_depth"": 10, ""max_features"": 0.3, ""min_samples_leaf"": 5, ""n_estimators"": 152}, ""M5"": {""learning_rate"": 0.0031266912307463765, ""max_depth"": 7, ""min_samples_leaf"": 9, ""n_estimators"": 658, ""subsample"": 0.8387400631785948}}}","bayes search inside this training fold, per member"
EXP-A2,M6,binary,3,1,r3f1,2593,647,138,0.8979907264296755,0.88803324507208,0.8712121212121212,0.9048543689320389,0.7012195121951219,0.777027027027027,0.7189422758591021,0.9446749043836422,0.7406315688114183,115.0,49.0,466.0,17.0,647.0,132.0,515.0,0.15467305500551048,0.062314869626235773,23.281225,0.445799,"{""M3"": 0.787262, ""M4"": 0.83989, ""M5"": 0.827577}",742.91,nested-bayes,"{""members"": {""M3"": {""C"": 9.643857615941439, ""class_weight"": ""balanced"", ""gamma"": 0.016949768237884747}, ""M4"": {""class_weight"": ""balanced"", ""max_depth"": 30, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 100}, ""M5"": {""learning_rate"": 0.0173579720185871, ""max_depth"": 4, ""min_samples_leaf"": 13, ""n_estimators"": 170, ""subsample"": 0.6571467271687763}}}","bayes search inside this training fold, per member"
EXP-A2,M6,binary,3,2,r3f2,2585,655,138,0.8839694656488549,0.9077907174430466,0.9485294117647058,0.8670520231213873,0.6515151515151515,0.7724550898203593,0.7203271253371579,0.9620027201632098,0.8327990407222056,129.0,69.0,450.0,7.0,655.0,136.0,519.0,0.1540220103723381,0.12279658301087217,35.104278,0.946234,"{""M3"": 0.796356, ""M4"": 0.83249, ""M5"": 0.824417}",834.35,nested-bayes,"{""members"": {""M3"": {""C"": 1.13317588970326, ""class_weight"": null, ""gamma"": 0.01917339093156976}, ""M4"": {""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.3, ""min_samples_leaf"": 8, ""n_estimators"": 817}, ""M5"": {""learning_rate"": 0.023407993616080324, ""max_depth"": 2, ""min_samples_leaf"": 14, ""n_estimators"": 207, ""subsample"": 0.6592929852339807}}}","bayes search inside this training fold, per member"
EXP-A2,M6,binary,3,3,r3f3,2589,651,138,0.8079877112135176,0.843324720068906,0.9037037037037037,0.7829457364341085,0.5213675213675214,0.6612466124661247,0.580164096778418,0.9388171116853288,0.767807705058572,122.0,112.0,404.0,13.0,651.0,135.0,516.0,0.17088878763347853,0.09805313323637053,62.53467,0.542136,"{""M3"": 0.78156, ""M4"": 0.838737, ""M5"": 0.839054}",910.6,nested-bayes,"{""members"": {""M3"": {""C"": 1.9780827689353788, ""class_weight"": ""balanced"", ""gamma"": 0.004661686413912771}, ""M4"": {""class_weight"": ""balanced_subsample"", ""max_depth"": 5, ""max_features"": 0.3, ""min_samples_leaf"": 9, ""n_estimators"": 109}, ""M5"": {""learning_rate"": 0.005105870407237786, ""max_depth"": 2, ""min_samples_leaf"": 1, ""n_estimators"": 759, ""subsample"": 0.8115289417755925}}}","bayes search inside this training fold, per member"
EXP-A2,M6,binary,3,4,r3f4,2597,643,138,0.8678071539657853,0.8658680224236641,0.8625954198473282,0.869140625,0.6277777777777778,0.7266881028938906,0.6564449760187224,0.9509184160305344,0.8251459283752209,113.0,67.0,445.0,18.0,643.0,131.0,512.0,0.1541425948374399,0.0642232459073717,147.374062,0.528667,"{""M3"": 0.788897, ""M4"": 0.855876, ""M5"": 0.837508}",663.7,nested-bayes,"{""members"": {""M3"": {""C"": 9.643857615941439, ""class_weight"": ""balanced"", ""gamma"": 0.016949768237884747}, ""M4"": {""class_weight"": null, ""max_depth"": 30, ""max_features"": ""sqrt"", ""min_samples_leaf"": 7, ""n_estimators"": 121}, ""M5"": {""learning_rate"": 0.0031266912307463765, ""max_depth"": 7, ""min_samples_leaf"": 9, ""n_estimators"": 658, ""subsample"": 0.8387400631785948}}}","bayes search inside this training fold, per member"
