model_id,kind,x,mean,sd,n_folds
M6,pr,0.3,0.828186,0.102398,25
M6,pr,0.31,0.828131,0.102413,25
M6,pr,0.32,0.826992,0.099013,25
M6,pr,0.33,0.825099,0.100808,25
M6,pr,0.34,0.825882,0.100487,25
M6,pr,0.35,0.82367,0.101473,25
M6,pr,0.36,0.821138,0.101687,25
M6,pr,0.37,0.820944,0.101707,25
M6,pr,0.38,0.820196,0.10373,25
M6,pr,0.39,0.820926,0.102543,25
M6,pr,0.4,0.819626,0.098928,25
M6,pr,0.41,0.818278,0.100198,25
M6,pr,0.42,0.817152,0.102063,25
M6,pr,0.43,0.816764,0.102958,25
M6,pr,0.44,0.815849,0.10298,25
M6,pr,0.45,0.81431,0.101952,25
M6,pr,0.46,0.813258,0.102936,25
M6,pr,0.47,0.813528,0.103318,25
M6,pr,0.48,0.814015,0.101305,25
M6,pr,0.49,0.814947,0.100156,25
M6,pr,0.5,0.814443,0.09845,25
M6,pr,0.51,0.815362,0.096822,25
M6,pr,0.52,0.814855,0.097952,25
M6,pr,0.53,0.814129,0.096806,25
M6,pr,0.54,0.812914,0.097966,25
M6,pr,0.55,0.813394,0.098112,25
M6,pr,0.56,0.811482,0.097711,25
M6,pr,0.57,0.81061,0.101079,25
M6,pr,0.58,0.811164,0.100218,25
M6,pr,0.59,0.811042,0.1002,25
M6,pr,0.6,0.81179,0.09978,25
M6,pr,0.61,0.810828,0.098778,25
M6,pr,0.62,0.810203,0.098466,25
M6,pr,0.63,0.809323,0.098459,25
M6,pr,0.64,0.808258,0.099181,25
M6,pr,0.65,0.807083,0.100092,25
M6,pr,0.66,0.804532,0.098941,25
M6,pr,0.67,0.802747,0.099378,25
M6,pr,0.68,0.798629,0.099758,25
M6,pr,0.69,0.79241,0.098861,25
M6,pr,0.7,0.78956,0.09892,25
M6,pr,0.71,0.783128,0.099316,25
M6,pr,0.72,0.778328,0.097688,25
M6,pr,0.73,0.772658,0.096406,25
M6,pr,0.74,0.766048,0.094142,25
M6,pr,0.75,0.757609,0.095907,25
M6,pr,0.76,0.747667,0.094947,25
M6,pr,0.77,0.737931,0.092038,25
M6,pr,0.78,0.727949,0.090154,25
M6,pr,0.79,0.714833,0.091648,25
M6,pr,0.8,0.702454,0.090636,25
M6,pr,0.81,0.689615,0.092026,25
M6,pr,0.82,0.675263,0.088939,25
M6,pr,0.83,0.665965,0.090973,25
M6,pr,0.84,0.65362,0.084624,25
M6,pr,0.85,0.635441,0.086158,25
M6,pr,0.86,0.620626,0.086133,25
M6,pr,0.87,0.610513,0.088373,25
M6,pr,0.88,0.5958,0.088979,25
M6,pr,0.89,0.584352,0.085417,25
M6,pr,0.9,0.571322,0.082773,25
M6,pr,0.91,0.554761,0.082355,25
M6,pr,0.92,0.535519,0.073579,25
M6,pr,0.93,0.523176,0.07121,25
M6,pr,0.94,0.513788,0.071546,25
M6,pr,0.95,0.502917,0.063475,25
M6,pr,0.96,0.489924,0.057143,25
M6,pr,0.97,0.480267,0.050887,25
M6,pr,0.98,0.467064,0.045515,25
M6,pr,0.99,0.454733,0.042679,25
M6,pr,1.0,0.207505,0.004356,25
M7,roc,0.0,0.055231,0.101688,25
M7,roc,0.01,0.250657,0.148011,25
M7,roc,0.02,0.42563,0.19218,25
M7,roc,0.03,0.529927,0.198134,25
M7,roc,0.04,0.611474,0.16665,25
M7,roc,0.05,0.667052,0.156316,25
M7,roc,0.06,0.707546,0.138413,25
M7,roc,0.07,0.738612,0.122616,25
M7,roc,0.08,0.768262,0.101451,25
M7,roc,0.09,0.78905,0.089649,25
M7,roc,0.1,0.806843,0.080447,25
M7,roc,0.11,0.822123,0.075471,25
M7,roc,0.12,0.834432,0.071213,25
M7,roc,0.13,0.84827,0.067631,25
M7,roc,0.14,0.859713,0.056588,25
M7,roc,0.15,0.869385,0.052525,25
M7,roc,0.16,0.877826,0.048885,25
M7,roc,0.17,0.884487,0.048138,25
M7,roc,0.18,0.895052,0.046646,25
M7,roc,0.19,0.901049,0.047388,25
M7,roc,0.2,0.909492,0.044049,25
M7,roc,0.21,0.916419,0.043983,25
M7,roc,0.22,0.924262,0.041718,25
M7,roc,0.23,0.931798,0.039178,25
M7,roc,0.24,0.940271,0.038756,25
M7,roc,0.25,0.949268,0.040583,25
M7,roc,0.26,0.955277,0.036479,25
M7,roc,0.27,0.960358,0.035793,25
M7,roc,0.28,0.963642,0.033558,25
M7,roc,0.29,0.968725,0.03196,25
M7,roc,0.3,0.973239,0.031031,25
M7,roc,0.31,0.976232,0.029945,25
M7,roc,0.32,0.980733,0.028883,25
M7,roc,0.33,0.985237,0.026,25
M7,roc,0.34,0.987044,0.024108,25
M7,roc,0.35,0.989769,0.020029,25
M7,roc,0.36,0.993353,0.015237,25
M7,roc,0.37,0.994857,0.01398,25
M7,roc,0.38,0.995459,0.013318,25
M7,roc,0.39,0.996675,0.009553,25
M7,roc,0.4,0.996978,0.008182,25
M7,roc,0.41,0.99789,0.00558,25
M7,roc,0.42,0.998487,0.004379,25
M7,roc,0.43,0.999095,0.002501,25
M7,roc,0.44,0.999697,0.001515,25
M7,roc,0.45,1.0,0.0,25
M7,roc,0.46,1.0,0.0,25
M7,roc,0.47,1.0,0.0,25
M7,roc,0.48,1.0,0.0,25
