exp_id,model_id,task,cv,n_folds,n_train_mean,n_train_sd,n_train_n,n_test_mean,n_test_sd,n_test_n,n_features_mean,n_features_sd,n_features_n,accuracy_mean,accuracy_sd,accuracy_n,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_n,sensitivity_mean,sensitivity_sd,sensitivity_n,specificity_mean,specificity_sd,specificity_n,precision_mean,precision_sd,precision_n,f1_mean,f1_sd,f1_n,mcc_mean,mcc_sd,mcc_n,roc_auc_mean,roc_auc_sd,roc_auc_n,pr_auc_mean,pr_auc_sd,pr_auc_n,tp_mean,tp_sd,tp_n,fp_mean,fp_sd,fp_n,tn_mean,tn_sd,tn_n,fn_mean,fn_sd,fn_n,support_mean,support_sd,support_n,n_positive_mean,n_positive_sd,n_positive_n,n_negative_mean,n_negative_sd,n_negative_n,brier_mean,brier_sd,brier_n,ece_mean,ece_sd,ece_n,fit_seconds_mean,fit_seconds_sd,fit_seconds_n,predict_seconds_mean,predict_seconds_sd,predict_seconds_n,planner_search_seconds_mean,planner_search_seconds_sd,planner_search_seconds_n
EXP-A2,M6,binary,repeated_5x5_grouped,25,2592.0,4.564354645876384,25,648.0,4.564354645876384,25,138.0,0.0,25,0.85824172033321,0.03281139636870078,25,0.85912306787213,0.026666403742799206,25,0.8606643775476922,0.05387261276085086,25,0.8575817581965677,0.04534447662821215,25,0.6183112200613388,0.06979230424449184,25,0.7162229388351409,0.046512819357067824,25,0.6440534926437884,0.058390539202829675,25,0.9389039579010398,0.021947518103909977,25,0.7664144840590946,0.08315268529240288,25,114.48,7.6109570138496165,25,73.36,23.391380178746758,25,441.64,23.146057979707905,25,18.52,7.147960081962779,25,648.0,4.564354645876384,25,133.0,2.217355782608345,25,515.0,2.4324199198877374,25,0.16883620192660562,0.022271220104832724,25,0.07636902944823068,0.02782626324153441,25,85.9866328,59.77983398494534,25,1.0936995200000001,1.2747787750054294,25,825.5003999999999,120.44933549283975,25
EXP-A2,M7,binary,repeated_5x5_grouped,25,2592.0,4.564354645876384,25,648.0,4.564354645876384,25,138.0,0.0,25,0.8608221693660958,0.02979286487121817,25,0.8592123065726522,0.02685827364203309,25,0.8565050730600297,0.05453515388863342,25,0.8619195400852749,0.040678668476923634,25,0.6231986540204199,0.06584701817552038,25,0.7184175684671135,0.04427829567224449,25,0.6463219573071958,0.05634626897348558,25,0.9390507170610658,0.021806510583463976,25,0.7670329163595996,0.08271374817378713,25,113.92,7.587929010386606,25,71.12,20.954951682120385,25,443.88,20.837306287841844,25,19.08,7.256721022610694,25,648.0,4.564354645876384,25,133.0,2.217355782608345,25,515.0,2.4324199198877374,25,0.16866783714684652,0.02220012407705105,25,0.07617828381060765,0.027848504395156442,25,88.61364892000002,50.35387149311175,25,0.81382104,0.24745801640538947,25,825.5003999999999,120.44933549283975,25
