model_id,n_features_all,n_features_selected,feature_reduction,sensitivity_all,sensitivity_selected,sensitivity_delta,sensitivity_delta_sd,sensitivity_folds_selected_wins,specificity_all,specificity_selected,specificity_delta,specificity_delta_sd,specificity_folds_selected_wins,f1_all,f1_selected,f1_delta,f1_delta_sd,f1_folds_selected_wins,balanced_accuracy_all,balanced_accuracy_selected,balanced_accuracy_delta,balanced_accuracy_delta_sd,balanced_accuracy_folds_selected_wins,roc_auc_all,roc_auc_selected,roc_auc_delta,roc_auc_delta_sd,roc_auc_folds_selected_wins,accuracy_all,accuracy_selected,accuracy_delta,accuracy_delta_sd,accuracy_folds_selected_wins
M1,138,20,0.855072463768116,0.8479933187885698,0.8731990524477264,0.02520573365915668,0.03180937727878376,19,0.8378530531876638,0.8017211621099852,-0.03613189107767856,0.02028703794001838,1,0.6867562609818505,0.6633502622833768,-0.023405998698473707,0.02299075080026704,3,0.8429231859881168,0.8374601072788559,-0.005463078709260882,0.016411790484141004,7,0.9221754145146952,0.9110454060438714,-0.011130008470823793,0.00892298978660128,2,0.8399528099206428,0.8164099830197229,-0.02354282690091991,0.015728197022267056,3
M5,138,20,0.855072463768116,0.7979991249318708,0.803577456166555,0.0055783312346842084,0.02275115319916211,13,0.9016218568785286,0.8963380516100075,-0.0052838052685211245,0.011190604898899456,6,0.7344011991722188,0.7299873776024193,-0.004413821569799525,0.021500151373924196,13,0.8498104909051996,0.8499577538882812,0.00014726298308165298,0.013851073988852904,14,0.9357444658070613,0.9359931840155266,0.0002487182084652817,0.006175466775733212,10,0.8803812904490006,0.8773100555116236,-0.003071234937377043,0.011023232220414157,8
M4,138,20,0.855072463768116,0.7475470301606779,0.78719399139783,0.039646961237152056,0.021647375833607763,24,0.9366196855524065,0.9240468557460608,-0.012572829806345664,0.009492600215285045,2,0.7510565386260639,0.7579893373956109,0.0069327987695469995,0.019833057400492772,17,0.8420833578565423,0.8556204235719455,0.01353706571540314,0.01175371582788313,23,0.9418026774787451,0.9448187347214305,0.0030160572426853882,0.0036152462928861675,21,0.8978274239459105,0.8959793184111926,-0.0018481055347179254,0.008688535032295205,10
M8,138,20,0.855072463768116,0.7556270092682991,0.7722393877825361,0.016612378514237025,0.024230669223384765,19,0.9328235751465186,0.9260797065981612,-0.006743868548357401,0.008675728625113245,5,0.7504310157926309,0.7510717957516638,0.0006407799590328889,0.02035738847853798,13,0.8442252922074089,0.8491595471903487,0.004934254982939756,0.013535895220057088,16,0.9410446008725418,0.9444626179530954,0.0034180170805535592,0.0058689377790177265,20,0.8964713031776675,0.8945202691497287,-0.001951034027938836,0.00912362873332698,9
M3,138,20,0.855072463768116,0.6698449028753386,0.6415451466803249,-0.02829975619501368,0.043151950459174235,4,0.9303228738736918,0.9340496089252431,0.0037267350515513,0.006963590065318213,18,0.6908738481927146,0.675961175596479,-0.014912672596235632,0.02916756893990319,7,0.8000838883745152,0.7877973778027841,-0.012286510571731024,0.020910325605661324,6,0.924078273935299,0.9283503276032431,0.004272053667944142,0.006283906608447055,20,0.8768856610276579,0.8740756361402725,-0.002810024887385354,0.009062575375500238,8
