arm_id,label,filter_enabled,normalization_enabled,is_shipped_configuration,config_hash,model_id,task,scheme,n_folds,n_records,n_subjects,n_nan_features,sensitivity,sensitivity_sd,specificity,specificity_sd,f1,f1_sd,balanced_accuracy,balanced_accuracy_sd,roc_auc,roc_auc_sd,accuracy,accuracy_sd,sensitivity_delta,specificity_delta,f1_delta,balanced_accuracy_delta,roc_auc_delta,accuracy_delta,extract_seconds,fit_seconds
PP-A,"filter on, normalization on",True,True,True,f967c8ab0a0c,M1,binary,repeated_5x5_grouped,25,3240,857,0,0.8479933187885698,0.0396517517395229,0.8378530531876638,0.036437864841969474,0.6867562609818505,0.042513708411701046,0.8429231859881168,0.026269482333133316,0.9221754145146952,0.01921962671580237,0.8399528099206428,0.029711112128121765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.362
PP-B,"filter on, normalization off",True,False,False,3f1ef231e09f,M1,binary,repeated_5x5_grouped,25,3240,857,0,0.8475857618484121,0.044710005361567794,0.8415494928059181,0.030157386378198942,0.6898252917758784,0.040230820722726185,0.844567627327165,0.026629872227401978,0.9232209766608592,0.017397607298960633,0.8428107208729689,0.025446603883897394,-0.00040755694015770505,0.003696439618254277,0.0030690307940278716,0.001644441339048175,0.0010455621461640252,0.002857910952326126,0.0,6.717
PP-C,"filter off, normalization on",False,True,False,ee2272ca4e50,M1,binary,repeated_5x5_grouped,25,3240,857,0,0.8363947550423363,0.04331363186590645,0.8522032872713896,0.029587283683464406,0.6954598166745215,0.03459330471462415,0.8442990211568628,0.02201910888582397,0.9292542053540782,0.014755749387945546,0.8489588799976917,0.022371921872595176,-0.01159856374623347,0.014350234083725821,0.008703555692671006,0.0013758351687460646,0.007078790839383009,0.0090060700770489,1521.916,6.355
PP-D,"filter off, normalization off",False,False,False,5866b91707cd,M1,binary,repeated_5x5_grouped,25,3240,857,0,0.8396389505556777,0.05057785163011753,0.854848353692377,0.02996035510896256,0.7001943374945243,0.04105671008183067,0.8472436521240273,0.02790908037904645,0.9268143675329839,0.017358565166462735,0.8517361459577337,0.02488519939419805,-0.00835436823289204,0.016995300504713207,0.013438076512673813,0.004320466135910528,0.00463895301828865,0.011783336037090919,6042.14,6.217
