metric,threshold,is_configured,n_records,n_sqi_poor,n_flagged,true_positive,false_positive,false_negative,true_negative,sensitivity_to_sqi_poor,specificity,balanced_accuracy,agreement
drift_ratio_db,-4.6396,False,3541,404,1062,310,752,94,2385,0.7673,0.7603,0.7638,0.7611
drift_ratio_db,-2.9797,False,3541,404,921,298,623,106,2514,0.7376,0.8014,0.7695,0.7941
drift_ratio_db,-0.7893,False,3541,404,778,282,496,122,2641,0.698,0.8419,0.77,0.8255
drift_ratio_db,2.6226,False,3541,404,638,268,370,136,2767,0.6634,0.8821,0.7727,0.8571
drift_ratio_db,5.0,True,3541,404,514,256,258,148,2879,0.6337,0.9178,0.7757,0.8853
drift_ratio_db,5.309,False,3541,404,496,252,244,152,2893,0.6238,0.9222,0.773,0.8882
drift_ratio_db,7.669,False,3541,404,354,220,134,184,3003,0.5446,0.9573,0.7509,0.9102
drift_ratio_db,9.6885,False,3541,404,213,160,53,244,3084,0.396,0.9831,0.6896,0.9161
drift_ratio_db,14.5263,False,3541,404,71,64,7,340,3130,0.1584,0.9978,0.5781,0.902
"is_noisy (composite, as configured)",,True,3541,404,534,268,266,136,2871,0.6634,0.9152,0.7893,0.8865
