model_id,kind,feature,importance,scoring,n_repeats,n_scored_rows,computed_on,rank,importance_std
M4,impurity,freq_band_power_100_150,0.0042063994590892636,mean decrease in impurity,0,0,train,62,
M4,impurity,dwt_cD2_mean_abs,0.004179540425000302,mean decrease in impurity,0,0,train,63,
M4,impurity,freq_centroid_std,0.004152957355995684,mean decrease in impurity,0,0,train,64,
M4,impurity,mfcc_04_std,0.004114155063776942,mean decrease in impurity,0,0,train,65,
M4,impurity,chroma_07_mean,0.00410386840112475,mean decrease in impurity,0,0,train,66,
M4,impurity,mfcc_01_mean,0.004092015982016879,mean decrease in impurity,0,0,train,67,
M4,impurity,freq_band_power_20_50,0.004067990065046455,mean decrease in impurity,0,0,train,68,
M4,impurity,chroma_07_std,0.00406786951480245,mean decrease in impurity,0,0,train,69,
M4,impurity,time_hjorth_mobility,0.004064630273315188,mean decrease in impurity,0,0,train,70,
M4,impurity,chroma_11_mean,0.004034484790082135,mean decrease in impurity,0,0,train,71,
M4,impurity,freq_rolloff85_std,0.004012813603862813,mean decrease in impurity,0,0,train,72,
M4,impurity,dwt_cD3_std,0.004009393808985334,mean decrease in impurity,0,0,train,73,
M4,impurity,freq_bandwidth_mean,0.0040003088866163205,mean decrease in impurity,0,0,train,74,
M4,impurity,mfcc_09_mean,0.003999910746617895,mean decrease in impurity,0,0,train,75,
M4,impurity,mfcc_08_std,0.003913487406380369,mean decrease in impurity,0,0,train,76,
M4,impurity,chroma_06_mean,0.0038953917179828735,mean decrease in impurity,0,0,train,77,
M4,impurity,chroma_08_std,0.0038341812398816214,mean decrease in impurity,0,0,train,78,
M4,impurity,mfcc_01_delta_mean,0.0038040311302455906,mean decrease in impurity,0,0,train,79,
M4,impurity,freq_band_power_150_250,0.003767177530218218,mean decrease in impurity,0,0,train,80,
M4,impurity,freq_rolloff95_mean,0.003740473404811906,mean decrease in impurity,0,0,train,81,
M4,impurity,chroma_06_std,0.0037271266808927873,mean decrease in impurity,0,0,train,82,
M4,impurity,chroma_05_std,0.003718933596605784,mean decrease in impurity,0,0,train,83,
M4,impurity,mfcc_06_delta_mean,0.003639218443917515,mean decrease in impurity,0,0,train,84,
M4,impurity,mfcc_11_std,0.0036368859806634856,mean decrease in impurity,0,0,train,85,
M4,impurity,mfcc_02_delta_mean,0.0035910771546098594,mean decrease in impurity,0,0,train,86,
M4,impurity,mfcc_10_std,0.0035585652817732936,mean decrease in impurity,0,0,train,87,
M4,impurity,env_peak_rate,0.003531001963612045,mean decrease in impurity,0,0,train,88,
M4,impurity,freq_spectral_entropy,0.0034996029587786343,mean decrease in impurity,0,0,train,89,
