model_id,task,fold,n_train,n_test,n_features,fit_seconds,predict_seconds,model_mb,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative,brier,ece,has_predict_proba,n_rows,n_classes,proba_min,proba_max,max_row_sum_error,row_sum_tolerance,n_nan,n_inf,agrees_with_predict,well_formed,decision_rule,threshold,notes,threshold_objective,threshold_score,threshold_sensitivity,threshold_specificity,threshold_balanced_accuracy,threshold_n_candidates,threshold_n_scored_rows,fixed_half_sensitivity,fixed_half_specificity,fixed_half_balanced_accuracy,sensitivity_gained,weight_strategy,weight_objective,weight_candidates,inner_folds,n_oof_rows,grouped_inner_cv,weight_M3,weight_M4,weight_M5,selection_n_candidates,selection_n_within_margin,selection_best_score,selection_chosen_score,selection_standard_error,selection_selection_standard_errors,selection_margin,selection_argmax_weights
M1,binary,r0f0,2593,647,138,0.2104,0.0109,0.0068,0.7851622874806801,0.7918064136510738,0.803030303030303,0.7805825242718447,0.4840182648401826,0.603988603988604,0.4970172555676769,0.8776993233303914,0.6452693892368185,106.0,113.0,402.0,26.0,647.0,132.0,515.0,0.3153380733920949,0.12375546813878845,True,647,2,4.661576780682161e-08,0.9999999533842322,0.0,1e-09,0,0,True,True,argmax,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2,binary,r0f0,2593,647,138,0.0496,2.1665,2.7556,0.8268933539412674,0.8321050308914386,0.8409090909090909,0.8233009708737864,0.5495049504950495,0.6646706586826348,0.5776174968174732,0.9001323918799647,0.616937007323585,111.0,91.0,424.0,21.0,647.0,132.0,515.0,0.2498918083462133,0.06893353941267386,True,647,2,0.0,1.0,0.0,1e-09,0,0,True,True,argmax,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3,binary,r0f0,2593,647,138,1.0187,0.7504,2.1115,0.8346213292117465,0.7609002647837599,0.6363636363636364,0.8854368932038835,0.5874125874125874,0.610909090909091,0.5067710633572868,0.8818917328626065,0.5712963053881107,84.0,59.0,456.0,48.0,647.0,132.0,515.0,0.22973018268239395,0.043059896352660616,True,647,2,0.006921472768734071,0.993078527231266,2.220446049250313e-16,1e-09,0,0,True,True,argmax,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4,binary,r0f0,2593,647,138,5.0159,0.3541,11.8933,0.848531684698609,0.8090761988820241,0.7424242424242424,0.8757281553398059,0.6049382716049383,0.6666666666666666,0.5749866504511496,0.9159385113268608,0.7001981401539955,98.0,64.0,451.0,34.0,647.0,132.0,515.0,0.21603378052550232,0.026757341576506936,True,647,2,0.0,1.0,0.0,1e-09,0,0,True,True,argmax,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M5,binary,r0f0,2593,647,138,25.5137,0.012,0.2605,0.8176197836166924,0.8093777581641659,0.7954545454545454,0.8233009708737864,0.5357142857142857,0.6402439024390244,0.5426169517154407,0.9076493086201824,0.7196330402144142,105.0,91.0,424.0,27.0,647.0,132.0,515.0,0.24981299997768133,0.08829066587161698,True,647,2,0.0010208155054181043,0.9989791844945819,0.0,1e-09,0,0,True,True,argmax,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M6,binary,r0f0,2593,647,138,162.3186,1.0529,14.865,0.8145285935085008,0.8356060606060607,0.8712121212121212,0.8,0.5275229357798165,0.6571428571428571,0.5722601151464203,0.9024713150926743,0.6294091149893317,115.0,103.0,412.0,17.0,647.0,132.0,515.0,0.21227932472208066,0.03660622100264424,True,647,2,0.01765120094510873,0.9823487990548911,2.220446049250313e-16,1e-09,0,0,,True,threshold,0.3480149514275374,,balanced_accuracy,0.8595830525146178,0.8405253283302064,0.8786407766990292,0.8595830525146178,200.0,2593.0,0.6810506566604128,0.9611650485436893,0.821107852602051,0.15947467166979368,equal,,0.0,3.0,2593.0,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,,
M7,binary,r0f0,2593,647,138,167.8105,0.9769,14.8652,0.8145285935085008,0.8356060606060607,0.8712121212121212,0.8,0.5275229357798165,0.6571428571428571,0.5722601151464203,0.9024713150926743,0.6294091149893317,115.0,103.0,412.0,17.0,647.0,132.0,515.0,0.21227932472208066,0.03660622100264424,True,647,2,0.01765120094510873,0.9823487990548911,2.220446049250313e-16,1e-09,0,0,,True,threshold,0.3480149514275374,,balanced_accuracy,0.8595830525146178,0.8405253283302064,0.8786407766990292,0.8595830525146178,200.0,2593.0,0.6810506566604128,0.9611650485436893,0.821107852602051,0.15947467166979368,optimized,balanced_accuracy,232.0,3.0,2593.0,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,232.0,182.0,0.8643850525510482,0.8595830525146178,0.008423,1.0,0.008423,"[0.65, 0.0, 0.35]"
M8,binary,r0f0,2593,647,138,5.8438,0.0239,0.6415,0.8670788253477589,0.8376287143277434,0.7878787878787878,0.887378640776699,0.6419753086419753,0.7074829931972789,0.6281040217578785,0.9282141806413651,0.761738820022377,104.0,58.0,457.0,28.0,647.0,132.0,515.0,0.22175341595236048,0.09428082910903271,True,647,2,6.5371505115763284e-06,0.9999934434890747,2.9802322387695312e-08,1.9073486328125e-06,0,0,True,True,argmax,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
