implementation,estimator,class_weight_route,fit_seconds,fit_seconds_unweighted,weighting_cost_x,balanced_accuracy,sensitivity,specificity,roc_auc,brier,model_mb,hist_speedup_weighted,hist_speedup_unweighted,balanced_accuracy_delta_hist_minus_classic
classic,GradientBoostingClassifier,sample_weight wrapper,25.3433,25.5317,0.99,0.8094,0.7955,0.8233,0.9076,0.2498,0.2605,1.22,24.17,0.0221
hist,HistGradientBoostingClassifier,native class_weight,20.83,1.0563,19.72,0.8315,0.8106,0.8524,0.9174,0.2227,0.4758,1.22,24.17,0.0221
