model_id,kind,family,total_importance,positive_importance,mean_importance,max_importance,n_negative,n_features,share_of_positive,net_is_negative
M4,impurity,dwt,0.296422758880431,0.296422758880431,0.012350948286684626,0.05953214018666161,0,24,0.29642275888043107,False
M4,impurity,mfcc,0.2703248123615838,0.2703248123615838,0.006931405445168815,0.060856126553966286,0,39,0.27032481236158384,False
M4,impurity,time,0.20879669894219843,0.20879669894219843,0.008699862455924934,0.06646062669788995,0,24,0.20879669894219846,False
M4,impurity,frequency,0.10925390065614238,0.10925390065614238,0.004966086393461017,0.012395675910661416,0,22,0.10925390065614239,False
M4,impurity,chroma,0.0920374211183523,0.0920374211183523,0.0038348925465980124,0.009646934087735292,0,24,0.09203742111835231,False
M4,impurity,envelope,0.023164408041291974,0.023164408041291974,0.004632881608258395,0.00802478924005196,0,5,0.023164408041291978,False
M4,permutation,dwt,0.031587967049131215,0.040637687555162706,0.0013161652937138007,0.013270079435127946,7,24,0.25881112984823,False
M4,permutation,time,0.005474404236539343,0.0428074433656954,0.00022810017652247263,0.03471609296852011,13,24,0.27262975454375327,False
M4,permutation,frequency,0.004718299499851921,0.023489261547513483,0.00021446815908417822,0.004876434245366212,11,22,0.14959715195802825,False
M4,permutation,mfcc,0.0035547219770505445,0.041136363636362805,9.114671736027037e-05,0.017454398352456556,20,39,0.2619870713884196,False
M4,permutation,envelope,-0.0031943218593705747,0.0007480141218004999,-0.0006388643718741149,0.0007480141218004999,4,5,0.004763912310286569,True
M4,permutation,chroma,-0.01679096793174557,0.008197999411591318,-0.000699623663822732,0.0037878787878786735,12,24,0.05221097995128229,True
