run,task,model_id,n_bins,n_folds,n_records_total,brier_mean,brier_sd,ece_mean,ece_sd,mean_confidence_mean,argmax_accuracy_mean,confidence_gap_mean,confidence_gap_sd
EXP-A1,binary,M1,10,25,16200,0.22470480513485033,0.04027640000138679,0.06068840028214269,0.023643803384649203,0.8996858732303589,0.8399528099206428,0.05973306330971605,0.024758410194891955
EXP-A1,binary,M3,10,25,16200,0.18305086728410364,0.02551805546534588,0.05730727207214447,0.01999498442236406,0.8263595178362168,0.8768856610276579,-0.05052614319144119,0.025550890141392675
EXP-A1,binary,M4,10,25,16200,0.16865204607623752,0.028437357590377726,0.06600971978730871,0.02079911002599017,0.8353714038328665,0.8978274239459105,-0.062456020113044027,0.024482255567887228
EXP-A1,binary,M5,10,25,16200,0.17437842948036955,0.03808523274368473,0.03380721349680265,0.019334922084439744,0.903845539764646,0.8803812904490006,0.023464249315645457,0.023241697661961762
EXP-A1,binary,M6,10,25,16200,0.1685833557042958,0.024503612324366545,0.07726626137827351,0.025298992365170192,0.822036942008385,0.897500405624832,-0.07546346361644708,0.02712805619501944
EXP-A1,binary,M8,10,25,16200,0.16617452090134852,0.03489789945823506,0.06055405837450446,0.017257276248466083,0.9522424638082095,0.8964713031776675,0.05577116063054202,0.01863002375123521
EXP-A2,binary,M1,10,25,16200,0.2295338483773963,0.04571397602009447,0.05083655108658282,0.023901038789939558,0.8814509209903126,0.8362042167620645,0.045246704228248016,0.029870313210894228
EXP-A2,binary,M3,10,25,16200,0.18484380635102113,0.023747592373362967,0.05327379954507647,0.021528437376450764,0.831028538385762,0.8780096585505962,-0.04698112016483427,0.028582169045464248
EXP-A2,binary,M4,10,25,16200,0.18903174044812976,0.03516576156033034,0.04932035085448952,0.013709512805416183,0.8350253890893065,0.871885023670048,-0.03685963458074165,0.027412641809385976
EXP-A2,binary,M5,10,25,16200,0.1962967654204526,0.05696214409220647,0.06117432319342893,0.05974864546264271,0.8462704731917745,0.8672979641393492,-0.021027490947574674,0.07493240520158817
EXP-A2,binary,M6,10,25,16200,0.1681414484365483,0.024283104578998318,0.07339964338840421,0.026491167323611297,0.8288314487688653,0.8983028448762389,-0.06947139610737367,0.03093157841760968
EXP-A2,binary,M7,10,25,16200,0.16810544698922125,0.02421865494825142,0.07327930671574456,0.026699693476948765,0.8287503690949113,0.8984264924805666,-0.06967612338565525,0.030603438045078084
EXP-A2,binary,M8,10,25,16200,0.20299937863330406,0.057871857147816536,0.0711806948550666,0.066900723266407,0.8311650384680866,0.8638177500271753,-0.03265271155908853,0.08827169719526719
