search,label,family,objective,model_id,step,best_so_far
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M3,31,0.801297
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M3,32,0.801297
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M3,33,0.801297
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M3,34,0.801297
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M3,35,0.801297
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M3,36,0.801297
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M3,37,0.801297
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M3,38,0.801297
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M3,39,0.801297
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M3,40,0.801297
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,1,0.831377
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,2,0.844747
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,3,0.844747
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,4,0.844747
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,5,0.844747
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,6,0.844747
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,7,0.844747
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,8,0.844747
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,9,0.844747
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,10,0.844747
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,11,0.844747
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,12,0.845374
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,13,0.845374
