model_id,task,configuration,n_features,fit_seconds,run_fit_seconds_mean,run_fit_seconds_spread,single_predict_seconds,batch_predict_seconds_per_record,model_mb,peak_rss_delta_mb,pipeline_seconds_per_recording,balanced_accuracy,sensitivity
M1,binary,configs/models.yaml defaults,138,0.4877674000017578,2.96848376,320.0369122239446,0.0014054666656496,6.833230291469486e-06,0.007153,12.878,2.343035425,0.8468043977525703,0.864823389162735
M2,binary,configs/models.yaml defaults,138,0.0927884999982779,,,0.0062446666658312,0.0031801425038638,2.889406,14.34,2.343035425,,
M3,binary,configs/models.yaml defaults,138,1.1148688000030234,1.39509164,2.2828440095800984,0.0076712999992499,0.0004868625966044,2.214025,15.606,2.343035425,0.7997979696844384,0.6671634033396946
M4,binary,configs/models.yaml defaults,138,14.503228699999454,12.99612192,23.197867856155366,0.1771607333333425,0.0003489675425059,12.471058,24.601,2.343035425,0.8523598911722675,0.8193179675801402
M5,binary,configs/models.yaml defaults,138,28.772615900001256,99.18041424,15.879474973227685,0.001407533333501,1.3191035545288572e-05,0.273177,15.11,2.343035425,0.8471607213499192,0.8130747740507671
M6,binary,configs/models.yaml defaults,138,228.4642775000029,545.13670376,9.409361666948147,0.1829141000004407,0.0008961616692348,15.561636,111.489,2.343035425,0.8558631699470313,0.8615469513693752
M7,binary,configs/models.yaml defaults,138,257.22887510000146,534.5805253999999,10.456202672606713,0.1692589666684701,0.0008593715610464,15.561896,120.279,2.343035425,0.8555880661827884,0.8615380387134037
M8,binary,configs/models.yaml defaults,138,6.626751000003424,12.936738200000002,42.260458686161904,0.0038353666653468,1.9225502314536875e-05,0.672657,51.175,2.343035425,0.8482519737790062,0.8218651609921876
