configuration,macro_f1_mean,balanced_accuracy_mean,sensitivity_mean,specificity_mean,macro_f1_se,balanced_accuracy_se,sensitivity_se,specificity_se,n_features,n_folds
all_features,0.8350596588745495,0.8338959984711327,0.7338344974096678,0.9339574995325977,0.015965311522346464,0.019269936880311873,0.04715716504007499,0.019483444418696587,138.0,5
rf_threshold_mean,0.8260775116799518,0.8345584931411153,0.7502804919566046,0.9188364943256261,0.01274762627007835,0.01875529745730966,0.04758456719400053,0.017441316937237803,34.0,5
gb_threshold_median,0.8330570917705149,0.8353501041921636,0.7413780895690731,0.9293221188152538,0.014476521054704324,0.01938343971016403,0.04724758880425806,0.01767225520777883,69.0,5
rfecv,0.8288785106057837,0.8372236947297914,0.7548802649401095,0.9195671245194734,0.010978168493873121,0.014925776820325332,0.04185710888200491,0.01811854957532446,62.0,5
selected_subset,0.8342829388781405,0.8425691616091031,0.763964155526334,0.9211741676918723,0.014359174035867344,0.0157184397221984,0.03745174889217934,0.018045814567587852,20.0,5
gb_threshold_mean,0.8335004415140748,0.8427375203775229,0.7654576719022695,0.9200173688527764,0.012125644896693573,0.015080893527705665,0.039189130633090555,0.017718233406763678,18.8,5
rf_threshold_median,0.8422351154954082,0.8463832716281727,0.7622906478966902,0.9304758953596555,0.014421666564678838,0.01796857906738192,0.043863709338106106,0.017778019707180605,69.0,5
