stage_order,stage,comparison,source_run,model_id,n_folds,sensitivity,sensitivity_sd,sensitivity_incremental,sensitivity_cumulative,specificity,specificity_sd,specificity_incremental,specificity_cumulative,f1,f1_sd,f1_incremental,f1_cumulative,balanced_accuracy,balanced_accuracy_sd,balanced_accuracy_incremental,balanced_accuracy_cumulative,roc_auc,roc_auc_sd,roc_auc_incremental,roc_auc_cumulative,accuracy,accuracy_sd,accuracy_incremental,accuracy_cumulative
1,default_single,"Best individual model, default parameters",EXP-A1,M1,25,0.8479933187885698,0.039651751739522886,,0.0,0.8378530531876638,0.036437864841969474,,0.0,0.6867562609818505,0.042513708411701046,,0.0,0.8429231859881168,0.026269482333133316,,0.0,0.9221754145146952,0.019219626715802365,,0.0,0.8399528099206428,0.029711112128121765,,0.0
2,default_ensemble,"Equal-weight ensemble, default parameters",EXP-A1,M6,25,0.8790705821614024,0.061241829532217164,0.031077263372832547,0.031077263372832547,0.8384425376679471,0.04791851275770815,0.0005894844802834065,0.0005894844802834065,0.7044382221713745,0.04395562766884186,0.01768196118952397,0.01768196118952397,0.8587565599146746,0.02545854494291062,0.015833373926557977,0.015833373926557977,0.9395334531543368,0.021954085056345145,0.017358038639641714,0.017358038639641714,0.8467898757895366,0.03233741698433885,0.006837065868893912,0.006837065868893912
3,tuned_single,"Best individual model, tuned parameters",EXP-A2,M1,25,0.8648233891627352,0.04460494653301462,-0.014247192998667134,0.016830070374165413,0.8287854063424053,0.045804135121286144,-0.009657131325541753,-0.009067646845258346,0.6867062637528286,0.044061779338271205,-0.017731958418545912,-4.9997229021943035e-05,0.8468043977525701,0.02608848930923994,-0.01195216216210444,0.003881211764453538,0.9212095305753734,0.02090814117346548,-0.018323922578963682,-0.0009658839393219676,0.8362042167620645,0.03445161852465311,-0.010585659027472345,-0.0037485931585784327
4,tuned_ensemble_equal,"Equal-weight ensemble, tuned members",EXP-A2,M6,25,0.8615469513693752,0.06697610760032198,-0.0032764377933598475,0.013553632580805566,0.8501793885246874,0.053052109708163035,0.021393982182282004,0.012326335337023658,0.7087492616292356,0.04371567021026626,0.022042997876406907,0.021993000647384964,0.8558631699470313,0.025101376345751197,0.009058772194461082,0.01293998395891462,0.938400689122729,0.022165881599136576,0.017191158547355756,0.016225274608033788,0.8525353146262159,0.03448544619375559,0.016331097864151656,0.012582504705573223
5,tuned_ensemble_optimized,"Optimized-weight ensemble, tuned members",EXP-A2,M7,25,0.8615380387134037,0.06695949198682881,-8.912655971480277e-06,0.013544719924834086,0.849638093652173,0.0533866731917882,-0.0005412948725143574,0.0117850404645093,0.7081994698811109,0.044243817487458134,-0.0005497917481245774,0.021443208899260387,0.8555880661827883,0.025321049299100187,-0.000275103764242921,0.012664880194671699,0.9383495147018667,0.022232583950469363,-5.117442086243429e-05,0.016174100187171355,0.8521048133106904,0.03483387971200699,-0.0004305013155255599,0.012152003390047662
