run,model_id,rule,balanced_accuracy_recording,balanced_accuracy_patient,balanced_accuracy_delta,sensitivity_recording,sensitivity_patient,sensitivity_delta,specificity_recording,specificity_patient,specificity_delta,macro_f1_recording,macro_f1_patient,macro_f1_delta
EXP-C1-three_class,M3,max,0.4165377939720351,0.4645655521914514,0.0480277582194162,,,,,,,0.4248288419357172,0.4719929525219979,0.0471641105862806
EXP-C1-three_class,M4,max,0.5471122132238818,0.4735077523566732,-0.0736044608672086,,,,,,,0.5338709573937482,0.4416002950395613,-0.0922706623541869
EXP-C1-three_class,M5,max,0.5454591693542292,0.4679172299785374,-0.0775419393756917,,,,,,,0.522322656650819,0.435376711322139,-0.0869459453286799
EXP-C1-three_class,M6,max,0.4182155139817198,0.4555719252028291,0.0373564112211092,,,,,,,0.4268733845834679,0.4630349460797164,0.0361615614962485
EXP-C1-three_class,M7,max,0.4615926756793295,0.4671299665544269,0.0055372908750974,,,,,,,0.4714534513687934,0.4598582908717192,-0.0115951604970742
EXP-C1-three_class,M3,mean,0.4165377939720351,0.3849798616705092,-0.0315579323015259,,,,,,,0.4248288419357172,0.3771828067903492,-0.047646035145368
EXP-C1-three_class,M4,mean,0.5471122132238818,0.4459854939617217,-0.1011267192621601,,,,,,,0.5338709573937482,0.4517869328587972,-0.082084024534951
EXP-C1-three_class,M5,mean,0.5454591693542292,0.4606114680747148,-0.0848477012795144,,,,,,,0.522322656650819,0.4682201374907325,-0.0541025191600865
EXP-C1-three_class,M6,mean,0.4182155139817198,0.404880893226217,-0.0133346207555028,,,,,,,0.4268733845834679,0.4043331860944943,-0.0225401984889735
EXP-C1-three_class,M7,mean,0.4615926756793295,0.4198298915565103,-0.0417627841228191,,,,,,,0.4714534513687934,0.4203741550640513,-0.0510792963047421
EXP-C1-three_class,M3,any_present,0.4165377939720351,0.4704226139540496,0.0538848199820145,,,,,,,0.4248288419357172,0.4707396084143163,0.045910766478599
EXP-C1-three_class,M4,any_present,0.5471122132238818,0.4796400328117562,-0.0674721804121255,,,,,,,0.5338709573937482,0.4327125632207689,-0.1011583941729792
EXP-C1-three_class,M5,any_present,0.5454591693542292,0.4717549856930526,-0.0737041836611766,,,,,,,0.522322656650819,0.4229947745374069,-0.099327882113412
EXP-C1-three_class,M6,any_present,0.4182155139817198,0.4587155966011143,0.0405000826193944,,,,,,,0.4268733845834679,0.4622881069021277,0.0354147223186598
EXP-C1-three_class,M7,any_present,0.4615926756793295,0.4756643202029501,0.0140716445236206,,,,,,,0.4714534513687934,0.4605904542769206,-0.0108629970918728
EXP-C1-two_class,M3,max,0.6192342570617901,0.7020879720598208,0.0828537149980306,0.2485051140833989,0.4372286572286573,0.1887235431452583,0.9899634000401812,0.966947286890984,-0.0230161131491971,,,
EXP-C1-two_class,M4,max,0.6746633642130911,0.7140567988785067,0.0393934346654155,0.4304746918436926,0.6382410982410982,0.2077664063974055,0.9188520365824896,0.7898724995159152,-0.1289795370665744,,,
EXP-C1-two_class,M5,max,0.670554180168948,0.6955696956619697,0.0250155154930217,0.4222659323367427,0.6041226941226941,0.1818567617859514,0.918842428001153,0.7870166972012452,-0.1318257307999077,,,
EXP-C1-two_class,M6,max,0.696247414868841,0.7208303942711198,0.0245829794022788,0.5472593758195646,0.4934191334191334,-0.0538402424004311,0.8452354539181174,0.9482416551231064,0.1030062012049891,,,
EXP-C1-two_class,M7,max,0.696247414868841,0.7208303942711198,0.0245829794022788,0.5472593758195646,0.4934191334191334,-0.0538402424004311,0.8452354539181174,0.9482416551231064,0.1030062012049891,,,
EXP-C1-two_class,M3,mean,0.6192342570617901,0.5894590582360368,-0.0297751988257533,0.2485051140833989,0.1846632346632346,-0.0638418794201642,0.9899634000401812,0.9942548818088388,0.0042914817686574,,,
EXP-C1-two_class,M4,mean,0.6746633642130911,0.6910581375423414,0.0163947733292502,0.4304746918436926,0.4253238953238953,-0.0051507965197973,0.9188520365824896,0.9567923797607876,0.037940343178298,,,
EXP-C1-two_class,M5,mean,0.670554180168948,0.6988566937284485,0.0283025135595005,0.4222659323367427,0.4365937365937366,0.0143278042569939,0.918842428001153,0.9611196508631604,0.0422772228620074,,,
EXP-C1-two_class,M6,mean,0.696247414868841,0.6343046180815965,-0.0619427967872444,0.5472593758195646,0.2743543543543544,-0.2729050214652102,0.8452354539181174,0.9942548818088388,0.1490194278907213,,,
