exp_id,model_id,task,cv,n_folds,n_train_mean,n_train_sd,n_train_n,n_test_mean,n_test_sd,n_test_n,n_features_mean,n_features_sd,n_features_n,accuracy_mean,accuracy_sd,accuracy_n,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_n,macro_f1_mean,macro_f1_sd,macro_f1_n,weighted_f1_mean,weighted_f1_sd,weighted_f1_n,macro_precision_mean,macro_precision_sd,macro_precision_n,macro_recall_mean,macro_recall_sd,macro_recall_n,support_mean,support_sd,support_n,n_classes_mean,n_classes_sd,n_classes_n,ovr_auc_macro_mean,ovr_auc_macro_sd,ovr_auc_macro_n,precision_normal_mean,precision_normal_sd,precision_normal_n,recall_normal_mean,recall_normal_sd,recall_normal_n,f1_normal_mean,f1_normal_sd,f1_normal_n,support_normal_mean,support_normal_sd,support_normal_n,precision_murmur_mean,precision_murmur_sd,precision_murmur_n,recall_murmur_mean,recall_murmur_sd,recall_murmur_n,f1_murmur_mean,f1_murmur_sd,f1_murmur_n,support_murmur_mean,support_murmur_sd,support_murmur_n,precision_extrahls_mean,precision_extrahls_sd,precision_extrahls_n,recall_extrahls_mean,recall_extrahls_sd,recall_extrahls_n,f1_extrahls_mean,f1_extrahls_sd,f1_extrahls_n,support_extrahls_mean,support_extrahls_sd,support_extrahls_n,precision_artifact_mean,precision_artifact_sd,precision_artifact_n,recall_artifact_mean,recall_artifact_sd,recall_artifact_n,f1_artifact_mean,f1_artifact_sd,f1_artifact_n,support_artifact_mean,support_artifact_sd,support_artifact_n,brier_mean,brier_sd,brier_n,ece_mean,ece_sd,ece_n,fit_seconds_mean,fit_seconds_sd,fit_seconds_n,predict_seconds_mean,predict_seconds_sd,predict_seconds_n
EXP-B1,M1,pascal_a,repeated_5x2_stratified,10,62.0,0.0,10,62.0,0.0,10,138.0,0.0,10,0.6919354838709677,0.04331211626047921,10,0.6576919934640523,0.04933925470281041,10,0.6533016375734051,0.04301380754826654,10,0.6942447201252296,0.0411320465808067,10,0.6682818987932395,0.04076771660787799,10,0.6576919934640523,0.04933925470281041,10,62.0,0.0,10,4.0,0.0,10,0.8751379659592015,0.021375649655445143,10,0.4731113609771572,0.0961944033517776,10,0.4908333333333334,0.11245369417379462,10,0.47109586867941955,0.07471625949230401,10,15.5,0.5270462766947299,10,0.7817165600137737,0.06685094158464454,10,0.7588235294117647,0.1253982506299567,10,0.7622159957945892,0.06203257876447899,10,17.0,0.0,10,0.45514374514374517,0.05427398537779431,10,0.49111111111111116,0.1949851388941597,10,0.4562675759408972,0.09347552468946416,10,9.5,0.5270462766947299,10,0.963155929038282,0.04399834509157107,10,0.8899999999999999,0.07378647873726216,10,0.9236271098787145,0.049332750509848776,10,20.0,0.0,10,0.4658578918292517,0.06468903058140892,10,0.1795391980834107,0.045737944697857726,10,0.0447728,0.006967384856123087,10,0.0031758000000000003,0.0006464767418691703,10
EXP-B1,M3,pascal_a,repeated_5x2_stratified,10,62.0,0.0,10,62.0,0.0,10,138.0,0.0,10,0.6580645161290324,0.037092878087441605,10,0.6197324346405229,0.05717732635665922,10,0.5890371806534108,0.05236886650507743,10,0.6354128688871279,0.037750265797309765,10,0.6098916631529954,0.09216548142939734,10,0.6197324346405229,0.05717732635665922,10,62.0,0.0,10,4.0,0.0,10,0.8690120726951965,0.017871208746049937,10,0.5357600440495177,0.22797710157622383,10,0.29125,0.1125848445494429,10,0.3413942336909089,0.09825302152230297,10,15.5,0.5270462766947299,10,0.7700430610840827,0.05568910567097125,10,0.788235294117647,0.07940571267182973,10,0.7759262655517525,0.045603398626792434,10,17.0,0.0,10,0.29644301776654713,0.16428281945457984,10,0.47444444444444445,0.2841032869232659,10,0.36173095503530284,0.20288192992135845,10,9.5,0.5270462766947299,10,0.8373205297118341,0.06447960735417674,10,0.925,0.06346477588219922,10,0.877097268335679,0.04905996692964306,10,20.0,0.0,10,0.459781511275468,0.016900378258401596,10,0.17272574065111362,0.041904782002361654,10,0.08407039999999999,0.024462776399165234,10,0.0243853,0.0065555746599533305,10
EXP-B1,M4,pascal_a,repeated_5x2_stratified,10,62.0,0.0,10,62.0,0.0,10,138.0,0.0,10,0.6790322580645162,0.04397441945522265,10,0.6481985294117647,0.06354378964995054,10,0.6313785130495969,0.052687018274733696,10,0.6726368141065577,0.042396643128715814,10,0.6420051430123024,0.05094082699005156,10,0.6481985294117647,0.06354378964995054,10,62.0,0.0,10,4.0,0.0,10,0.8865532561119789,0.019516537335878638,10,0.42355318443166745,0.10011536419730463,10,0.3491666666666666,0.14330210684829617,10,0.36296991884468166,0.1093827252390009,10,15.5,0.5270462766947299,10,0.7654161610663158,0.04664674019484648,10,0.7352941176470588,0.108287853109679,10,0.7453300594284901,0.059528212113792334,10,17.0,0.0,10,0.42746392496392493,0.12031355475716776,10,0.5633333333333334,0.26439619852456026,10,0.4697041170442705,0.14901523954100246,10,9.5,0.5270462766947299,10,0.9515873015873015,0.044965763410207284,10,0.945,0.03689323936863109,10,0.9475099568809455,0.03012721700320198,10,20.0,0.0,10,0.3891207741935484,0.027444025629205726,10,0.1080483870967742,0.030758501029694393,10,1.5934952,0.13319004945799146,10,0.3005558,0.06042348748587386,10
EXP-B1,M5,pascal_a,repeated_5x2_stratified,10,62.0,0.0,10,62.0,0.0,10,138.0,0.0,10,0.6435483870967743,0.06290552334743549,10,0.6009150326797386,0.07859417781528309,10,0.5903961161773192,0.0766199673350787,10,0.6340428331619234,0.06448315615923891,10,0.5999527565863042,0.07295230330494967,10,0.6009150326797386,0.07859417781528309,10,62.0,0.0,10,4.0,0.0,10,0.8312309835053853,0.028565533306656666,10,0.3741390240306649,0.11186848943963108,10,0.35500000000000004,0.14721960165382567,10,0.35357547828515573,0.12686830813043715,10,15.5,0.5270462766947299,10,0.7233506493506494,0.10475682745021661,10,0.7058823529411764,0.13864838846795047,10,0.7073600319776626,0.09551606146786316,10,17.0,0.0,10,0.4160087719298245,0.15452175519727504,10,0.4177777777777778,0.23820315014865093,10,0.39785714285714285,0.17825992998594253,10,9.5,0.5270462766947299,10,0.8863125810340777,0.05974265964870512,10,0.925,0.054006172486732146,10,0.902791811589316,0.0317664699326143,10,20.0,0.0,10,0.656730312936457,0.09137260555036229,10,0.3213345224814621,0.03977435657955319,10,2.0696423,0.1269106145416704,10,0.007546300000000001,0.001311996193253285,10
EXP-B1,M6,pascal_a,repeated_5x2_stratified,10,62.0,0.0,10,62.0,0.0,10,138.0,0.0,10,0.682258064516129,0.03230283631354798,10,0.6390482026143791,0.05130555231320812,10,0.6242959309111095,0.041810032465764486,10,0.671784415158504,0.03295292389602899,10,0.6367227291374216,0.050211123310686036,10,0.6390482026143791,0.05130555231320812,10,62.0,0.0,10,4.0,0.0,10,0.8870964855982028,0.012567121277392157,10,0.4414468211527035,0.103320788684365,10,0.38249999999999995,0.1141223893593471,10,0.3973964685255008,0.08364063557917792,10,15.5,0.5270462766947299,10,0.7693852277753206,0.06546899089022136,10,0.776470588235294,0.08225951750354127,10,0.7686805009635158,0.04239967859138127,10,17.0,0.0,10,0.41562091503267967,0.12326886622123784,10,0.4422222222222222,0.26742689987435075,10,0.3944490839753464,0.14379851150166928,10,9.5,0.5270462766947299,10,0.9204379525889823,0.04764292763132972,10,0.9549999999999998,0.028382310609877337,10,0.9366576701800751,0.0282049741679464,10,20.0,0.0,10,0.42532442298079065,0.013445890704082168,10,0.1546350216695761,0.03264619863659937,10,6.3295138,0.7897965454506201,10,0.3168792,0.05778738544930603,10
EXP-B1,M7,pascal_a,repeated_5x2_stratified,10,62.0,0.0,10,62.0,0.0,10,138.0,0.0,10,0.6741935483870969,0.031164251067074076,10,0.6348018790849672,0.0531319700668468,10,0.6143434614198163,0.04004009558183564,10,0.6601801945804013,0.027877972715955126,10,0.6210860719779315,0.04437456579816301,10,0.6348018790849672,0.0531319700668468,10,62.0,0.0,10,4.0,0.0,10,0.8810348431401345,0.013262834766448958,10,0.4241885964912281,0.07250902299307219,10,0.32375000000000004,0.10480452851633303,10,0.35318481897609033,0.0647135371093001,10,15.5,0.5270462766947299,10,0.7604266132903904,0.048728956107659385,10,0.788235294117647,0.10811018629090367,10,0.7695055736851403,0.05834600622233518,10,17.0,0.0,10,0.38842532467532465,0.11001533534671568,10,0.4822222222222222,0.287136183593551,10,0.4076773507822101,0.16048959686896008,10,9.5,0.5270462766947299,10,0.9113037534547832,0.052680220851111445,10,0.945,0.02838231060987732,10,0.9270061022358244,0.0310936806379984,10,20.0,0.0,10,0.4239746000572116,0.028423362670605735,10,0.1375928914483499,0.037438474165275654,10,23.389822000000002,2.0870174970346778,10,0.31639350000000005,0.03136922302459318,10
