exp_id,model_id,task,repeat,fold,fold_label,n_train,n_test,n_features,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,support,n_classes,ovr_auc_macro,precision_normal,recall_normal,f1_normal,support_normal,precision_murmur,recall_murmur,f1_murmur,support_murmur,precision_extrahls,recall_extrahls,f1_extrahls,support_extrahls,precision_artifact,recall_artifact,f1_artifact,support_artifact,brier,ece,fit_seconds,predict_seconds,params,note
EXP-B1,M1,pascal_a,0,0,r0f0,62,62,138,0.7419354838709677,0.6955882352941176,0.6969115497076024,0.7418706376155443,0.7047213622291022,0.6955882352941176,62.0,4.0,0.9040769635732089,0.5294117647058824,0.6,0.5625,15.0,0.7894736842105263,0.8823529411764706,0.8333333333333334,17.0,0.5,0.4,0.4444444444444444,10.0,1.0,0.9,0.9473684210526315,20.0,0.37320739849372137,0.13194675287400348,0.052838,0.00411,{},config defaults
EXP-B1,M1,pascal_a,0,1,r0f1,62,62,138,0.7419354838709677,0.7212622549019607,0.7125733137829913,0.7477532872954309,0.7171703296703296,0.7212622549019607,62.0,4.0,0.8961245195029065,0.6,0.5625,0.5806451612903226,16.0,0.8571428571428571,0.7058823529411765,0.7741935483870968,17.0,0.46153846153846156,0.6666666666666666,0.5454545454545454,9.0,0.95,0.95,0.95,20.0,0.42481567448313523,0.11051425839545256,0.054092,0.002606,{},config defaults
EXP-B1,M1,pascal_a,1,0,r1f0,62,62,138,0.7419354838709677,0.7238357843137255,0.7105900819149459,0.7374447979974589,0.7070901320901322,0.7238357843137255,62.0,4.0,0.8947413537810529,0.5384615384615384,0.4375,0.4827586206896552,16.0,0.8,0.9411764705882353,0.8648648648648649,17.0,0.5454545454545454,0.6666666666666666,0.6,9.0,0.9444444444444444,0.85,0.8947368421052632,20.0,0.41819437315600916,0.17720409846060658,0.036432,0.003796,{},config defaults
EXP-B1,M1,pascal_a,1,1,r1f1,62,62,138,0.6774193548387096,0.6345588235294117,0.6455357004358819,0.6896939519444056,0.6811594202898551,0.6345588235294117,62.0,4.0,0.875038987226096,0.391304347826087,0.6,0.47368421052631576,15.0,0.8333333333333334,0.5882352941176471,0.6896551724137931,17.0,0.5,0.4,0.4444444444444444,10.0,1.0,0.95,0.9743589743589743,20.0,0.4385602353991252,0.18507508794960445,0.042691,0.003924,{},config defaults
EXP-B1,M1,pascal_a,2,0,r2f0,62,62,138,0.7096774193548387,0.6433823529411764,0.6366092778574844,0.6958778790823962,0.6504938817632315,0.6433823529411764,62.0,4.0,0.8704258299064307,0.47368421052631576,0.6,0.5294117647058824,15.0,0.8235294117647058,0.8235294117647058,0.8235294117647058,17.0,0.4,0.2,0.26666666666666666,10.0,0.9047619047619048,0.95,0.926829268292683,20.0,0.4495242068368817,0.15896735736542153,0.039725,0.003792,{},config defaults
EXP-B1,M1,pascal_a,2,1,r2f1,62,62,138,0.6290322580645161,0.597875816993464,0.6104714912280702,0.6484212884361441,0.6353535353535353,0.597875816993464,62.0,4.0,0.8498117243205732,0.36363636363636365,0.5,0.42105263157894735,16.0,0.7333333333333333,0.6470588235294118,0.6875,17.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,9.0,1.0,0.8,0.8888888888888888,20.0,0.5449177282031463,0.25787670411227026,0.047942,0.002741,{},config defaults
EXP-B1,M1,pascal_a,3,0,r3f0,62,62,138,0.6290322580645161,0.591421568627451,0.5842961092961093,0.623391647585196,0.5871966269025093,0.591421568627451,62.0,4.0,0.8434258768974039,0.38461538461538464,0.3333333333333333,0.35714285714285715,15.0,0.6818181818181818,0.8823529411764706,0.7692307692307693,17.0,0.4,0.4,0.4,10.0,0.8823529411764706,0.75,0.8108108108108109,20.0,0.587088780226453,0.2316542412353953,0.033214,0.002699,{},config defaults
EXP-B1,M1,pascal_a,3,1,r3f1,62,62,138,0.6935483870967742,0.6996119281045752,0.657017055988135,0.6886564522109392,0.6901785714285713,0.6996119281045752,62.0,4.0,0.8581206007491866,0.625,0.3125,0.4166666666666667,16.0,0.7857142857142857,0.6470588235294118,0.7096774193548387,17.0,0.4,0.8888888888888888,0.5517241379310345,9.0,0.95,0.95,0.95,20.0,0.5060604399246768,0.18113357493568844,0.046215,0.00256,{},config defaults
EXP-B1,M1,pascal_a,4,0,r4f0,62,62,138,0.6612903225806451,0.6183823529411765,0.6218255607050174,0.6637998423419311,0.6354166666666666,0.6183823529411765,62.0,4.0,0.864847055843614,0.375,0.4,0.3870967741935484,15.0,0.6666666666666666,0.8235294117647058,0.7368421052631579,17.0,0.5,0.4,0.4444444444444444,10.0,1.0,0.85,0.918918918918919,20.0,0.48480571449053145,0.21573554280451368,0.0436,0.002534,{},config defaults
EXP-B1,M1,pascal_a,4,1,r4f1,62,62,138,0.6935483870967742,0.651000816993464,0.6571862348178138,0.7055374167428496,0.6740384615384616,0.651000816993464,62.0,4.0,0.8947667477915421,0.45,0.5625,0.5,16.0,0.8461538461538461,0.6470588235294118,0.7333333333333333,17.0,0.4,0.4444444444444444,0.42105263157894735,9.0,1.0,0.95,0.9743589743589743,20.0,0.43140436707883745,0.14528436270115047,0.050979,0.002996,{},config defaults
