task,model_id,kind,fold_label,family,n_features,total_importance,positive_importance,mean_importance,max_importance,n_negative,share_of_positive,net_is_negative
binary,M8,permutation,r0f0,envelope,5,0.026429096793174466,0.026429096793174466,0.005285819358634893,0.009071785819358635,0,0.04428300305629501,False
binary,M8,permutation,r0f0,frequency,22,0.0822462488967343,0.09142468373050894,0.0037384658589424686,0.01522947925860546,4,0.15318569456768216,False
binary,M8,permutation,r0f0,mfcc,39,0.1653839364518976,0.17560017652250653,0.004240613755176862,0.05674168873198001,8,0.2942250813368826,False
binary,M8,permutation,r0f0,time,24,0.07912180052956752,0.08972639011473964,0.00329674168873198,0.023506913798175922,4,0.15034013605442187,False
binary,M1,permutation,r0f1,chroma,24,-0.09525318282860504,0.04397572100811191,-0.003968882617858543,0.01827059095239464,17,0.039027186636306076,True
binary,M1,permutation,r0f1,dwt,24,0.21601662865556032,0.3062458500534074,0.009000692860648347,0.13717413897629835,12,0.27178437721177656,False
binary,M1,permutation,r0f1,envelope,5,0.03320173792545947,0.04992710528594926,0.006640347585091894,0.03873524062472929,3,0.04430886888348722,False
binary,M1,permutation,r0f1,frequency,22,0.04621091832904994,0.13565128900949752,0.0021004962876840882,0.04805421634573739,14,0.1203866145287894,False
binary,M1,permutation,r0f1,mfcc,39,-0.02926758855625385,0.13755449060307692,-0.0007504509886218936,0.07382935419613725,27,0.12207565116301393,True
binary,M1,permutation,r0f1,time,24,0.3833727878980329,0.45344265134674744,0.015973866162418037,0.19084124830393479,10,0.40241730157662686,False
binary,M3,permutation,r0f1,chroma,24,0.06799200323335115,0.07291203556684785,0.0028330001347229646,0.00802924449320135,4,0.16420552347174838,False
