task,model_id,kind,feature,importance_mean,importance_sd,importance_min,importance_max,rank_mean,rank_sd,rank_best,rank_worst,n_folds,n_folds_positive,rank
binary,M1,permutation,mfcc_13_delta_mean,0.0002048228939405461,0.0017796930294180192,-0.0012161147839141128,0.003312003530450158,78.0,26.89795531262553,54,118,5,1,71
binary,M1,permutation,time_crest_factor,0.00013323524025025125,0.0027034108368982003,-0.003483068217904739,0.003240182729937602,74.2,20.632498636859278,43,101,5,3,72
binary,M1,permutation,mfcc_13_mean,0.00010947516548660344,0.005609924901260712,-0.005183981393129844,0.008729521003526631,80.8,23.763417262675,42,107,5,2,73
binary,M1,permutation,mfcc_12_std,-5.818660921583351e-05,0.0027846612422090847,-0.003549916507633677,0.00424757823311459,81.6,18.063775906493085,59,104,5,1,74
binary,M1,permutation,freq_peak_power,-0.00011012748821747739,0.0015773926593233745,-0.0016241834441914627,0.0025544277728743793,81.6,30.270447634615515,57,130,5,1,75
binary,M1,permutation,chroma_05_mean,-0.0001235339580250329,0.006477547151552933,-0.008222668090880292,0.009363047955280989,76.8,37.94996706190929,29,111,5,2,76
binary,M1,permutation,dwt_cD2_std,-0.00016724738227172215,0.010274084447093627,-0.012517261787334788,0.011054735991223686,86.6,52.87059674336956,21,138,5,2,77
binary,M1,permutation,mfcc_04_std,-0.0002465690607724702,0.004866767620697851,-0.006195220246315125,0.005127978817299206,75.8,30.946728421595715,41,126,5,2,78
binary,M1,permutation,dwt_cD5_entropy,-0.000471854887337979,0.005049400125403083,-0.007385347089694716,0.004832373554752012,76.8,26.938819573247823,54,122,5,3,79
binary,M1,permutation,mfcc_08_std,-0.0005039434782412332,0.010087658644875177,-0.016362337249920655,0.011548249485142681,71.0,41.176449579826574,24,133,5,3,80
binary,M1,permutation,freq_total_power,-0.0005215630401999881,0.002394764417850424,-0.003855480816420842,0.002360253015592828,77.4,23.712865706194183,52,115,5,2,81
binary,M1,permutation,chroma_04_std,-0.0005306659873509956,0.0032423017750398435,-0.0051660901717558,0.0037878787878787845,80.0,25.41653005427767,52,108,5,2,82
binary,M1,permutation,mfcc_10_mean,-0.0005879482799770109,0.002970411709350638,-0.00460698950381685,0.002380102078776247,85.0,20.062402647738878,58,109,5,2,83
binary,M1,permutation,mfcc_10_std,-0.0006079926965499394,0.00571642515564769,-0.008595802419238519,0.006780947279139316,80.0,22.62741699796952,54,114,5,3,84
