task,fold_label,model_id,kind,feature,importance,importance_std,scoring,n_repeats,n_scored_rows,computed_on,rank
binary,r0f0,M1,permutation,chroma_03_std,0.005002206531332765,0.005331291481059396,balanced_accuracy,10,647,held-out fold,43
binary,r0f0,M1,permutation,mfcc_09_std,0.004972050603118583,0.005159410482848489,balanced_accuracy,10,647,held-out fold,44
binary,r0f0,M1,permutation,chroma_11_mean,0.004699911738746709,0.005459444871894301,balanced_accuracy,10,647,held-out fold,45
binary,r0f0,M1,permutation,chroma_06_mean,0.004555016181229776,0.007139301034692414,balanced_accuracy,10,647,held-out fold,46
binary,r0f0,M1,permutation,chroma_05_std,0.004457928802589018,0.005283292346930028,balanced_accuracy,10,647,held-out fold,47
binary,r0f0,M1,permutation,time_mean,0.004069579288025904,0.0021231653996934825,balanced_accuracy,10,647,held-out fold,48
binary,r0f0,M1,permutation,dwt_cD3_std,0.003984995586937356,0.007171633274290074,balanced_accuracy,10,647,held-out fold,49
binary,r0f0,M1,permutation,freq_band_power_100_150,0.003961459252721411,0.00525817769502601,balanced_accuracy,10,647,held-out fold,50
binary,r0f0,M1,permutation,mfcc_10_delta_mean,0.003875404530744364,0.0022682776011887945,balanced_accuracy,10,647,held-out fold,51
binary,r0f0,M1,permutation,chroma_04_std,0.0037878787878787845,0.0034156902305619587,balanced_accuracy,10,647,held-out fold,52
binary,r0f0,M1,permutation,mfcc_03_std,0.003631950573698173,0.005988911395286906,balanced_accuracy,10,647,held-out fold,53
binary,r0f0,M1,permutation,dwt_cD5_entropy,0.003477493380406016,0.006776218883517794,balanced_accuracy,10,647,held-out fold,54
binary,r0f0,M1,permutation,chroma_09_std,0.0034377758164166107,0.0057122586089187605,balanced_accuracy,10,647,held-out fold,55
binary,r0f0,M1,permutation,time_skewness,0.003410561929979439,0.005450535418835217,balanced_accuracy,10,647,held-out fold,56
binary,r0f0,M1,permutation,time_range,0.00338996763754047,0.0037060245995113924,balanced_accuracy,10,647,held-out fold,57
binary,r0f0,M1,permutation,time_peak_to_peak,0.00338996763754047,0.0037060245995113924,balanced_accuracy,10,647,held-out fold,57
binary,r0f0,M1,permutation,time_kurtosis,0.0033311268020006168,0.00411286556250802,balanced_accuracy,10,647,held-out fold,59
binary,r0f0,M1,permutation,mfcc_13_delta_mean,0.003312003530450158,0.0022988603375762194,balanced_accuracy,10,647,held-out fold,60
binary,r0f0,M1,permutation,chroma_08_std,0.0031369520447190546,0.0018049979274951512,balanced_accuracy,10,647,held-out fold,61
binary,r0f0,M1,permutation,dwt_cD4_entropy,0.0031082671373933723,0.0026193863883852454,balanced_accuracy,10,647,held-out fold,62
binary,r0f0,M1,permutation,chroma_03_mean,0.0029045307443365865,0.0029075658165559444,balanced_accuracy,10,647,held-out fold,63
binary,r0f0,M1,permutation,chroma_08_mean,0.0027883200941453577,0.0035800436519760623,balanced_accuracy,10,647,held-out fold,64
binary,r0f0,M1,permutation,freq_flux_std,0.002689761694616066,0.005586377878959512,balanced_accuracy,10,647,held-out fold,65
binary,r0f0,M1,permutation,time_autocorr_peak_value,0.002622830244189467,0.005971877576843723,balanced_accuracy,10,647,held-out fold,66
binary,r0f0,M1,permutation,freq_spectral_entropy,0.0025750220653133595,0.006243103852368722,balanced_accuracy,10,647,held-out fold,67
