task,model_id,kind,fold_label,feature,mean_abs_shap,mean_signed_shap,n_rows,rank
binary,M4,shap,r0f0,mfcc_13_mean,0.002898113586581355,-0.001645431822262603,400,43
binary,M4,shap,r0f0,mfcc_01_std,0.010895513418689773,-0.0014738095866150588,400,13
binary,M4,shap,r0f0,mfcc_02_std,0.0008533916576758207,-0.00023855387416626153,400,116
binary,M4,shap,r0f0,mfcc_03_std,0.002031619558465923,-0.0009846036308065029,400,54
binary,M4,shap,r0f0,mfcc_04_std,0.0015823592162832092,-0.0007621246452907618,400,66
binary,M4,shap,r0f0,mfcc_05_std,0.0032512950720093936,-0.0016341131629208547,400,41
binary,M4,shap,r0f0,mfcc_06_std,0.0011335792267431009,-0.0008449996765149359,400,97
binary,M4,shap,r0f0,mfcc_07_std,0.001107707923994307,-0.0006756111576645329,400,99
binary,M4,shap,r0f0,mfcc_08_std,0.0015516405683862837,-0.000911973981376183,400,67
binary,M4,shap,r0f0,mfcc_09_std,0.000696877468233008,-0.0005109426587163436,400,134
binary,M4,shap,r0f0,mfcc_10_std,0.0011376201244861232,-0.000636177522671849,400,96
binary,M4,shap,r0f0,mfcc_11_std,0.0011802348619664867,-0.0003560177750528719,400,91
binary,M4,shap,r0f0,mfcc_12_std,0.000895155303277327,-0.00020198533538776111,400,114
binary,M4,shap,r0f0,mfcc_13_std,0.0009401325877426176,-0.00036489809412226115,400,110
binary,M4,shap,r0f0,mfcc_01_delta_mean,0.0011664948110469617,-0.0005487686953558793,400,93
binary,M4,shap,r0f0,mfcc_02_delta_mean,0.0014927080132880024,-0.0008840626705340468,400,69
binary,M4,shap,r0f0,mfcc_03_delta_mean,0.0010432205071895704,-0.0007308951462639769,400,101
binary,M4,shap,r0f0,mfcc_04_delta_mean,0.0008449519480450751,-0.00045389559196977084,400,117
binary,M4,shap,r0f0,mfcc_05_delta_mean,0.00073668895961683,-0.00039096210157852854,400,131
binary,M4,shap,r0f0,mfcc_06_delta_mean,0.0013590150857662178,-0.0007434079121470394,400,76
binary,M4,shap,r0f0,mfcc_07_delta_mean,0.0017402929503223612,-0.0006742147765924324,400,64
binary,M4,shap,r0f0,mfcc_08_delta_mean,0.0008696848802566077,-0.0005359966513341318,400,115
binary,M4,shap,r0f0,mfcc_09_delta_mean,0.0011852789387985967,-0.0008344971764681131,400,88
