metric,n_folds,m6_mean,m7_mean,delta_mean,delta_sd,n_folds_m7_better,n_folds_m7_worse,n_folds_identical,test,p_value,p_holm
sensitivity,25,0.8615469513693752,0.8615380387134037,-8.912655971479999e-06,0.0021549928548351277,1,1,23,Wilcoxon signed-rank,0.6547208460185769,1.0
specificity,25,0.8501793885246874,0.849638093652173,-0.000541294872514356,0.0018930606625635568,0,2,23,Wilcoxon signed-rank,0.1797124948789997,0.718849979515999
balanced_accuracy,25,0.8558631699470313,0.8555880661827883,-0.00027510376424292,0.0013390919258976655,0,2,23,Wilcoxon signed-rank,0.1797124948789997,1.0
f1,25,0.7087492616292356,0.7081994698811109,-0.0005497917481245761,0.0020557819663046374,0,2,23,Wilcoxon signed-rank,0.1797124948789997,1.0
roc_auc,25,0.938400689122729,0.9383495147018667,-5.117442086242799e-05,0.0001816418342792404,0,2,23,Wilcoxon signed-rank,0.1797124948789997,1.0
accuracy,25,0.8525353146262159,0.8521048133106904,-0.00043050131552555606,0.0015078453041479753,0,2,23,Wilcoxon signed-rank,0.1797124948789997,1.0
