run,tuning,rank,model_id,model_name,n_folds,sensitivity_mean,sensitivity_sd,specificity_mean,specificity_sd,balanced_accuracy_mean,balanced_accuracy_sd,f1_mean,roc_auc_mean,roc_auc_sd,accuracy_mean
EXP-A1,defaults,1,M6,Soft Voting (equal weights),25,0.8790705821614024,0.061241829532217164,0.8384425376679471,0.04791851275770815,0.8587565599146746,0.02545854494291062,0.7044382221713745,0.9395334531543368,0.021954085056345145,0.8467898757895366
EXP-A1,defaults,2,M1,Logistic Regression,25,0.8479933187885698,0.039651751739522886,0.8378530531876638,0.036437864841969474,0.8429231859881168,0.026269482333133316,0.6867562609818505,0.9221754145146952,0.019219626715802365,0.8399528099206428
EXP-A1,defaults,3,M5,Gradient Boosting,25,0.7979991249318708,0.05504045101131409,0.9016218568785286,0.03625527933305099,0.8498104909051996,0.03014766456720083,0.7344011991722188,0.9357444658070613,0.02186977716088595,0.8803812904490006
EXP-A1,defaults,4,M8,XGBoost / LightGBM,25,0.7556270092682991,0.0626458769631817,0.9328235751465186,0.028233887853066582,0.8442252922074089,0.031085627431688682,0.7504310157926309,0.9410446008725418,0.01796680807842469,0.8964713031776675
EXP-A1,defaults,5,M4,Random Forest,25,0.7475470301606779,0.06326348603349237,0.9366196855524065,0.029321936595700607,0.8420833578565423,0.032945933529836234,0.7510565386260639,0.9418026774787451,0.02023584548443079,0.8978274239459105
EXP-A1,defaults,6,M3,SVM (RBF kernel),25,0.6698449028753386,0.06880737110743863,0.9303228738736918,0.027051946775737128,0.8000838883745152,0.036461651068808644,0.6908738481927146,0.924078273935299,0.023586273628884238,0.8768856610276579
EXP-A2,nested search,1,M1,Logistic Regression,25,0.8648233891627352,0.04460494653301462,0.8287854063424053,0.045804135121286144,0.8468043977525701,0.02608848930923994,0.6867062637528286,0.9212095305753734,0.02090814117346548,0.8362042167620645
EXP-A2,nested search,2,M6,Soft Voting (equal weights),25,0.8615469513693752,0.06697610760032198,0.8501793885246874,0.053052109708163035,0.8558631699470313,0.025101376345751197,0.7087492616292356,0.938400689122729,0.022165881599136576,0.8525353146262159
EXP-A2,nested search,3,M7,Soft Voting (optimized weights),25,0.8615380387134037,0.06695949198682881,0.849638093652173,0.0533866731917882,0.8555880661827883,0.025321049299100187,0.7081994698811109,0.9383495147018667,0.022232583950469363,0.8521048133106904
EXP-A2,nested search,4,M8,XGBoost / LightGBM,25,0.8218651609921878,0.0703008077853119,0.8746387865658246,0.050262177639069844,0.8482519737790061,0.02850629120222552,0.7153507911364362,0.9374168268419864,0.020513827541552832,0.8638177500271753
EXP-A2,nested search,5,M4,Random Forest,25,0.8193179675801403,0.061168526288968815,0.885401814764395,0.041068772796173145,0.8523598911722676,0.03064476067092507,0.7262687566360942,0.9383918924875703,0.021592944961128707,0.871885023670048
EXP-A2,nested search,6,M5,Gradient Boosting,25,0.8130747740507671,0.06686504963863941,0.8812466686490713,0.05381132420531263,0.8471607213499192,0.03255377186779101,0.7194132578085203,0.9363207791154013,0.02229036724285548,0.8672979641393492
EXP-A2,nested search,7,M3,SVM (RBF kernel),25,0.6671634033396946,0.07400971858128105,0.9324325360291823,0.025543002030395365,0.7997979696844384,0.03912697460701983,0.6916401381161631,0.9220133878251725,0.022066634997185586,0.8780096585505962
