rank,model_id,sensitivity_mean,balanced_accuracy_mean
1,M1,0.8648233891627352,0.8468043977525701
2,M6,0.8615469513693752,0.8558631699470313
3,M7,0.8615380387134037,0.8555880661827883
4,M8,0.8218651609921878,0.8482519737790061
5,M4,0.8193179675801403,0.8523598911722676
6,M5,0.8130747740507671,0.8471607213499192
7,M3,0.6671634033396946,0.7997979696844384
