rank,model_id,model_name,exp_id,n_folds,sensitivity,sensitivity_mean,sensitivity_sd,sensitivity_n,specificity,specificity_mean,specificity_sd,specificity_n,balanced_accuracy,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_n,f1,f1_mean,f1_sd,f1_n,precision,precision_mean,precision_sd,precision_n,roc_auc,roc_auc_mean,roc_auc_sd,roc_auc_n,pr_auc,pr_auc_mean,pr_auc_sd,pr_auc_n,accuracy,accuracy_mean,accuracy_sd,accuracy_n,mcc,mcc_mean,mcc_sd,mcc_n,brier,brier_mean,brier_sd,brier_n,ece,ece_mean,ece_sd,ece_n,fit_seconds_mean,predict_seconds_mean,ranked_by
1,M6,Soft Voting (equal weights),EXP-A1,25,0.8791 +/- 0.0612,0.8790705821614024,0.061241829532217164,25,0.8384 +/- 0.0479,0.8384425376679471,0.04791851275770815,25,0.8588 +/- 0.0255,0.8587565599146746,0.02545854494291062,25,0.7044 +/- 0.0440,0.7044382221713745,0.04395562766884186,25,0.5934 +/- 0.0706,0.5933892361431843,0.07062471665285279,25,0.9395 +/- 0.0220,0.9395334531543368,0.021954085056345145,25,0.7748 +/- 0.0826,0.7747624740985141,0.08263956975111719,25,0.8468 +/- 0.0323,0.8467898757895366,0.03233741698433885,25,0.6322 +/- 0.0549,0.6322439501899548,0.05491206369533483,25,0.1686 +/- 0.0245,0.16858335570429578,0.024503612324366552,25,0.0773 +/- 0.0253,0.07726626137827348,0.02529899236517019,25,167.94507280000002,1.0857450800000001,"sensitivity, balanced_accuracy"
2,M1,Logistic Regression,EXP-A1,25,0.8480 +/- 0.0397,0.8479933187885698,0.039651751739522886,25,0.8379 +/- 0.0364,0.8378530531876638,0.036437864841969474,25,0.8429 +/- 0.0263,0.8429231859881168,0.026269482333133316,25,0.6868 +/- 0.0425,0.6867562609818505,0.042513708411701046,25,0.5792 +/- 0.0541,0.5792293573419356,0.054091154212963496,25,0.9222 +/- 0.0192,0.9221754145146952,0.019219626715802365,25,0.7394 +/- 0.0559,0.7394381410081831,0.055854532185452305,25,0.8400 +/- 0.0297,0.8399528099206428,0.029711112128121765,25,0.6053 +/- 0.0549,0.6052821345294546,0.054877973278702516,25,0.2247 +/- 0.0403,0.22470480513485022,0.0402764000013868,25,0.0607 +/- 0.0236,0.060688400282142646,0.023643803384649206,25,0.21600452,0.00744276,"sensitivity, balanced_accuracy"
3,M5,Gradient Boosting,EXP-A1,25,0.7980 +/- 0.0550,0.7979991249318708,0.05504045101131409,25,0.9016 +/- 0.0363,0.9016218568785286,0.03625527933305099,25,0.8498 +/- 0.0301,0.8498104909051996,0.03014766456720083,25,0.7344 +/- 0.0505,0.7344011991722188,0.050514416345078285,25,0.6857 +/- 0.0777,0.6857195694175617,0.07768454143506771,25,0.9357 +/- 0.0219,0.9357444658070613,0.02186977716088595,25,0.7944 +/- 0.0581,0.7944138767148836,0.058115633166557865,25,0.8804 +/- 0.0290,0.8803812904490006,0.02901954442513568,25,0.6639 +/- 0.0656,0.663883627757846,0.06563180416769131,25,0.1744 +/- 0.0381,0.17437842948036955,0.03808523274368473,25,0.0338 +/- 0.0193,0.03380721349680261,0.019334922084439734,25,28.14054456,0.014229359999999998,"sensitivity, balanced_accuracy"
4,M8,XGBoost / LightGBM,EXP-A1,25,0.7556 +/- 0.0626,0.7556270092682991,0.0626458769631817,25,0.9328 +/- 0.0282,0.9328235751465186,0.028233887853066582,25,0.8442 +/- 0.0311,0.8442252922074089,0.031085627431688682,25,0.7504 +/- 0.0478,0.7504310157926309,0.047847925853444606,25,0.7524 +/- 0.0787,0.7523541266220218,0.07870332863922365,25,0.9410 +/- 0.0180,0.9410446008725418,0.01796680807842469,25,0.8125 +/- 0.0510,0.8125284436883298,0.051040198358114054,25,0.8965 +/- 0.0229,0.8964713031776675,0.0229334080287399,25,0.6880 +/- 0.0619,0.6879569533473738,0.061946804405221816,25,0.1662 +/- 0.0349,0.16617452090134846,0.03489789945823504,25,0.0606 +/- 0.0173,0.06055405837450443,0.01725727624846609,25,6.09333764,0.02226952,"sensitivity, balanced_accuracy"
5,M4,Random Forest,EXP-A1,25,0.7475 +/- 0.0633,0.7475470301606779,0.06326348603349237,25,0.9366 +/- 0.0293,0.9366196855524065,0.029321936595700607,25,0.8421 +/- 0.0329,0.8420833578565423,0.032945933529836234,25,0.7511 +/- 0.0527,0.7510565386260639,0.052708521418613076,25,0.7620 +/- 0.0838,0.7619593895391418,0.08384065977201399,25,0.9418 +/- 0.0202,0.9418026774787451,0.02023584548443079,25,0.8056 +/- 0.0681,0.8055628416009804,0.06812138240329908,25,0.8978 +/- 0.0250,0.8978274239459105,0.024960761293280592,25,0.6897 +/- 0.0677,0.6896725889001196,0.06773071991830748,25,0.1687 +/- 0.0284,0.1686520460762375,0.028437357590377722,25,0.0660 +/- 0.0208,0.06600971978730868,0.02079911002599017,25,4.85360852,0.41401308,"sensitivity, balanced_accuracy"
6,M3,SVM (RBF kernel),EXP-A1,25,0.6698 +/- 0.0688,0.6698449028753386,0.06880737110743863,25,0.9303 +/- 0.0271,0.9303228738736918,0.027051946775737128,25,0.8001 +/- 0.0365,0.8000838883745152,0.036461651068808644,25,0.6909 +/- 0.0577,0.6908738481927146,0.05766357453401893,25,0.7201 +/- 0.0807,0.7201413518360311,0.08072813274911769,25,0.9241 +/- 0.0236,0.924078273935299,0.023586273628884238,25,0.7209 +/- 0.0825,0.7208671133081641,0.08245380982396673,25,0.8769 +/- 0.0251,0.8768856610276579,0.025075639105622563,25,0.6172 +/- 0.0729,0.6171888183669375,0.07285804610560723,25,0.1831 +/- 0.0255,0.18305086728410364,0.025518055465345885,25,0.0573 +/- 0.0200,0.05730727207214442,0.019994984422364057,25,1.0184799599999999,0.7251942000000001,"sensitivity, balanced_accuracy"
