exp_id,model_id,repeat,fold,fold_label,n_train,n_test,sensitivity,specificity,balanced_accuracy,f1,precision,roc_auc,pr_auc,accuracy,mcc,brier,ece
EXP-A1,M1,2,0,r2f0,2596,644,0.8473282442748091,0.7875243664717348,0.817426305373272,0.6324786324786325,0.5045454545454545,0.8986205972947636,0.6614135370711145,0.7996894409937888,0.5388563084840713,0.276009298730389,0.0796615392220332
EXP-A1,M1,2,1,r2f1,2589,651,0.835820895522388,0.839458413926499,0.8376396547244436,0.6808510638297872,0.5743589743589743,0.9281590115188084,0.7640172339739316,0.8387096774193549,0.5960482083282758,0.2237201505358104,0.060439640347853
EXP-A1,M1,2,2,r2f2,2585,655,0.8394160583941606,0.859073359073359,0.8492447087337598,0.7076923076923077,0.6117021276595744,0.9268663867204012,0.7902486611428834,0.8549618320610687,0.6279826269593106,0.1962182869708949,0.0438581975184877
EXP-A1,M1,2,3,r2f3,2597,643,0.916030534351145,0.8515625,0.8837965171755725,0.7339449541284404,0.6122448979591837,0.9327439169847328,0.7387875793357066,0.864696734059098,0.6716141786368581,0.2041049197718602,0.0464580509405067
EXP-A1,M1,2,4,r2f4,2593,647,0.8333333333333334,0.8660194174757282,0.8496763754045308,0.707395498392283,0.6145251396648045,0.9261694616063548,0.731373078524184,0.8593508500772797,0.6299954683995269,0.214946417504337,0.0644960296998197
EXP-A1,M1,3,0,r3f0,2596,644,0.8244274809160306,0.7816764132553606,0.8030519470856956,0.6153846153846154,0.4909090909090909,0.890748924899186,0.6633522683378079,0.7903726708074534,0.5144546961647569,0.2909216292554804,0.0977350005424929
EXP-A1,M1,3,1,r3f1,2593,647,0.8409090909090909,0.8699029126213592,0.8554060017652251,0.7161290322580646,0.6235955056179775,0.9372903795233892,0.7486587333281488,0.8639876352395672,0.641429472037062,0.1936929639063618,0.0641632129988968
EXP-A1,M1,3,2,r3f2,2585,655,0.9117647058823528,0.8169556840077071,0.86436019494503,0.6985915492957746,0.5662100456621004,0.9347444179984132,0.7623270743876355,0.8366412213740458,0.6265399274923886,0.225630518218203,0.0438383733488053
EXP-A1,M1,3,3,r3f3,2589,651,0.8888888888888888,0.8430232558139535,0.8659560723514212,0.7142857142857143,0.5970149253731343,0.9297014068331898,0.7374398866131558,0.8525345622119815,0.6423125430500041,0.2101684671402824,0.042355304923525
EXP-A1,M1,3,4,r3f4,2597,643,0.8244274809160306,0.876953125,0.8506903029580153,0.7152317880794702,0.631578947368421,0.9268099952290076,0.8005665374309443,0.8662519440124417,0.6393745224899607,0.1922410519575397,0.0386547099408978
EXP-A1,M1,4,0,r4f0,2585,655,0.9044117647058824,0.7707129094412332,0.8375623370735578,0.6507936507936508,0.5082644628099173,0.9029808455173975,0.6825420670767285,0.7984732824427481,0.5673543708315464,0.2898060062787389,0.0834570802855146
EXP-A1,M1,4,1,r4f1,2596,644,0.8702290076335878,0.8713450292397661,0.8707870184366769,0.7331189710610932,0.6333333333333333,0.9472493787479724,0.8173011225488209,0.8711180124223602,0.6652020882908656,0.1794749496025414,0.040900971658684
EXP-A1,M1,4,2,r4f2,2593,647,0.8106060606060606,0.8427184466019417,0.8266622536040011,0.66875,0.5691489361702128,0.9355545748749632,0.7854372170894872,0.8361669242658424,0.5798748354301024,0.2029892352150723,0.0587480373225421
EXP-A1,M1,4,3,r4f3,2589,651,0.8740740740740741,0.8527131782945736,0.8633936261843238,0.7173252279635258,0.6082474226804123,0.9329457364341086,0.7298393905041698,0.8571428571428571,0.6442287042966446,0.2042187817458562,0.0435822334797881
EXP-A1,M1,4,4,r4f4,2597,643,0.7786259541984732,0.85546875,0.8170473520992366,0.6644951140065146,0.5795454545454546,0.8941734255725191,0.6771563670262074,0.8398133748055988,0.5728091941493245,0.2386623061643296,0.0703192996620377
