run,task,model_id,n_bins,n_folds,n_records_total,brier_mean,brier_sd,ece_mean,ece_sd,mean_confidence_mean,mean_confidence_sd,argmax_accuracy_mean,argmax_accuracy_sd,confidence_gap_mean,confidence_gap_sd
EXP-A1,binary,M1,5,25,16200,0.22470480513485033,0.04027640000138679,0.06066273560853674,0.02366159520389379,0.8996858732303589,0.01378544068483566,0.8399528099206428,0.029711112128121765,0.05973306330971605,0.024758410194891955
EXP-A1,binary,M1,10,25,16200,0.22470480513485033,0.04027640000138679,0.06068840028214269,0.023643803384649203,0.8996858732303589,0.01378544068483566,0.8399528099206428,0.029711112128121765,0.05973306330971605,0.024758410194891955
EXP-A1,binary,M1,15,25,16200,0.22470480513485033,0.04027640000138679,0.0640990585808281,0.02310629524575631,0.8996858732303589,0.01378544068483566,0.8399528099206428,0.029711112128121765,0.05973306330971605,0.024758410194891955
EXP-A1,binary,M1,20,25,16200,0.22470480513485033,0.04027640000138679,0.06507733986186609,0.022599806827902736,0.8996858732303589,0.01378544068483566,0.8399528099206428,0.029711112128121765,0.05973306330971605,0.024758410194891955
EXP-A1,binary,M3,5,25,16200,0.18305086728410364,0.02551805546534588,0.05554505114514297,0.021333392833121825,0.8263595178362168,0.015114622106559235,0.8768856610276579,0.025075639105622563,-0.05052614319144119,0.025550890141392675
EXP-A1,binary,M3,10,25,16200,0.18305086728410364,0.02551805546534588,0.05730727207214447,0.01999498442236406,0.8263595178362168,0.015114622106559235,0.8768856610276579,0.025075639105622563,-0.05052614319144119,0.025550890141392675
EXP-A1,binary,M3,15,25,16200,0.18305086728410364,0.02551805546534588,0.06165709704753785,0.017491652726227977,0.8263595178362168,0.015114622106559235,0.8768856610276579,0.025075639105622563,-0.05052614319144119,0.025550890141392675
EXP-A1,binary,M3,20,25,16200,0.18305086728410364,0.02551805546534588,0.06224476609420591,0.016187223310357313,0.8263595178362168,0.015114622106559235,0.8768856610276579,0.025075639105622563,-0.05052614319144119,0.025550890141392675
EXP-A1,binary,M4,5,25,16200,0.16865204607623752,0.028437357590377726,0.06310612158471927,0.0238526186512673,0.8353714038328665,0.013185573008468256,0.8978274239459105,0.024960761293280575,-0.062456020113044027,0.024482255567887228
EXP-A1,binary,M4,10,25,16200,0.16865204607623752,0.028437357590377726,0.06600971978730871,0.02079911002599017,0.8353714038328665,0.013185573008468256,0.8978274239459105,0.024960761293280575,-0.062456020113044027,0.024482255567887228
EXP-A1,binary,M4,15,25,16200,0.16865204607623752,0.028437357590377726,0.07052420926725089,0.018009270342872877,0.8353714038328665,0.013185573008468256,0.8978274239459105,0.024960761293280575,-0.062456020113044027,0.024482255567887228
EXP-A1,binary,M4,20,25,16200,0.16865204607623752,0.028437357590377726,0.07158838183168553,0.016454771656450193,0.8353714038328665,0.013185573008468256,0.8978274239459105,0.024960761293280575,-0.062456020113044027,0.024482255567887228
EXP-A1,binary,M5,5,25,16200,0.17437842948036955,0.03808523274368473,0.031328484903838466,0.021228439615644634,0.903845539764646,0.01097263924046367,0.8803812904490006,0.029019544425135674,0.023464249315645457,0.023241697661961762
EXP-A1,binary,M5,10,25,16200,0.17437842948036955,0.03808523274368473,0.03380721349680265,0.019334922084439744,0.903845539764646,0.01097263924046367,0.8803812904490006,0.029019544425135674,0.023464249315645457,0.023241697661961762
EXP-A1,binary,M5,15,25,16200,0.17437842948036955,0.03808523274368473,0.03829306818658374,0.01874302097577558,0.903845539764646,0.01097263924046367,0.8803812904490006,0.029019544425135674,0.023464249315645457,0.023241697661961762
EXP-A1,binary,M5,20,25,16200,0.17437842948036955,0.03808523274368473,0.04192105807158831,0.01834158599760209,0.903845539764646,0.01097263924046367,0.8803812904490006,0.029019544425135674,0.023464249315645457,0.023241697661961762
EXP-A1,binary,M6,5,25,16200,0.1685833557042958,0.024503612324366545,0.07671530435360993,0.02603657929593561,0.822036942008385,0.013552353013356867,0.897500405624832,0.02740903652419271,-0.07546346361644708,0.02712805619501944
EXP-A1,binary,M6,10,25,16200,0.1685833557042958,0.024503612324366545,0.07726626137827351,0.025298992365170192,0.822036942008385,0.013552353013356867,0.897500405624832,0.02740903652419271,-0.07546346361644708,0.02712805619501944
EXP-A1,binary,M6,15,25,16200,0.1685833557042958,0.024503612324366545,0.08033951276287513,0.02348696206743439,0.822036942008385,0.013552353013356867,0.897500405624832,0.02740903652419271,-0.07546346361644708,0.02712805619501944
EXP-A1,binary,M6,20,25,16200,0.1685833557042958,0.024503612324366545,0.08176670670329086,0.02116608428635248,0.822036942008385,0.013552353013356867,0.897500405624832,0.02740903652419271,-0.07546346361644708,0.02712805619501944
EXP-A1,binary,M8,5,25,16200,0.16617452090134852,0.03489789945823506,0.059544203987468874,0.017238190161937162,0.9522424638082095,0.007933409692458721,0.8964713031776675,0.022933408028739895,0.05577116063054202,0.01863002375123521
EXP-A1,binary,M8,10,25,16200,0.16617452090134852,0.03489789945823506,0.06055405837450446,0.017257276248466083,0.9522424638082095,0.007933409692458721,0.8964713031776675,0.022933408028739895,0.05577116063054202,0.01863002375123521
EXP-A1,binary,M8,15,25,16200,0.16617452090134852,0.03489789945823506,0.06211346348222198,0.0167688853093063,0.9522424638082095,0.007933409692458721,0.8964713031776675,0.022933408028739895,0.05577116063054202,0.01863002375123521
