run,task,model_id,fold_label,n_bins,n_records,brier,ece,mean_confidence,argmax_accuracy,confidence_gap
EXP-A1,binary,M1,r3f1,20,647,0.19369296390636187,0.0666611717136518,0.9281508482384638,0.8639876352395672,0.0641632129988966
EXP-A1,binary,M1,r3f2,5,655,0.22563051821820304,0.04383837334880544,0.8794712542716981,0.8366412213740458,0.042830032897652304
EXP-A1,binary,M1,r3f2,10,655,0.22563051821820304,0.043838373348805366,0.8794712542716981,0.8366412213740458,0.042830032897652304
EXP-A1,binary,M1,r3f2,15,655,0.22563051821820304,0.04669934899815885,0.8794712542716981,0.8366412213740458,0.042830032897652304
EXP-A1,binary,M1,r3f2,20,655,0.22563051821820304,0.051553486226026804,0.8794712542716981,0.8366412213740458,0.042830032897652304
EXP-A1,binary,M1,r3f3,5,651,0.21016846714028242,0.042355304923525045,0.8946504421851441,0.8525345622119815,0.04211587997316257
EXP-A1,binary,M1,r3f3,10,651,0.21016846714028242,0.04235530492352503,0.8946504421851441,0.8525345622119815,0.04211587997316257
EXP-A1,binary,M1,r3f3,15,651,0.21016846714028242,0.05474211583433813,0.8946504421851441,0.8525345622119815,0.04211587997316257
EXP-A1,binary,M1,r3f3,20,651,0.21016846714028242,0.061720630739916786,0.8946504421851441,0.8525345622119815,0.04211587997316257
EXP-A1,binary,M1,r3f4,5,643,0.1922410519575397,0.038654709940897786,0.9049066539533396,0.8662519440124417,0.038654709940897924
EXP-A1,binary,M1,r3f4,10,643,0.1922410519575397,0.0386547099408978,0.9049066539533396,0.8662519440124417,0.038654709940897924
EXP-A1,binary,M1,r3f4,15,643,0.1922410519575397,0.05092627957570037,0.9049066539533396,0.8662519440124417,0.038654709940897924
EXP-A1,binary,M1,r3f4,20,643,0.1922410519575397,0.051799774754686556,0.9049066539533396,0.8662519440124417,0.038654709940897924
EXP-A1,binary,M1,r4f0,5,655,0.2898060062787389,0.08345708028551457,0.8819303627282626,0.7984732824427481,0.08345708028551457
EXP-A1,binary,M1,r4f0,10,655,0.2898060062787389,0.08345708028551463,0.8819303627282626,0.7984732824427481,0.08345708028551457
EXP-A1,binary,M1,r4f0,15,655,0.2898060062787389,0.08345708028551457,0.8819303627282626,0.7984732824427481,0.08345708028551457
EXP-A1,binary,M1,r4f0,20,655,0.2898060062787389,0.0843491223749264,0.8819303627282626,0.7984732824427481,0.08345708028551457
EXP-A1,binary,M1,r4f1,5,644,0.1794749496025414,0.04090097165868399,0.9120189840810443,0.8711180124223602,0.040900971658684115
EXP-A1,binary,M1,r4f1,10,644,0.1794749496025414,0.04090097165868406,0.9120189840810443,0.8711180124223602,0.040900971658684115
EXP-A1,binary,M1,r4f1,15,644,0.1794749496025414,0.04534127076362734,0.9120189840810443,0.8711180124223602,0.040900971658684115
EXP-A1,binary,M1,r4f1,20,644,0.1794749496025414,0.04642504323238778,0.9120189840810443,0.8711180124223602,0.040900971658684115
EXP-A1,binary,M1,r4f2,5,647,0.2029892352150723,0.05874803732254212,0.8949149615883844,0.8361669242658424,0.05874803732254197
EXP-A1,binary,M1,r4f2,10,647,0.2029892352150723,0.05874803732254218,0.8949149615883844,0.8361669242658424,0.05874803732254197
EXP-A1,binary,M1,r4f2,15,647,0.2029892352150723,0.05874803732254216,0.8949149615883844,0.8361669242658424,0.05874803732254197
EXP-A1,binary,M1,r4f2,20,647,0.2029892352150723,0.0587480373225422,0.8949149615883844,0.8361669242658424,0.05874803732254197
EXP-A1,binary,M1,r4f3,5,651,0.20421878174585623,0.04358223347978803,0.9007250906226454,0.8571428571428571,0.04358223347978829
EXP-A1,binary,M1,r4f3,10,651,0.20421878174585623,0.04358223347978816,0.9007250906226454,0.8571428571428571,0.04358223347978829
EXP-A1,binary,M1,r4f3,15,651,0.20421878174585623,0.04998693083290523,0.9007250906226454,0.8571428571428571,0.04358223347978829
EXP-A1,binary,M1,r4f3,20,651,0.20421878174585623,0.046044769307450724,0.9007250906226454,0.8571428571428571,0.04358223347978829
EXP-A1,binary,M1,r4f4,5,643,0.23866230616432962,0.07031929966203776,0.9101326744676363,0.8398133748055988,0.07031929966203754
EXP-A1,binary,M1,r4f4,10,643,0.23866230616432962,0.07031929966203772,0.9101326744676363,0.8398133748055988,0.07031929966203754
EXP-A1,binary,M1,r4f4,15,643,0.23866230616432962,0.07322704879314854,0.9101326744676363,0.8398133748055988,0.07031929966203754
EXP-A1,binary,M1,r4f4,20,643,0.23866230616432962,0.07142944823858866,0.9101326744676363,0.8398133748055988,0.07031929966203754
EXP-A1,binary,M3,r0f0,5,647,0.22973018268239395,0.043059896352660554,0.8093681539538431,0.8346213292117465,-0.025253175257903382
EXP-A1,binary,M3,r0f0,10,647,0.22973018268239395,0.043059896352660616,0.8093681539538431,0.8346213292117465,-0.025253175257903382
EXP-A1,binary,M3,r0f0,15,647,0.22973018268239395,0.05041118417002162,0.8093681539538431,0.8346213292117465,-0.025253175257903382
EXP-A1,binary,M3,r0f0,20,647,0.22973018268239395,0.057001210530971104,0.8093681539538431,0.8346213292117465,-0.025253175257903382
EXP-A1,binary,M3,r0f1,5,651,0.16080387304095983,0.05695702464550811,0.8370521919443537,0.8940092165898618,-0.056957024645508114
EXP-A1,binary,M3,r0f1,10,651,0.16080387304095983,0.056957024645508114,0.8370521919443537,0.8940092165898618,-0.056957024645508114
EXP-A1,binary,M3,r0f1,15,651,0.16080387304095983,0.05898825676904787,0.8370521919443537,0.8940092165898618,-0.056957024645508114
EXP-A1,binary,M3,r0f1,20,651,0.16080387304095983,0.06119370754693031,0.8370521919443537,0.8940092165898618,-0.056957024645508114
EXP-A1,binary,M3,r0f2,5,644,0.173119677509959,0.02507681365275996,0.85215266556645,0.8757763975155279,-0.023623731949077964
EXP-A1,binary,M3,r0f2,10,644,0.173119677509959,0.039224305594401696,0.85215266556645,0.8757763975155279,-0.023623731949077964
EXP-A1,binary,M3,r0f2,15,644,0.173119677509959,0.03876460818209132,0.85215266556645,0.8757763975155279,-0.023623731949077964
EXP-A1,binary,M3,r0f2,20,644,0.173119677509959,0.041650930223930197,0.85215266556645,0.8757763975155279,-0.023623731949077964
EXP-A1,binary,M3,r0f3,5,655,0.18270604783517083,0.09357546020818346,0.8026077458986867,0.8961832061068702,-0.09357546020818353
