method,members,outer_fold,generation,best_fitness,best_so_far,mean_fitness,worst_fitness,std_fitness,best_n_selected,best_macro_f1,mean_n_selected,evaluations,distinct_fitted,seconds
pso_weights,M3+M4+M5,r0f0,0,0.8450718592324086,0.8450718592324086,0.8349408459170478,0.818451155758757,0.006124169262693429,3,,3.0,20,0,0.3510141999577172
pso_weights,M3+M4+M5,r0f0,1,0.8455245086431447,0.8455245086431447,0.841370357383559,0.8331522432102588,0.003405885794169607,3,,3.0,40,0,0.38398749998304993
pso_weights,M3+M4+M5,r0f0,2,0.8458000145722144,0.8458000145722144,0.8422743355980984,0.8378754622124265,0.00208965491651729,3,,3.0,60,0,0.36078280000947416
pso_weights,M3+M4+M5,r0f0,3,0.8457672270897466,0.8458000145722144,0.8429916756225067,0.8378098872474908,0.0019359070893006168,3,,3.0,80,0,0.37162999995052814
pso_weights,M3+M4+M5,r0f0,4,0.8460427330188163,0.8460427330188163,0.8432045437986121,0.8387807610338986,0.001774898719554171,3,,3.0,100,0,0.35807969997404143
pso_weights,M3+M4+M5,r0f0,5,0.8462526639829505,0.8462526639829505,0.8430031512413704,0.8357565711579447,0.002749816722905174,3,,3.0,120,0,0.34256449999520555
pso_weights,M3+M4+M5,r0f0,6,0.8462526639829505,0.8462526639829505,0.8435246771343738,0.8387807610338986,0.0020396712944754218,3,,3.0,140,0,0.36956250004004687
pso_weights,M3+M4+M5,r0f0,7,0.8458000145722144,0.8462526639829505,0.8440196315051276,0.8395549099254995,0.001783175686075614,3,,3.0,160,0,0.34546209999825805
pso_weights,M3+M4+M5,r0f0,8,0.8462526639829505,0.8462526639829505,0.8441442694766753,0.8399287783019727,0.0014759742409524775,3,,3.0,180,0,0.37293839995982125
pso_weights,M3+M4+M5,r0f0,9,0.8464953824295525,0.8464953824295525,0.8442672680740996,0.8360320770870144,0.0022479567849895913,3,,3.0,200,0,0.3704924000194296
pso_weights,M3+M4+M5,r0f0,10,0.8464953824295525,0.8464953824295525,0.843760177781016,0.8402042842310424,0.001616785310700287,3,,3.0,220,0,0.39257279998855665
pso_weights,M3+M4+M5,r0f0,11,0.8464953824295525,0.8464953824295525,0.8445034290242083,0.8412211515692454,0.0016584381412045172,3,,3.0,240,0,0.35694430000148714
pso_weights,M3+M4+M5,r0f0,12,0.8464953824295525,0.8464953824295525,0.8449068744421575,0.8421592378731853,0.0011734790693359465,3,,3.0,260,0,0.5503728999756277
pso_weights,M3+M4+M5,r0f0,13,0.8464953824295525,0.8464953824295525,0.8446805497367892,0.8376655312482923,0.0020492484079571876,3,,3.0,280,0,0.3775542000075802
pso_weights,M3+M4+M5,r0f0,14,0.8464953824295525,0.8464953824295525,0.8445955982804787,0.8411095830525146,0.0015151641428864878,3,,3.0,300,0,0.34872360003646463
pso_weights,M3+M4+M5,r0f0,15,0.8462526639829505,0.8464953824295525,0.8447153181296564,0.8391022605147636,0.0019958909057055,3,,3.0,320,0,0.3536982000223361
pso_weights,M3+M4+M5,r0f0,16,0.8462526639829505,0.8464953824295525,0.8452660339896901,0.8429857556603946,0.0010759310916738987,3,,3.0,340,0,0.4013905000174418
pso_weights,M3+M4+M5,r0f0,17,0.8462526639829505,0.8464953824295525,0.845194857829833,0.8422903878030565,0.001035261757291342,3,,3.0,360,0,0.36146970000118017
pso_weights,M3+M4+M5,r0f0,18,0.8464953824295525,0.8464953824295525,0.8453388495236709,0.8418377383923205,0.0013346152765762664,3,,3.0,380,0,0.35887080000247806
pso_weights,M3+M4+M5,r0f0,19,0.8464953824295525,0.8464953824295525,0.845000022769085,0.8418049509098526,0.0015436272341167508,3,,3.0,400,0,0.3764517000527121
pso_weights,M3+M4+M5,r0f0,20,0.8464953824295525,0.8464953824295525,0.8456235541630995,0.8425331062496584,0.0009499045558087249,3,,3.0,420,0,0.37559730000793934
pso_weights,M3+M4+M5,r0f0,21,0.8464953824295525,0.8464953824295525,0.8455248274103354,0.8434056175886628,0.0008657947160967989,3,,3.0,440,0,0.3741442000027746
pso_weights,M3+M4+M5,r0f0,22,0.8464953824295525,0.8464953824295525,0.8457609883604438,0.8431628991420609,0.0007181241947607465,3,,3.0,460,0,0.35177279997151345
pso_weights,M3+M4+M5,r0f0,23,0.8464953824295525,0.8464953824295525,0.8455021949397985,0.8432284741069964,0.0008637322810620268,3,,3.0,480,0,0.3778368999483064
pso_weights,M3+M4+M5,r0f0,24,0.8464953824295525,0.8464953824295525,0.8456356900854297,0.8422903878030565,0.0009693320957121717,3,,3.0,500,0,0.3702077000052668
pso_weights,M3+M4+M5,r0f0,25,0.8464953824295525,0.8464953824295525,0.845609778866646,0.8438582669993988,0.000688824273764981,3,,3.0,520,0,0.35356110002612695
pso_weights,M3+M4+M5,r0f0,26,0.8464953824295525,0.8464953824295525,0.8456307719630594,0.8429201806954589,0.0009222717243063344,3,,3.0,540,0,0.3611125000170432
pso_weights,M3+M4+M5,r0f0,27,0.8464953824295525,0.8464953824295525,0.845663900981803,0.8431628991420609,0.0008965328078662177,3,,3.0,560,0,0.36758890002965927
pso_weights,M3+M4+M5,r0f0,28,0.8464953824295525,0.8464953824295525,0.8455143308621287,0.8434056175886628,0.0010019806135527184,3,,3.0,580,0,0.36512169998604804
pso_weights,M3+M4+M5,r0f0,29,0.8464953824295525,0.8464953824295525,0.8457173627934935,0.8425331062496584,0.0009415430961593771,3,,3.0,600,0,0.3538200999610126
