method,outer_fold,scored_with,role,fitness_model,n_selected,inner_fitness_j,inner_macro_f1,outer_j,refit_seconds,n_train,n_test,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative,macro_f1
SO-03b,r0f0,M3,fitness_model,M3,49,0.30402047992563025,0.8099914468971328,0.3519242853117124,1.3529841999989003,2593,647,0.8176197836166924,0.7643056781406296,0.6742424242424242,0.8543689320388349,0.5426829268292683,0.6013513513513513,0.4897016639118379,,,89.0,75.0,440.0,43.0,647.0,132.0,515.0,0.7415574392027298
SO-03b,r0f0,M4,evaluation_model,M3,49,0.30402047992563025,0.8099914468971328,0.3247695556937419,3.9178903000429273,2593,647,0.8438948995363215,0.8089805825242719,0.75,0.8679611650485437,0.592814371257485,0.6622073578595318,0.5690794579166498,,,99.0,68.0,447.0,33.0,647.0,132.0,515.0,0.7803499100855448
