method,model_id,task,outer_fold,trial,score,best_so_far,elapsed_seconds
bayes,M3,binary,r0f0,0,0.713107,0.713107,1.7112
bayes,M3,binary,r0f0,1,0.804118,0.804118,5.199
bayes,M3,binary,r0f0,2,0.778757,0.804118,7.3069
bayes,M3,binary,r0f0,3,0.72127,0.804118,9.7585
bayes,M3,binary,r0f0,4,0.689364,0.804118,11.5259
bayes,M3,binary,r0f0,5,0.739098,0.804118,17.0761
bayes,M3,binary,r0f0,6,0.716221,0.804118,22.6997
bayes,M3,binary,r0f0,7,0.5,0.804118,29.8857
bayes,M3,binary,r0f0,8,0.733838,0.804118,35.3346
bayes,M3,binary,r0f0,9,0.796994,0.804118,39.2886
bayes,M3,binary,r0f0,10,0.795883,0.804118,42.0162
bayes,M3,binary,r0f0,11,0.504894,0.804118,47.7064
bayes,M3,binary,r0f0,12,0.756252,0.804118,49.5791
bayes,M3,binary,r0f0,13,0.756542,0.804118,54.7893
bayes,M3,binary,r0f0,14,0.670373,0.804118,60.1237
bayes,M3,binary,r0f0,15,0.80036,0.804118,63.4776
bayes,M3,binary,r0f0,16,0.71658,0.804118,69.0063
bayes,M3,binary,r0f0,17,0.739642,0.804118,74.4503
bayes,M3,binary,r0f0,18,0.7971,0.804118,77.7323
bayes,M3,binary,r0f0,19,0.801296,0.804118,81.007
bayes,M3,binary,r0f0,20,0.78779,0.804118,85.6142
bayes,M3,binary,r0f0,21,0.802798,0.804118,88.5995
bayes,M3,binary,r0f0,22,0.500952,0.804118,94.0921
bayes,M3,binary,r0f0,23,0.754274,0.804118,96.0002
bayes,M3,binary,r0f0,24,0.773396,0.804118,101.4351
bayes,M3,binary,r0f0,25,0.5,0.804118,108.6402
bayes,M3,binary,r0f0,26,0.678439,0.804118,113.9946
bayes,M3,binary,r0f0,27,0.805059,0.805059,116.442
bayes,M3,binary,r0f0,28,0.687035,0.805059,118.2941
bayes,M3,binary,r0f0,29,0.776606,0.805059,120.4538
bayes,M3,binary,r0f0,30,0.789705,0.805059,125.4785
bayes,M3,binary,r0f0,31,0.792635,0.805059,128.1204
bayes,M3,binary,r0f0,32,0.785575,0.805059,131.5901
bayes,M3,binary,r0f0,33,0.758785,0.805059,134.5018
bayes,M3,binary,r0f0,34,0.761411,0.805059,139.9754
bayes,M3,binary,r0f0,35,0.805669,0.805669,142.8834
bayes,M3,binary,r0f0,36,0.740498,0.805669,148.2792
bayes,M3,binary,r0f0,37,0.756503,0.805669,151.9859
bayes,M3,binary,r0f0,38,0.703948,0.805669,153.7272
bayes,M3,binary,r0f0,39,0.798013,0.805669,157.4179
bayes,M4,binary,r0f0,0,0.846413,0.846413,35.6821
bayes,M4,binary,r0f0,1,0.840232,0.846413,39.5259
bayes,M4,binary,r0f0,2,0.83684,0.846413,42.7601
bayes,M4,binary,r0f0,3,0.836204,0.846413,56.0615
bayes,M4,binary,r0f0,4,0.835759,0.846413,64.4407
bayes,M4,binary,r0f0,5,0.82773,0.846413,73.2757
bayes,M4,binary,r0f0,6,0.843017,0.846413,126.6069
bayes,M4,binary,r0f0,7,0.840423,0.846413,135.4083
bayes,M4,binary,r0f0,8,0.83707,0.846413,145.8323
bayes,M4,binary,r0f0,9,0.843622,0.846413,181.7111
bayes,M4,binary,r0f0,10,0.842105,0.846413,191.5769
bayes,M4,binary,r0f0,11,0.843938,0.846413,230.5936
bayes,M4,binary,r0f0,12,0.842116,0.846413,238.2397
bayes,M4,binary,r0f0,13,0.843734,0.846413,284.623
bayes,M4,binary,r0f0,14,0.842814,0.846413,292.2024
bayes,M4,binary,r0f0,15,0.843749,0.846413,356.2638
bayes,M4,binary,r0f0,16,0.843749,0.846413,419.5734
bayes,M4,binary,r0f0,17,0.844843,0.846413,425.5516
bayes,M4,binary,r0f0,18,0.842499,0.846413,465.4838
bayes,M4,binary,r0f0,19,0.830439,0.846413,480.9805
bayes,M4,binary,r0f0,20,0.841866,0.846413,487.6295
bayes,M4,binary,r0f0,21,0.842819,0.846413,515.7736
bayes,M4,binary,r0f0,22,0.828509,0.846413,518.2289
